Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
3595 RC Fixed39.7-41.7,,RSCC,,,,https://www.lyngsat.com/providers/ru/RSCC.html,True,RSCC,m 1,,DVB-S2,,3595 RC
3595 RC Fixed39.7-41.7,,RSCC,,,,https://www.lyngsat.com/providers/ru/RSCC.html,True,RSCC,m 1,,DVB-S2,,3595 RC
3875 Rtp 10Global,,RSCC,1-13,,,https://www.lyngsat.com/providers/ru/RSCC.html,True,RSCC,1/2,11121,DVB-S2,,3875 R
3875 Rtp 10Global,,RSCC,1-13,,,https://www.lyngsat.com/providers/ru/RSCC.html,True,RSCC,1/2,11121,DVB-S2,,3875 R
3595 RC Fixed39.7-41.7,1.0,NTV Mir,MPEG-4/SD,201.0,,,False,RSCC,m 1,,DVB-S2,Rus,3595 RC
3595 RC Fixed39.7-41.7,12.0,Sputnik International,,,,,False,RSCC,m 1,,DVB-S2,,3595 RC
3595 RC Fixed39.7-41.7,13.0,Sputnik International,,,,,False,RSCC,m 1,,DVB-S2,,3595 RC
3595 RC Fixed39.7-41.7,14.0,Sputnik International,,,,,False,RSCC,m 1,,DVB-S2,,3595 RC
3595 RC Fixed39.7-41.7,15.0,Sputnik International,,,,,False,RSCC,m 1,,DVB-S2,,3595 RC
3595 RC Fixed39.7-41.7,16.0,Sputnik International,,,,,False,RSCC,m 1,,DVB-S2,,3595 RC
3595 RC Fixed39.7-41.7,17.0,Sputnik International,,,,,False,RSCC,m 1,,DVB-S2,,3595 RC
3595 RC Fixed39.7-41.7,18.0,Sputnik International,,,,,False,RSCC,m 1,,DVB-S2,,3595 RC
3595 RC Fixed39.7-41.7,19.0,Sputnik International,,,,,False,RSCC,m 1,,DVB-S2,,3595 RC
3595 RC Fixed39.7-41.7,20.0,Sputnik International,,,,,False,RSCC,m 1,,DVB-S2,,3595 RC
3595 RC Fixed39.7-41.7,,Russkiy Mir,,,DRECrypt,https://www.lyngsat.com/providers/ru/Russkiy-Mir.html,True,Russkiy Mir,m 2,,DVB-S2,,3595 RC
3595 RC Fixed39.7-41.7,2801.0,Pervyy Respublikanskiy,MPEG-4/SD,1211.0,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus,3595 RC
3595 RC Fixed39.7-41.7,2802.0,1 Krim,MPEG-4/SD,1221.0,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus,3595 RC
3595 RC Fixed39.7-41.7,2803.0,Oplot TV,MPEG-4/SD,1231.0,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus,3595 RC
3595 RC Fixed39.7-41.7,2804.0,Sevastopolskaya TV,MPEG-4/SD,1241.0,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus,3595 RC
3595 RC Fixed39.7-41.7,2805.0,Telekanal Union,MPEG-4/SD,1251.0,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus,3595 RC
