Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
3760 HGlobal,,Encompass,0-1,,ConaxIrdeto,https://www.lyngsat.com/providers/us/Encompass.html,True,Encompass,5/6,29700,DVB-S2,,3760 HG
3760 HGlobal,,Encompass,0-1,,ConaxIrdeto,https://www.lyngsat.com/providers/us/Encompass.html,True,Encompass,5/6,29700,DVB-S2,,3760 HG
3760 HGlobal,,Encompass,0-1,,ConaxIrdeto,https://www.lyngsat.com/providers/us/Encompass.html,True,Encompass,5/6,29700,DVB-S2,,3760 HG
3760 HGlobal,,Encompass,0-1,,ConaxIrdeto,https://www.lyngsat.com/providers/us/Encompass.html,True,Encompass,5/6,29700,DVB-S2,,3760 HG
3960 HGlobal,,Encompass,11-1,,ConaxIrdetoPowerVu,https://www.lyngsat.com/providers/us/Encompass.html,True,Encompass,5/6,29700,DVB-S2,,3960 HG
3960 HGlobal,,Encompass,11-1,,ConaxIrdetoPowerVu,https://www.lyngsat.com/providers/us/Encompass.html,True,Encompass,5/6,29700,DVB-S2,,3960 HG
3960 HGlobal,,Encompass,11-1,,ConaxIrdetoPowerVu,https://www.lyngsat.com/providers/us/Encompass.html,True,Encompass,5/6,29700,DVB-S2,,3960 HG
3960 HGlobal,,Encompass,11-1,,ConaxIrdetoPowerVu,https://www.lyngsat.com/providers/us/Encompass.html,True,Encompass,5/6,29700,DVB-S2,,3960 HG
4000 HGlobal,,Encompass,2-8,,ConaxIrdeto,https://www.lyngsat.com/providers/us/Encompass.html,True,Encompass,5/6,29700,DVB-S2,,4000 HG
4000 HGlobal,,Encompass,2-8,,ConaxIrdeto,https://www.lyngsat.com/providers/us/Encompass.html,True,Encompass,5/6,29700,DVB-S2,,4000 HG
4000 HGlobal,,Encompass,2-8,,ConaxIrdeto,https://www.lyngsat.com/providers/us/Encompass.html,True,Encompass,5/6,29700,DVB-S2,,4000 HG
4000 HGlobal,,Encompass,2-8,,ConaxIrdeto,https://www.lyngsat.com/providers/us/Encompass.html,True,Encompass,5/6,29700,DVB-S2,,4000 HG
4040 HGlobal,,Encompass,,,ConaxIrdeto,https://www.lyngsat.com/providers/us/Encompass.html,True,Encompass,3/5,29700,DVB-S2,,4040 HG
4040 HGlobal,,Encompass,,,ConaxIrdeto,https://www.lyngsat.com/providers/us/Encompass.html,True,Encompass,3/5,29700,DVB-S2,,4040 HG
4040 HGlobal,,Encompass,,,ConaxIrdeto,https://www.lyngsat.com/providers/us/Encompass.html,True,Encompass,3/5,29700,DVB-S2,,4040 HG
