Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
11472 Vtp 8Coherent,,Kazakh mux,,,Digicipher,,False,,5/6,29270,Digici,,11472 V
11472 Vtp 8Coherent,,KTK,,101.0,Digicipher,,False,,5/6,29270,Digici,Rus,11472 V
11472 Vtp 8Coherent,,Perviy kanal Eurasia,,102.0,Digicipher,,False,,5/6,29270,Digici,Rus,11472 V
11472 Vtp 8Coherent,,31 Kanal,,103.0,Digicipher,,False,,5/6,29270,Digici,Kaz,11472 V
11472 Vtp 8Coherent,,NTK,,104.0,Digicipher,,False,,5/6,29270,Digici,Kaz,11472 V
11472 Vtp 8Coherent,,Qazaqstan,,106.0,Digicipher,,False,,5/6,29270,Digici,Kaz,11472 V
11472 Vtp 8Coherent,,Balapan,,107.0,Digicipher,,False,,5/6,29270,Digici,Kaz,11472 V
11472 Vtp 8Coherent,,Khabar,,108.0,Digicipher,,False,,5/6,29270,Digici,Kaz,11472 V
11472 Vtp 8Coherent,,Khabar 24,,109.0,Digicipher,,False,,5/6,29270,Digici,Kaz,11472 V
11472 Vtp 8Coherent,,Astana TV,,110.0,Digicipher,,False,,5/6,29270,Digici,Kaz,11472 V
11472 Vtp 8Coherent,,7 Kanal (Kazakhstan),,111.0,Digicipher,,False,,5/6,29270,Digici,Kaz,11472 V
11494 Vtp 9TV,,Kazakh mux,,,IrdetoVideoguard,,False,,8/9,5600,DVB-S2,,11494 V
11494 Vtp 9TV,101.0,KTK,MPEG-4/SD,257.0,IrdetoVideoguard,,False,,8/9,5600,DVB-S2,Rus,11494 V
11494 Vtp 9TV,102.0,Perviy kanal Eurasia,MPEG-4/SD,273.0,IrdetoVideoguard,,False,,8/9,5600,DVB-S2,Rus,11494 V
11494 Vtp 9TV,103.0,Mir,MPEG-4/SD,289.0,IrdetoVideoguard,,False,,8/9,5600,DVB-S2,Rus,11494 V
11494 Vtp 9TV,104.0,31 Kanal,MPEG-4/SD,305.0,IrdetoVideoguard,,False,,8/9,5600,DVB-S2,Kaz,11494 V
11494 Vtp 9TV,108.0,Almaty TV,MPEG-4/SD,369.0,IrdetoVideoguard,,False,,8/9,5600,DVB-S2,Kaz,11494 V
11503 Vtp 9TV,,Kazakh mux,,,IrdetoVideoguard,,False,,8/9,9400,DVB-S2,,11503 V
11503 Vtp 9TV,201.0,Qazaqstan,MPEG-4/SD,1025.0,IrdetoVideoguard,,False,,8/9,9400,DVB-S2,Kaz,11503 V
11503 Vtp 9TV,202.0,Balapan,MPEG-4/SD,1041.0,,,False,,8/9,9400,DVB-S2,Kaz,11503 V
11503 Vtp 9TV,204.0,QazSport,MPEG-4/SD,1073.0,IrdetoVideoguard,,False,,8/9,9400,DVB-S2,Kaz,11503 V
11503 Vtp 9TV,205.0,Jibek Joly,MPEG-4/SD,1089.0,IrdetoVideoguard,,False,,8/9,9400,DVB-S2,Kaz,11503 V
11503 Vtp 9TV,206.0,Khabar 24,MPEG-4/SD,1105.0,IrdetoVideoguard,,False,,8/9,9400,DVB-S2,Kaz,11503 V
11503 Vtp 9TV,207.0,Astana TV,MPEG-4/SD,1121.0,IrdetoVideoguard,,False,,8/9,9400,DVB-S2,Kaz,11503 V
11503 Vtp 9TV,208.0,7 Kanal (Kazakhstan),MPEG-4/SD,1137.0,IrdetoVideoguard,,False,,8/9,9400,DVB-S2,Kaz,11503 V
11503 Vtp 9TV,222.0,El Arna,MPEG-4/SD,1553.0,IrdetoVideoguard,,False,,8/9,9400,DVB-S2,Kaz,11503 V
11503 Vtp 9TV,534.0,Abai TV,MPEG-4/SD,3633.0,IrdetoVideoguard,,False,,8/9,9400,DVB-S2,Kaz,11503 V
11537 Vtp 11TV,,(feeds),,,,,False,,3/4,3200,DVB-S2,,11537 V
