Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
3777 HIndia,,Doordarshan,1-1,,,https://www.lyngsat.com/providers/in/Doordarshan.html,True,Doordarshan,5/6,4400,DVB-S2,,3777 HI
3777 HIndia,,Doordarshan,1-1,,,https://www.lyngsat.com/providers/in/Doordarshan.html,True,Doordarshan,5/6,4400,DVB-S2,,3777 HI
3782 HIndia,,Doordarshan,,,BISS,https://www.lyngsat.com/providers/in/Doordarshan.html,True,Doordarshan,3/4,2000,DVB-S2,,3782 HI
3782 HIndia,,Doordarshan,,,BISS,https://www.lyngsat.com/providers/in/Doordarshan.html,True,Doordarshan,3/4,2000,DVB-S2,,3782 HI
3777 HIndia,5.0,DD Sports,MPEG-4/SD,501.0,BISS,,False,Doordarshan,5/6,4400,DVB-S2,Hin,3777 HI
3777 HIndia,6.0,DD Sports,MPEG-4/HD,601.0,,,False,Doordarshan,5/6,4400,DVB-S2,Hin,3777 HI
3782 HIndia,4.0,DD Sports,MPEG-4/SD,104.0,BISS,,False,Doordarshan,3/4,2000,DVB-S2,Hin,3782 HI
3777 HIndia,7.0,DD Kisan,MPEG-4/SD,701.0,,,False,Doordarshan,5/6,4400,DVB-S2,,3777 HI
3782 HIndia,3.0,[DD Bharati test card],MPEG-4/SD,103.0,,,False,Doordarshan,3/4,2000,DVB-S2,Hin,3782 HI
3875 HIndia,,AIR,,,,https://www.lyngsat.com/providers/in/AIR.html,True,AIR,3/4,1000,DVB-S2,,3875 HI
3875 HIndia,2000.0,AIR FM Rainbow Mumbai,,,,,False,AIR,3/4,1000,DVB-S2,,3875 HI
3875 HIndia,3000.0,AIR Marathi,,,,,False,AIR,3/4,1000,DVB-S2,Mar,3875 HI
3875 HIndia,4000.0,AIR FM Gold Delhi,,,,,False,AIR,3/4,1000,DVB-S2,,3875 HI
3875 HIndia,5000.0,AIR FM Rainbow Lucknow,,,,,False,AIR,3/4,1000,DVB-S2,,3875 HI
3875 HIndia,6000.0,AIR Amritsar,,,,,False,AIR,3/4,1000,DVB-S2,,3875 HI
11578 H,,Utkarsh Channel,,,,https://www.lyngsat.com/providers/in/Utkarsh-Channel.html,True,Utkarsh Channel,000,5,DVB-S5,,11578 H
11578 H,1.0,Utkarsh Channel 4,MPEG-2/SD,257.0,,,False,Utkarsh Channel,000,5,DVB-S5,Eng,11578 H
11578 H,2.0,Utkarsh Channel 1,MPEG-2/SD,513.0,,,False,Utkarsh Channel,000,5,DVB-S5,Hin,11578 H
11578 H,3.0,Utkarsh Channel 2,MPEG-2/SD,769.0,,,False,Utkarsh Channel,000,5,DVB-S5,Hin,11578 H
11578 H,4.0,Utkarsh Channel 3,MPEG-2/SD,1025.0,,,False,Utkarsh Channel,000,5,DVB-S5,Eng,11578 H
11587 H,3.0,[test card],?-?MPEG-2/SD,769.0,,,False,Utkarsh Channel,000,4,DVB-S4,,11587 H
11593 V,,(feeds),,,,,False,Utkarsh Channel,100,1,DVB-S1,,11593 V
11667 V,,KITE VICTERS,,,,https://www.lyngsat.com/providers/in/KITE-VICTERS.html,True,KITE VICTERS,000,2,DVB-S2,,11667 V
11667 V,2.0,KITE VICTERS,MPEG-2/SD,559.0,,https://www.lyngsat.com/providers/in/KITE-VICTERS.html,True,KITE VICTERS,000,2,DVB-S2,Mal,11667 V
11667 V,,KITE VICTERS Plus,MPEG-2/SD,357.0,,,False,KITE VICTERS,000,2,DVB-S2,Mal,11667 V
11681 V,4.0,VTU,?-?MPEG-2/SD,1025.0,,,False,KITE VICTERS,966,2,DVB-S2,,11681 V
11686 V,1.0,Lokshiksha Sanchar,?-?MPEG-2/SD,4194.0,,,False,KITE VICTERS,900,2,DVB-S2,Ben,11686 V
