Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
3751 Rtp SZD11Sub-Sahara0,,Nigerian mux,1-2,,,,False,,5/6,18315,DVB-S2,,3751 R
3751 Rtp SZD11Sub-Sahara0,201.0,Lagos TV,MPEG-4/SD,273.0,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3751 Rtp SZD11Sub-Sahara0,202.0,MITV,MPEG-4/SD,289.0,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3751 Rtp SZD11Sub-Sahara0,203.0,Silverbird TV,MPEG-4/SD,305.0,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3751 Rtp SZD11Sub-Sahara0,204.0,TVC News,MPEG-4/SD,321.0,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3751 Rtp SZD11Sub-Sahara0,205.0,TVC,MPEG-4/SD,337.0,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3751 Rtp SZD11Sub-Sahara0,206.0,Sunna TV (Nigeria),MPEG-4/SD,353.0,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3751 Rtp SZD11Sub-Sahara0,207.0,Wazobia TV,MPEG-4/SD,369.0,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3751 Rtp SZD11Sub-Sahara0,208.0,Trybe TV,MPEG-4/SD,385.0,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3751 Rtp SZD11Sub-Sahara0,209.0,Spice,MPEG-4/SD,401.0,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3751 Rtp SZD11Sub-Sahara0,210.0,Televista,MPEG-4/SD,513.0,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3751 Rtp SZD11Sub-Sahara0,211.0,OnMax,MPEG-4/SD,529.0,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3751 Rtp SZD11Sub-Sahara0,212.0,Soundcity TV,MPEG-4/SD,545.0,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3751 Rtp SZD11Sub-Sahara0,213.0,Wazobia Max TV Lagos,MPEG-4/SD,561.0,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3751 Rtp SZD11Sub-Sahara0,214.0,Arewa 24,MPEG-4/SD,577.0,,,False,,5/6,18315,DVB-S2,Hau,3751 R
3751 Rtp SZD11Sub-Sahara0,215.0,Lumen Christi Catholic TV,MPEG-4/SD,593.0,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3751 Rtp SZD11Sub-Sahara0,1.0,Rhythm,,,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3751 Rtp SZD11Sub-Sahara0,8.0,Ray Power FM,,,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3751 Rtp SZD11Sub-Sahara0,202.0,Naija FM Lagos,,,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3751 Rtp SZD11Sub-Sahara0,207.0,Wazobia FM Lagos,,,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3751 Rtp SZD11Sub-Sahara0,257.0,Star FM 101.5,,,,,False,,5/6,18315,DVB-S2,Eng,3751 R
3764 Rtp SZD11Sub-Sahara0,,Uganda mux,0-1,,,,False,,2/3,2604,DVB-S2,,3764 R
3778 Rtp SZD11Sub-Sahara0,,Uganda mux,,,,,False,,3/4,5720,DVB-S2,,3778 R
3764 Rtp SZD11Sub-Sahara0,1.0,NTV Uganda,MPEG-4/SD,111.0,,,False,,2/3,2604,DVB-S2,Eng,3764 R
3764 Rtp SZD11Sub-Sahara0,2.0,Spark TV,MPEG-4/SD,121.0,,,False,,2/3,2604,DVB-S2,Eng,3764 R
3767 Rtp SZD11Sub-Sahara0,1.0,Eswatini TV,0-1MPEG-4/SD,111.0,,,False,,3/4,2315,DVB-S2,Eng,3767 R
3771 Rtp SZD11Sub-Sahara0,,ZNBC,0-1,,,https://www.lyngsat.com/providers/zm/ZNBC.html,True,ZNBC,3/4,5000,DVB-S5,,3771 R
3771 Rtp SZD11Sub-Sahara0,1.0,ZNBC TV 2,MPEG-2/SD,39.0,,,False,ZNBC,3/4,5000,DVB-S5,Eng,3771 R
3771 Rtp SZD11Sub-Sahara0,2.0,ZNBC TV 1,MPEG-2/SD,33.0,,,False,ZNBC,3/4,5000,DVB-S5,Eng,3771 R
3778 Rtp SZD11Sub-Sahara0,1.0,Bukedde 1,MPEG-4/SD,611.0,,,False,ZNBC,3/4,5720,DVB-S2,,3778 R
3778 Rtp SZD11Sub-Sahara0,2.0,Channel 44,MPEG-4/SD,711.0,,,False,ZNBC,3/4,5720,DVB-S2,Eng,3778 R
3778 Rtp SZD11Sub-Sahara0,403.0,NBS TV,MPEG-4/SD,431.0,,,False,ZNBC,3/4,5720,DVB-S2,Swa,3778 R
3778 Rtp SZD11Sub-Sahara0,404.0,Urban TV (Uganda),MPEG-4/SD,441.0,,,False,ZNBC,3/4,5720,DVB-S2,Eng,3778 R
3778 Rtp SZD11Sub-Sahara0,405.0,TV West (Uganda),MPEG-4/SD,151.0,,,False,ZNBC,3/4,5720,DVB-S2,Eng,3778 R
3778 Rtp SZD11Sub-Sahara0,406.0,BBS TV,MPEG-4/SD,161.0,,,False,ZNBC,3/4,5720,DVB-S2,Swa,3778 R
3778 Rtp SZD11Sub-Sahara0,407.0,Bukedde 2,MPEG-4/SD,171.0,,,False,ZNBC,3/4,5720,DVB-S2,,3778 R
3778 Rtp SZD11Sub-Sahara0,408.0,UBC TV,MPEG-4/SD,181.0,,,False,ZNBC,3/4,5720,DVB-S2,,3778 R
3785 Rtp SZD11Sub-Sahara0,,Kenyan mux,,,,,False,ZNBC,8/9,5757,DVB-S2,,3785 R
3785 Rtp SZD11Sub-Sahara0,1.0,NTV (Kenya),MPEG-4/SD,51.0,,,False,ZNBC,8/9,5757,DVB-S2,Eng,3785 R
3785 Rtp SZD11Sub-Sahara0,104.0,NTV (Kenya),MPEG-4/SD,321.0,,,False,ZNBC,8/9,5757,DVB-S2,Eng,3785 R
3785 Rtp SZD11Sub-Sahara0,2.0,KTN Home,MPEG-4/SD,769.0,,,False,ZNBC,8/9,5757,DVB-S2,Eng,3785 R
3785 Rtp SZD11Sub-Sahara0,5.0,K24,MPEG-4/SD,33.0,,,False,ZNBC,8/9,5757,DVB-S2,Eng,3785 R
