Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
3668 LC,DVB-S28PSK10553/4,,OPM Doctor Jesus TV,,MPEG-4/HD,101,7.91111 Eng,,N Stanislav230904,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,,Sairtek,,,,5.5,,N Stanislav230910,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,,Christian Reformed TV,,MPEG-4/SD,46,47 Eng,,,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,1,NTA International,,MPEG-4/SD,45,482 Eng,,,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,2,OPM Doctor Jesus TV,,MPEG-4/SD,36,1111 Eng,,,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,4,Impact Africa TV,,MPEG-4/SD,270,271 Eng,,,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,6,Sunna TV (Nigeria),,MPEG-4/SD,1211,1212,,,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,7,Alu TV,,MPEG-4/SD,82,83,,,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,10,Benue TV,,MPEG-4/SD,67,68 Eng,,,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,14,Advocate Broadcasting Network,,MPEG-4/SD,76,77 Eng,,,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,17,MBC 2 (Saudi Arabia),,MPEG-2/SD,701,702 Ara,,,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,19,Honour TV,,MPEG-4/SD,1141,1142 Eng,,,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,23,Epiphany TV,,MPEG-4/SD,59,60 Eng,,,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,24,Manara TV,,MPEG-4/SD,256,257 Hau,,,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,26,Glorious Vision TV,,MPEG-4/SD,1793,1794 Eng,,,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,32,Trust TV,,MPEG-4/SD,481,41 Eng,,,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,36,Alive Unto God TV,,MPEG-4/SD,53,55 Eng,,,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,37,KSMC,,MPEG-4/SD,1181,1182 Eng,,,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,38,OneSound Revival TV,,MPEG-4/SD,1191,1192 Eng,,,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,41,Hi-Impact TV,,,,Eng,,,,,,,
12518 HEcowas 2,DVB-S28PSK295003/5,44,Elijah's Voice TV,,,,Eng,,,,,,,
12538 HEcowas 2,DVB-S28PSK50003/4,,TFMediaCast,,,,7.9,,P Laschan230214,,,,,
12538 HEcowas 2,DVB-S28PSK50003/4,,Sebioba Royal TV,,MPEG-4/SD,66,93 Eng,,,,,,,
12538 HEcowas 2,DVB-S28PSK50003/4,,OYJ TV,,MPEG-4/SD,130,136 Eng,,,,,,,
12538 HEcowas 2,DVB-S28PSK50003/4,,Our Sports,,MPEG-4/SD,137,143 Eng,,,,,,,
12538 HEcowas 2,DVB-S28PSK50003/4,7,Mercy of God TV,,MPEG-4/SD,101,167 Eng,,,,,,,
12538 HEcowas 2,DVB-S28PSK50003/4,101,Borno TV,,MPEG-4/SD,102,103 Eng,,,,,,,
12538 HEcowas 2,DVB-S28PSK50003/4,105,Aflame TV,,MPEG-4/SD,60,94 Eng,,,,,,,
12538 HEcowas 2,DVB-S28PSK50003/4,150,The Church TV,,MPEG-4/SD,65,160 Eng,,,,,,,
12538 HEcowas 2,DVB-S28PSK50003/4,151,Catholic TV,,MPEG-4/SD,95,101 Eng,,,,,,,
12538 HEcowas 2,DVB-S28PSK50003/4,157,Al-Irshaad TV,,MPEG-4/SD,105,121 Ara,,,,,,,
12538 HEcowas 2,DVB-S28PSK50003/4,158,Favour TV (Nigeria),,MPEG-4/SD,280,281 Eng,,,,,,,
12545 HEcowas 2,DVB-S28PSK61663/4,,Our TV,,,,7.9,,N Stanislav230910,,,,,
12545 HEcowas 2,DVB-S28PSK61663/4,102,Our Movies Nolly,,HEVC/SD,63,64 Eng,,,,,,,
12545 HEcowas 2,DVB-S28PSK61663/4,103,Our Movies Globe,,HEVC/SD,66,67 Eng,,,,,,,
