Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
3704 Htp 3AAsia & Australia & Pacific,DVB-S28PSK22402/3,,(feeds),,,,,,Anonymous200302,,,,,
3763 Htp 4AAsia & Australia & Pacific,DVB-S28PSK72003/4,,(feeds),,,,,,Albert I240303,,,,,
3905 Vtp 7BAsia & Australia & Pacific,DVB-S28PSK75003/4,,(feeds),,,,,,Bulek Sps210906,,,,,
3914 Vtp 7BAsia & Australia & Pacific,DVB-S28PSK56003/4,,(feeds),,,,,,Albert I231119,,,,,
3707 Htp 3AAsia & Australia & Pacific,DVB-S28PSK22402/3,,(GMA feeds),,,,,,Anonymous200302,,,,,
3710 Htp 3AAsia & Australia & Pacific,DVB-S28PSK22402/3,,(GMA feeds),,,,,,Anonymous200302,,,,,
3745 Htp 4AAsia & Australia & Pacific0,DVB-S2QPSK45833/4,,GMA Network,,,,4.0,PowerVu,Albert I230112,https://www.lyngsat.com/providers/ph/GMA-Network.html,GMA Network,3745 H,tp 4A,Asia & Australia & Pacific0
3745 Htp 4AAsia & Australia & Pacific0,DVB-S2QPSK45833/4,,GMA Network,,,,4.0,PowerVu,Albert I230112,https://www.lyngsat.com/providers/ph/GMA-Network.html,GMA Network,3751 H,tp 4A,Asia & Australia & Pacific0
3745 Htp 4AAsia & Australia & Pacific0,DVB-S2QPSK45833/4,,GMA Network,,,,4.0,PowerVu,Albert I230112,https://www.lyngsat.com/providers/ph/GMA-Network.html,GMA Network,3847 H,tp 6A,Asia & Australia & Pacific0
3745 Htp 4AAsia & Australia & Pacific0,DVB-S2QPSK45833/4,,GMA Network,,,,4.0,PowerVu,Albert I230112,https://www.lyngsat.com/providers/ph/GMA-Network.html,GMA Network,3745 H,tp 4A,Asia & Australia & Pacific0
3745 Htp 4AAsia & Australia & Pacific0,DVB-S2QPSK45833/4,,GMA Network,,,,4.0,PowerVu,Albert I230112,https://www.lyngsat.com/providers/ph/GMA-Network.html,GMA Network,3751 H,tp 4A,Asia & Australia & Pacific0
3745 Htp 4AAsia & Australia & Pacific0,DVB-S2QPSK45833/4,,GMA Network,,,,4.0,PowerVu,Albert I230112,https://www.lyngsat.com/providers/ph/GMA-Network.html,GMA Network,3847 H,tp 6A,Asia & Australia & Pacific0
3745 Htp 4AAsia & Australia & Pacific0,DVB-S2QPSK45833/4,,GMA Network,,,,4.0,PowerVu,Albert I230112,https://www.lyngsat.com/providers/ph/GMA-Network.html,GMA Network,3745 H,tp 4A,Asia & Australia & Pacific0
3745 Htp 4AAsia & Australia & Pacific0,DVB-S2QPSK45833/4,,GMA Network,,,,4.0,PowerVu,Albert I230112,https://www.lyngsat.com/providers/ph/GMA-Network.html,GMA Network,3751 H,tp 4A,Asia & Australia & Pacific0
