Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
3595 RC Fixed39.7-41.7,DVB-S28PSK387008/9MultistreamStream 1,,RSCC,,,,10.7,,N Stanislav240307,https://www.lyngsat.com/providers/ru/RSCC.html,RSCC,3875 R,tp 10,Global
3595 RC Fixed39.7-41.7,DVB-S28PSK387008/9MultistreamStream 1,,RSCC,,,,10.7,,N Stanislav240307,https://www.lyngsat.com/providers/ru/RSCC.html,RSCC,3875 R,tp 10,Global
3875 Rtp 10Global,DVB-S2QPSK111211/2,,RSCC,,1-13,,1.0,,C SuttonR KalukuAlbert I220625,https://www.lyngsat.com/providers/ru/RSCC.html,RSCC,3875 R,tp 10,Global
3875 Rtp 10Global,DVB-S2QPSK111211/2,,RSCC,,1-13,,1.0,,C SuttonR KalukuAlbert I220625,https://www.lyngsat.com/providers/ru/RSCC.html,RSCC,3875 R,tp 10,Global
3595 RC Fixed39.7-41.7,DVB-S28PSK387008/9MultistreamStream 1,1,NTV Mir,,MPEG-4/SD,201,301 Rus,,,,,3875 R,tp 10,Global
3595 RC Fixed39.7-41.7,DVB-S28PSK387008/9MultistreamStream 1,12,Sputnik International,,,,320,,,,,3875 R,tp 10,Global
3595 RC Fixed39.7-41.7,DVB-S28PSK387008/9MultistreamStream 1,13,Sputnik International,,,,330,,,,,3875 R,tp 10,Global
3595 RC Fixed39.7-41.7,DVB-S28PSK387008/9MultistreamStream 1,14,Sputnik International,,,,340,,,,,3875 R,tp 10,Global
3595 RC Fixed39.7-41.7,DVB-S28PSK387008/9MultistreamStream 1,15,Sputnik International,,,,350,,,,,3875 R,tp 10,Global
3595 RC Fixed39.7-41.7,DVB-S28PSK387008/9MultistreamStream 1,16,Sputnik International,,,,360,,,,,3875 R,tp 10,Global
3595 RC Fixed39.7-41.7,DVB-S28PSK387008/9MultistreamStream 1,17,Sputnik International,,,,370,,,,,3875 R,tp 10,Global
3595 RC Fixed39.7-41.7,DVB-S28PSK387008/9MultistreamStream 1,18,Sputnik International,,,,380,,,,,3875 R,tp 10,Global
3595 RC Fixed39.7-41.7,DVB-S28PSK387008/9MultistreamStream 1,19,Sputnik International,,,,390,,,,,3875 R,tp 10,Global
3595 RC Fixed39.7-41.7,DVB-S28PSK387008/9MultistreamStream 1,20,Sputnik International,,,,400,,,,,3875 R,tp 10,Global
3595 RC Fixed39.7-41.7,DVB-S28PSK387008/9MultistreamStream 2,,Russkiy Mir,,,,10.7,DRECrypt,N Stanislav231202,,,3875 R,tp 10,Global
