Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,,BFBS,,19-5,,6.6,Irdeto,J RobinsonM Al-Taie220630,https://www.lyngsat.com/providers/uk/BFBS.html,BFBS,3775 L,tp EHL2,East hemi
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,,BFBS,,19-5,,6.6,Irdeto,J RobinsonM Al-Taie220630,https://www.lyngsat.com/providers/uk/BFBS.html,BFBS,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,,BFBS,,19-5,,6.6,Irdeto,J RobinsonM Al-Taie220630,https://www.lyngsat.com/providers/uk/BFBS.html,BFBS,3775 L,tp EHL2,East hemi
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,,BFBS,,19-5,,6.6,Irdeto,J RobinsonM Al-Taie220630,https://www.lyngsat.com/providers/uk/BFBS.html,BFBS,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,,BFBS,,17-3,,2.2,Irdeto,M Al-Taie240113,https://www.lyngsat.com/providers/uk/BFBS.html,BFBS,3775 L,tp EHL2,East hemi
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,,BFBS,,17-3,,2.2,Irdeto,M Al-Taie240113,https://www.lyngsat.com/providers/uk/BFBS.html,BFBS,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,,BFBS,,17-3,,2.2,Irdeto,M Al-Taie240113,https://www.lyngsat.com/providers/uk/BFBS.html,BFBS,3775 L,tp EHL2,East hemi
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,,BFBS,,17-3,,2.2,Irdeto,M Al-Taie240113,https://www.lyngsat.com/providers/uk/BFBS.html,BFBS,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8305,Sky Sports Main Event UK,,MPEG-4/SD,105,405 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8105,Sky Sports Main Event UK,,MPEG-4/SD,105,405 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8306,TNT Sports 1,,MPEG-4/SD,106,406 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8106,TNT Sports 1,,MPEG-4/SD,106,406 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8307,BFBS Sport,,MPEG-4/SD,107,407 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8107,BFBS Sport,,MPEG-4/SD,107,407 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8308,Sky News UK,,MPEG-4/SD,108,408 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8108,Sky News UK,,MPEG-4/SD,108,40. Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8311,BBC One Delay,,MPEG-4/SD,111,411 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8312,BBC Two Delay,,MPEG-4/SD,112,412 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8313,ITV 1 Delay,,MPEG-4/SD,113,413 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8314,BFBS Extra Delay,,MPEG-4/SD,114,414 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8317,Sky Cinema Delay,,MPEG-4/SD,117,417 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8117,Sky Cinema Delay,,MPEG-4/SD,117,41. Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8318,NTV National,,MPEG-4/SD,118,418 Nep,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8118,NTV National,,MPEG-4/SD,118,418 Nep,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8321,BFBS Ops,,,,421 Eng,,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8331,BFBS Ops,,,,431 Eng,,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8121,BFBS Ops,,MPEG-4,,421 Eng,,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8324,BFBS Radio 2,,,,424 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8124,BFBS Radio 2,,,,424 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8326,BFBS Best of British,,,,426 Eng,,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8126,BFBS Best of British,,,,426 Eng,,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8327,BFBS UK National,,,,427 Eng,,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8127,BFBS UK National,,,,427 Eng,,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8329,BFBS Germany,,,,429 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8332,BFBS Beats,,,,432 Eng,,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8132,BFBS Beats,,,,432 Eng,,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8333,BFBS Gurkha Network,,,,433,,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8338,BFBS Gurkha Network,,,,438,,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8133,BFBS Gurkha Network,,,,433,,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8334,BFBS Edge,,,,434 Eng,,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8134,BFBS Edge,,,,434 Eng,,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8335,BFBS Rewind,,,,435 Eng,,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8135,BFBS Rewind,,,,435 Eng,,,,,3798 R,tp WHR3,West hemi39-40
3775 Ltp EHL2East hemi,DVB-S28PSK95832/3,8337,BFBS Shamishran,,,,437,,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8137,BFBS Shamishran,,,,437,,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8101,BBC One,,MPEG-4/SD,101,401 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8102,CBBC (07-18),,MPEG-4/SD,102,402 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8102,BBC Two (18-07),,MPEG-4/SD,102,4.2 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8103,ITV 1 London,,MPEG-4/SD,103,403 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8104,BFBS Extra,,MPEG-4/SD,104,404 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8109,Channel 4 London,,MPEG-4/SD,109,409 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8110,Channel 5 (UK),,MPEG-4/SD,110,410 Eng,Irdeto,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8123,BFBS UK Bases,,,,423 Eng,,,,,3798 R,tp WHR3,West hemi39-40
3798 Rtp WHR3West hemi39-40,DVB-S2QPSK191673/5,8138,BFBS Falklands,,,,438 Eng,,,,,3798 R,tp WHR3,West hemi39-40
3813 Rtp WHR3West hemi39-40,DVB-S2QPSK24005/6,1,Benishangul Gumuz Media,,1-1MPEG-4/HD,512,5.2 258,,N Stanislav240216,,,3798 R,tp WHR3,West hemi39-40
11105 Htp EAH3East Africa0-50,DVB-S2QPSK450005/6,6136,Benishangul Gumuz Media,,MPEG-4/SD,2036,3.6,,,,,3798 R,tp WHR3,West hemi39-40
3816 Rtp WHR3West hemi39-40,DVB-S2QPSK24005/6,1,NBC Ethiopia,,1-1MPEG-4/HD,404,5.2 100 Amh,,N Stanislav230119,,,3798 R,tp WHR3,West hemi39-40
11105 Htp EAH3East Africa0-50,DVB-S2QPSK450005/6,6189,NBC Ethiopia,,MPEG-4/SD,90,91 Amh,,,,,3798 R,tp WHR3,West hemi39-40
3833 Ltp WHL4West hemi39-40,DVB-S2QPSK24003/4,1,Harari TV,,8192-4096MPEG-4/HD,512,4.041.2 Amh,,N Stanislav220624,,,3798 R,tp WHR3,West hemi39-40
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6202,Harari TV,,MPEG-4/SD,49,50 Amh,,,,,3798 R,tp WHR3,West hemi39-40
3840 Ltp WHL4West hemi39-40,DVB-S2QPSK24005/6,1,Dire TV,,8192-4096MPEG-4/HD,512,5.24112 Amh,,N Stanislav230826,,,3798 R,tp WHR3,West hemi39-40
3855 Ltp WHL4West hemi39-40,DVB-S2QPSK44402/3,1,Walta TV,,.-1MPEG-4/HD,33,3.1  34 Amh,,N Stanislav231119,,,3798 R,tp WHR3,West hemi39-40
11105 Htp EAH3East Africa0-50,DVB-S2QPSK450005/6,6125,Walta TV,,MPEG-4/SD,63,65 Amh,,,,,3798 R,tp WHR3,West hemi39-40
11545 Htp EAH6East Africa0-50,DVB-S2QPSK450005/6,6414,Walta TV,,MPEG-2/SD,33,34 Amh,,,,,3798 R,tp WHR3,West hemi39-40
3855 Rtp WHR4West hemi39-40,DVB-S2QPSK40343/4,1,Addis Media Network,,1-1MPEG-4/HD,512,4.04112 Amh,,Onacila191221,,,3798 R,tp WHR3,West hemi39-40
11105 Htp EAH3East Africa0-50,DVB-S2QPSK450005/6,6187,Addis Media Network,,MPEG-4/SD,56,61 Amh,,,,,3798 R,tp WHR3,West hemi39-40
11165 Htp EAH4East Africa0-50,DVB-S2QPSK450003/4,6313,Addis Media Network,,MPEG-4/HD,54,57 Amh,,,,,3798 R,tp WHR3,West hemi39-40
3855 Rtp WHR4West hemi39-40,DVB-S2QPSK40343/4,5,Addis FM 96.3,,,,4114 Amh,,,,,3798 R,tp WHR3,West hemi39-40
11105 Htp EAH3East Africa0-50,DVB-S2QPSK450005/6,6190,Addis FM 96.3,,,,4114 Amh,,,,,3798 R,tp WHR3,West hemi39-40
11165 Htp EAH4East Africa0-50,DVB-S2QPSK450003/4,6355,Addis FM 96.3,,,,902 Amh,,,,,3798 R,tp WHR3,West hemi39-40
3861 Rtp WHR4West hemi,DVB-S2QPSK40343/4,,(Addis Media Network feeds),,,,,,Zelda220716,,,3798 R,tp WHR3,West hemi39-40
3916 Rtp WHR6West hemi39-40,DVB-S2QPSK41672/3,1,OBN Horn of Africa,,1001-1002MPEG-4/HD,512,3.14112 Orm,,N Stanislav230119,,,3798 R,tp WHR3,West hemi39-40
11165 Htp EAH4East Africa0-50,DVB-S2QPSK450003/4,6375,OBN Horn of Africa,,MPEG-4/SD,51,81,,,,,3798 R,tp WHR3,West hemi39-40
3932 Ltp WHL6West hemi39-40,DVB-S2QPSK39202/3,1,Amhara TV,,65535-1MPEG-4/HD,33,3.1 257 Amh,,N Stanislav220720,,,3798 R,tp WHR3,West hemi39-40
11165 Htp EAH4East Africa0-50,DVB-S2QPSK450003/4,6306,Amhara TV,,MPEG-4/HD,308,257 Amh,,,,,3798 R,tp WHR3,West hemi39-40
11545 Htp EAH6East Africa0-50,DVB-S2QPSK450005/6,6405,Amhara TV,,MPEG-2/SD,308,257 Amh,,,,,3798 R,tp WHR3,West hemi39-40
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6215,Amhara TV,,MPEG-4/SD,33,34 Amh,,,,,3798 R,tp WHR3,West hemi39-40
3932 Ltp WHL6West hemi39-40,DVB-S2QPSK39202/3,1,FM Bahir Dar 96.9,,,,25.,,,,,3798 R,tp WHR3,West hemi39-40
3941 Ltp WHL6West hemi39-40,DVB-S2QPSK35852/3,,FM Bahir Dar 96.9,,,,3.,,,,,3798 R,tp WHR3,West hemi39-40
11165 Htp EAH4East Africa0-50,DVB-S2QPSK450003/4,6354,FM Bahir Dar 96.9,,,,258 Amh,,,,,3798 R,tp WHR3,West hemi39-40
3941 Ltp WHL6West hemi39-40,DVB-S2QPSK35852/3,1,Fana TV,,65535-1MPEG-4/HD,33,3.1  34 Amh,,Onacila210129,,,3798 R,tp WHR3,West hemi39-40
11105 Htp EAH3East Africa0-50,DVB-S2QPSK450005/6,6150,Fana TV,,MPEG-4/HD,34,35 Amh,,,,,3798 R,tp WHR3,West hemi39-40
11545 Htp EAH6East Africa0-50,DVB-S2QPSK450005/6,6413,Fana TV,,MPEG-2/SD,50,52 Amh,,,,,3798 R,tp WHR3,West hemi39-40
4044 Ltp GLL9West hemi,DVB-S38151/2,,(feeds),,,,,,Onacila160128,,,3798 R,tp WHR3,West hemi39-40
4065 Ltp GLL9Global,DVB-S28PSK15005/6,,(feeds),,,,,,DX Bozóth240205,,,3798 R,tp WHR3,West hemi39-40
4069 Rtp GLR9Global,DVB-S35001/2,,(feeds),,,,,,I Perera100218,,,3798 R,tp WHR3,West hemi39-40
4079 Ltp GLL10Global,DVB-S20007/8,,(feeds),,,,,,DX Bozóth131106,,,3798 R,tp WHR3,West hemi39-40
4082 Ltp GLL10Global,DVB-S20001/2,,(feeds),,,,,,Onacila100320,,,3798 R,tp WHR3,West hemi39-40
10976 Vtp MEV1Middle East,DVB-S44443/4,,(feeds),,,,,,Marcel 2191209,,,3798 R,tp WHR3,West hemi39-40
11039 Vtp MEV2Middle East,DVB-S31003/4,,(feeds),,,,,,N Stanislav130609,,,3798 R,tp WHR3,West hemi39-40
11069 Htp EAH2East Africa,DVB-S25003/4,,(feeds),,,,,,DX Bozóth210109,,,3798 R,tp WHR3,West hemi39-40
11129 Vtp MEV4Middle East,DVB-S22003/4,,(feeds),,,,,,W Zaremba130918,,,3798 R,tp WHR3,West hemi39-40
11134 Vtp MEV4Middle East,DVB-S222003/4,,(feeds),,,,,,DX Bozóth130626,,,3798 R,tp WHR3,West hemi39-40
11460 Htp CAH5Central Asia,DVB-S35002/3,,(feeds),,,,,,Onacila140622,,,3798 R,tp WHR3,West hemi39-40
11464 Htp CAH5Central Asia,DVB-S31003/4,,(feeds),,,,,,DX Bozóth110216,,,3798 R,tp WHR3,West hemi39-40
11469 Htp CAH5Central Asia,DVB-S31003/4,,(feeds),,,,,,DX Bozóth110217,,,3798 R,tp WHR3,West hemi39-40
11473 Htp CAH5Central Asia,DVB-S31003/4,,(feeds),,,,,,DX Bozóth110203,,,3798 R,tp WHR3,West hemi39-40
11499 Htp CAH5Central Asia,DVB-S40902/3,,(feeds),,,,,,DX Bozóth110218,,,3798 R,tp WHR3,West hemi39-40
11503 Htp CAH5Central Asia,DVB-S28801/2,,(feeds),,,,,,DX Bozóth110809,,,3798 R,tp WHR3,West hemi39-40
11510 Htp EAH5East Africa,DVB-S3330,,(feeds),,,,,,F Orwa120926,,,3798 R,tp WHR3,West hemi39-40
11539 Htp CAH6Central Asia,DVB-S28PSK45803/4,,(feeds),,,,,,N Stanislav240208,,,3798 R,tp WHR3,West hemi39-40
11645 Vtp MEV8Middle East,DVB-S33333/4,,(feeds),,,,,,DX Bozóth110504,,,3798 R,tp WHR3,West hemi39-40
12292 Vtp INV15South Asia,DVB-S25003/4,,(feeds),,,,,,I Perera110115,,,3798 R,tp WHR3,West hemi39-40
12306 Vtp INV16South Asia,DVB-S20003/4,,(feeds),,,,,,I Perera130205,,,3798 R,tp WHR3,West hemi39-40
12313 Vtp INV16South Asia,DVB-S21235/6,,(feeds),,,,,,I Perera110821,,,3798 R,tp WHR3,West hemi39-40
12316 Vtp INV16South Asia,DVB-S21233/4,,(feeds),,,,,,I Perera100707,,,3798 R,tp WHR3,West hemi39-40
12413 Vtp INV19South Asia,DVB-S16003/4,,(feeds),,,,,,I Perera110605,,,3798 R,tp WHR3,West hemi39-40
12429 Vtp INV19South Asia,DVB-S28PSK35003/4,,(feeds),,,,,,I Perera121116,,,3798 R,tp WHR3,West hemi39-40
12554 Vtp INV10South Asia,DVB-S18003/4,,(feeds),,,,,,I Perera100707,,,3798 R,tp WHR3,West hemi39-40
