Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
11767 Vtp 31Turkey46-50,DVB-S28PSK150003/4,16300,TRT 4K,,1070-43104HEVC/UHD,4855,7.94955 Tur,,T KaderliE KaradumanD Shimoni210617,11767 V,tp 31,46-50,,
11789 Htp 32East50-53,DVB-S28PSK200003/4,,Tivibu,,1070-43203,,7.9,IrdetoVideoguard,S Günes240205,11789 H,tp 32,50-53,"Irdeto,Videoguard",
11853 Htp 34East50-53,DVB-S28PSK250003/4,,Tivibu,,1070-43401,,7.9,BISSIrdetoVideoguard,S Günes240118,11853 H,tp 34,50-53,"BISS,Irdeto,Videoguard",
11880 Htp 34East50-53,DVB-S28PSK200003/4,,Tivibu,,1070-43402,,7.9,IrdetoVideoguard,S Günes240205,11880 H,tp 34,50-53,"Irdeto,Videoguard",
11794 Vtp 31Turkey46-50,DVB-S28PSK300003/4,,TRT,,1070-43105,,7.9,,S Günes230823,11794 V,tp 31,46-50,,https://www.lyngsat.com/providers/tr/TRT.html
11794 Vtp 31Turkey46-50,DVB-S28PSK300003/4,,TRT,,1070-43105,,7.9,,S Günes230823,11794 V,tp 31,46-50,,https://www.lyngsat.com/providers/tr/TRT.html
11958 Vtp 3Turkey46-50,DVB-S275005/6,,TRT,,1070-40301,,6.5,,MZ220420,11958 V,tp 3,46-50,,https://www.lyngsat.com/providers/tr/TRT.html
11958 Vtp 3Turkey46-50,DVB-S275005/6,,TRT,,1070-40301,,6.5,,MZ220420,11958 V,tp 3,46-50,,https://www.lyngsat.com/providers/tr/TRT.html
11794 Vtp 31Turkey46-50,DVB-S28PSK300003/4,10600,TRT Çocuk,,MPEG-4/HD,1600,1700 Tur,,,11794 V,tp 31,46-50,,
11958 Vtp 3Turkey46-50,DVB-S275005/6,10504,TRT Çocuk,,MPEG-2/SD,1504,1604 Tur,,,11958 V,tp 3,46-50,,
11794 Vtp 31Turkey46-50,DVB-S28PSK300003/4,10601,TRT 1,,MPEG-4/HD,1601,1701 Tur,,,11794 V,tp 31,46-50,,
11958 Vtp 3Turkey46-50,DVB-S275005/6,10500,TRT 1,,MPEG-2/SD,1500,1600 Tur,,,11958 V,tp 3,46-50,,
11794 Vtp 31Turkey46-50,DVB-S28PSK300003/4,10603,TRT Spor,,MPEG-4/HD,1603,1703 Tur,,,11794 V,tp 31,46-50,,
11794 Vtp 31Turkey46-50,DVB-S28PSK300003/4,10604,TRT Belgesel,,MPEG-4/HD,1604,1704 Tur1804 Eng,,,11794 V,tp 31,46-50,,
11958 Vtp 3Turkey46-50,DVB-S275005/6,10505,TRT Belgesel,,MPEG-2/SD,1505,1605 Tur1705 Eng,,,11958 V,tp 3,46-50,,
11794 Vtp 31Turkey46-50,DVB-S28PSK300003/4,10608,TRT Müzik,,MPEG-4/HD,1608,.708 Tur,,,11794 V,tp 31,46-50,,
11958 Vtp 3Turkey46-50,DVB-S275005/6,10507,TRT Müzik,,MPEG-2/SD,1507,1607 Tur,,,11958 V,tp 3,46-50,,
11794 Vtp 31Turkey46-50,DVB-S28PSK300003/4,10630,TRT Diyanet Çocuk,,MPEG-4/HD,1630,1730 Tur,,,11794 V,tp 31,46-50,,
11837 Vtp 33West46-50,DVB-S28PSK300002/3,,Türksat,,1070-43301,,6.6,,S Günes240318,11837 V,tp 33,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html
11837 Vtp 33West46-50,DVB-S28PSK300002/3,,Türksat,,1070-43301,,6.6,,S Günes240318,11837 V,tp 33,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html
11837 Vtp 33West46-50,DVB-S28PSK300002/3,,Türksat,,1070-43301,,6.6,,S Günes240318,11837 V,tp 33,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html
11837 Vtp 33West46-50,DVB-S28PSK300002/3,,Türksat,,1070-43301,,6.6,,S Günes240318,11837 V,tp 33,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html
11837 Vtp 33West46-50,DVB-S28PSK300002/3,,Türksat,,1070-43301,,6.6,,S Günes240318,11837 V,tp 33,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html
11837 Vtp 33West46-50,DVB-S28PSK300002/3,,Türksat,,1070-43301,,6.6,,S Günes240318,11837 V,tp 33,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html
11837 Vtp 33West46-50,DVB-S28PSK300002/3,,Türksat,,1070-43301,,6.6,,S Günes240318,11837 V,tp 33,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html
11837 Vtp 33West46-50,DVB-S28PSK300002/3,,Türksat,,1070-43301,,6.6,,S Günes240318,11837 V,tp 33,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html
11837 Vtp 33West46-50,DVB-S28PSK300002/3,,Türksat,,1070-43301,,6.6,,S Günes240318,11837 V,tp 33,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html
11916 Vtp 1West46-50,DVB-S300003/4,,Türksat,,1070-40101,,5.5,,M Al-TaieDXAndy240106,11916 V,tp 1,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html
11916 Vtp 1West46-50,DVB-S300003/4,,Türksat,,1070-40101,,5.5,,M Al-TaieDXAndy240106,11916 V,tp 1,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html
11916 Vtp 1West46-50,DVB-S300003/4,,Türksat,,1070-40101,,5.5,,M Al-TaieDXAndy240106,11916 V,tp 1,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html
11916 Vtp 1West46-50,DVB-S300003/4,,Türksat,,1070-40101,,5.5,,M Al-TaieDXAndy240106,11916 V,tp 1,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html
