Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
11023 Htp 61UK0,DVB-S28PSK230003/4,,Freesat,,2-2061,,7.9,,M Al-Taie240118,11023 H,tp 61,0,,https://www.lyngsat.com/providers/uk/Freesat.html
11023 Htp 61UK0,DVB-S28PSK230003/4,,Freesat,,2-2061,,7.9,,M Al-Taie240118,11023 H,tp 61,0,,https://www.lyngsat.com/providers/uk/Freesat.html
11126 Vtp 68UK0,DVB-S220005/6,,Freesat,,2-2068,,6.5,,D Shimoni150621,11126 V,tp 68,0,,https://www.lyngsat.com/providers/uk/Freesat.html
11126 Vtp 68UK0,DVB-S220005/6,,Freesat,,2-2068,,6.5,,D Shimoni150621,11126 V,tp 68,0,,https://www.lyngsat.com/providers/uk/Freesat.html
11023 Htp 61UK0,DVB-S28PSK230003/4,8901,BBC One Scotland,,MPEG-4/HD,5100,5101 Eng,,,11023 H,tp 61,0,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8911,BBC One Wales,,MPEG-4/HD,5200,5201 Eng,,,11023 H,tp 61,0,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8921,BBC News UK,,MPEG-4/HD,5000,5001 Eng,,,11023 H,tp 61,0,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8926,BBC Alba,,MPEG-4/HD,5500,5501 Gla,,,11023 H,tp 61,0,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8941,BBC One West Midlands,,MPEG-4/HD,5400,5401 Eng,,,11023 H,tp 61,0,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8961,BBC Radio 1,,,,6001 Eng,,,11023 H,tp 61,0,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8962,BBC Radio 2,,,,6002 Eng,,,11023 H,tp 61,0,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8963,BBC Radio 3,,,,6003 Eng,,,11023 H,tp 61,0,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8964,BBC Radio 4 FM,,,,6004 Eng,,,11023 H,tp 61,0,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8965,BBC Radio 5 Live,,,,6005 Eng,,,11023 H,tp 61,0,,
11023 Htp 61UK0,DVB-S28PSK230003/4,8966,BBC Radio Asian Network,,,,6006,,,11023 H,tp 61,0,,
11038 Vtp 62Europe Ku0,DVB-S220005/6,,Sky UK,,2-2062,,6.5,Videoguard,J RobinsonR Eckendorff210209,11038 V,tp 62,0,Videoguard,
11053 Htp 63UK0,DVB-S28PSK230003/4,,Sky UK,,2-2063,,7.9,,R EckendorffJ Robinson231127,11053 H,tp 63,0,,
11068 Vtp 64UK0,DVB-S28PSK230003/4,,Sky UK,,2-2064,,7.9,,R EckendorffJ Robinson231127,11068 V,tp 64,0,,
11082 Htp 65Europe Ku0,DVB-S220005/6,,Sky UK,,2-2065,,6.5,,J Robinson240321,11082 H,tp 65,0,,
11097 Vtp 66UK0,DVB-S28PSK230003/4,,Sky UK,,2-2066,,7.9,,J RobinsonWellikan231122,11097 V,tp 66,0,,
11112 Htp 67Europe Ku0,DVB-S28PSK230002/3,,Sky UK,,2-2067,,6.6,,J RobinsonM Al-Taie240313,11112 H,tp 67,0,,
11141 Htp 69Europe Ku0,DVB-S220005/6,,Sky UK,,2-2069,,6.5,Videoguard,J RobinsonR Eckendorff221026,11141 H,tp 69,0,Videoguard,
11224 Htp 105Europe Ku0,DVB-S275002/3,,Sky UK,,2-2105,,4.4,,J Robinson230721,11224 H,tp 105,0,,
11224 Vtp 106Europe Ku0,DVB-S28PSK230002/3,,Sky UK,,2-2106,,6.6,,R Eckendorff240328,11224 V,tp 106,0,,
11264 Htp 107Europe Ku0,DVB-S275002/3,,Sky UK,,2-2107,,4.4,,F Dibba240105,11264 H,tp 107,0,,
11264 Vtp 108Europe Ku0,DVB-S275002/3,,Sky UK,,2-2108,,4.4,,M Al-TaieJ RobinsonR Eckendorff231214,11264 V,tp 108,0,,
11494 Htp 91Europe Ku0,DVB-S220005/6,,Sky UK,,2-2091,,6.5,,J Robinson240314,11494 H,tp 91,0,,
11509 Vtp 92Europe Ku0,DVB-S28PSK230002/3,,Sky UK,,2-2092,,6.6,Videoguard,J RobinsonM Al-Taie230601,11509 V,tp 92,0,Videoguard,
11523 Htp 93Europe Ku0,DVB-S28PSK230002/3,,Sky UK,,2-2093,,6.6,Videoguard,J RobinsonR EckendorffM Al-Taie240123,11523 H,tp 93,0,Videoguard,
11553 Htp 95Europe Ku0,DVB-S220005/6,,Sky UK,,2-2095,,6.5,,J Robinson240205,11553 H,tp 95,0,,
11568 Vtp 96Europe Ku0,DVB-S220005/6,,Sky UK,,2-2096,,6.5,,J RobinsonR Eckendorff240328,11568 V,tp 96,0,,
11627 Vtp 100Europe Ku0,DVB-S220005/6,,Sky UK,,2-2100,,6.5,Videoguard,R EckendorffM Al-Taie231227,11627 V,tp 100,0,Videoguard,
11641 Htp 101Europe Ku0,DVB-S28PSK230002/3,,Sky UK,,2-2101,,6.6,,M Al-TaieJ Robinson240327,11641 H,tp 101,0,,
11656 Vtp 102Europe Ku0,DVB-S220005/6,,Sky UK,,2-2102,,6.5,,J RobinsonR Eckendorff231130,11656 V,tp 102,0,,
11671 Htp 103Europe Ku0,DVB-S28PSK230002/3,,Sky UK,,2-2103,,6.6,,J RobinsonM Al-TaieR Eckendorff240318,11671 H,tp 103,0,,
11686 Vtp 104Europe Ku0,DVB-S28PSK230002/3,,Sky UK,,2-2104,,6.6,,J RobinsonM Al-Taie240327,11686 V,tp 104,0,,
11038 Vtp 62Europe Ku0,DVB-S220005/6,52420,HGTV Ireland,,MPEG-2/SD,2374,2375 Eng,,,11038 V,tp 62,0,,
11038 Vtp 62Europe Ku0,DVB-S220005/6,52440,DMAX Ireland,,MPEG-2/SD,2335,2336 Eng,,,11038 V,tp 62,0,,
11038 Vtp 62Europe Ku0,DVB-S220005/6,52450,Quest Red Ireland,,MPEG-2/SD,2319,2320 Eng,,,11038 V,tp 62,0,,
11053 Htp 63UK0,DVB-S28PSK230003/4,20710,ITV 2,,MPEG-4/HD,2305,2307 Eng,,,11053 H,tp 63,0,,
11053 Htp 63UK0,DVB-S28PSK230003/4,20720,ITV 1 Channel TV,,MPEG-4/HD,2335,2336 Eng,,,11053 H,tp 63,0,,
11053 Htp 63UK0,DVB-S28PSK230003/4,20730,ITV 1 Wales,,MPEG-4/HD,2320,2321 Eng,,,11053 H,tp 63,0,,
11053 Htp 63UK0,DVB-S28PSK230003/4,20740,ITV 1 Granada,,MPEG-4/HD,2330,2331 Eng,,,11053 H,tp 63,0,,
11053 Htp 63UK0,DVB-S28PSK230003/4,20750,ITV 1 Tyne Tees,,MPEG-4/HD,2318,2317 Eng,,,11053 H,tp 63,0,,
11053 Htp 63UK0,DVB-S28PSK230003/4,20760,ITV 1 Westcountry South West,,MPEG-4/HD,2310,2314 Eng,,,11053 H,tp 63,0,,
11053 Htp 63UK0,DVB-S28PSK230003/4,20770,ITV 1 Westcountry West,,MPEG-4/HD,2325,2326 Eng,,,11053 H,tp 63,0,,
11068 Vtp 64UK0,DVB-S28PSK230003/4,20800,STV West,,MPEG-4/HD,2305,2306 Eng,,,11068 V,tp 64,0,,
11068 Vtp 64UK0,DVB-S28PSK230003/4,20810,UTV,,MPEG-4/HD,2312,2313 Eng,,,11068 V,tp 64,0,,
11068 Vtp 64UK0,DVB-S28PSK230003/4,20820,ITV 1 Yorkshire East,,MPEG-4/HD,2320,2322 Eng,,,11068 V,tp 64,0,,
11068 Vtp 64UK0,DVB-S28PSK230003/4,20825,ITV 4,,MPEG-4/HD,2330,2332 Eng,,,11068 V,tp 64,0,,
11068 Vtp 64UK0,DVB-S28PSK230003/4,20835,ITV Be,,MPEG-4/HD,2335,2336 Eng,,,11068 V,tp 64,0,,
11068 Vtp 64UK0,DVB-S28PSK230003/4,20840,ITV 1 Anglia East,,MPEG-4/HD,2325,2327 Eng,,,11068 V,tp 64,0,,
11068 Vtp 64UK0,DVB-S28PSK230003/4,20850,ITV 1 Border England,,MPEG-4/HD,2310,2311 Eng,,,11068 V,tp 64,0,,
11082 Htp 65Europe Ku0,DVB-S220005/6,50306,Now 80's,,MPEG-2/SD,2360,236. Eng,,,11082 H,tp 65,0,,
11082 Htp 65Europe Ku0,DVB-S220005/6,50321,Now 70's,,MPEG-2/SD,2317,2322 Eng,,,11082 H,tp 65,0,,
11082 Htp 65Europe Ku0,DVB-S220005/6,50335,Sikh Channel,,MPEG-2/SD,2307,2308 Pan,,,11082 H,tp 65,0,,
11082 Htp 65Europe Ku0,DVB-S220005/6,50342,Eman Channel,,MPEG-2/SD,2325,2326 Eng,,,11082 H,tp 65,0,,
11082 Htp 65Europe Ku0,DVB-S220005/6,50347,Gems TV,,MPEG-2/SD,2327,2331 Eng,,,11082 H,tp 65,0,,
