Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
10723 Vtp A2Wide47,DVB-S2QPSK321151/2,,Warner Bros. Discovery,,1-1,,1.0,Viaccess,M Al-Taie230817,10723 V,tp A2,47,Viaccess,https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html
10723 Vtp A2Wide47,DVB-S2QPSK321151/2,4000,Discovery Channel Central Europe,,MPEG-4/SD,4011,4021 Eng4022 Rus,Viaccess,,10723 V,tp A2,47,Viaccess,
10723 Vtp A2Wide47,DVB-S2QPSK321151/2,4100,Animal Planet Rossiya,,MPEG-4/SD,4111,4121 Rus4122 Eng,Viaccess,,10723 V,tp A2,47,Viaccess,
10723 Vtp A2Wide47,DVB-S2QPSK321151/2,4200,Investigation Discovery Rossiya,,MPEG-4/SD,4211,4221 Rus422. Eng,Viaccess,,10723 V,tp A2,47,Viaccess,
10723 Vtp A2Wide47,DVB-S2QPSK321151/2,4300,TLC Rossiya,,MPEG-4/SD,4311,4321 Rus4322 Eng,Viaccess,,10723 V,tp A2,47,Viaccess,
10723 Vtp A2Wide47,DVB-S2QPSK321151/2,4400,Cartoon Network Russia & South East Europe,,MPEG-4/SD,4411,4421 Rus4422 Bul4423 Eng4424 Slv4425 Srp4426 Hrv,Viaccess,,10723 V,tp A2,47,Viaccess,
10723 Vtp A2Wide47,DVB-S2QPSK321151/2,4500,Cartoonito Central & Eastern Europe,,MPEG-4/SD,4511,4521 Pol4522 Eng4523 Hun4524 Rum4525 Rus4526 Cze,Viaccess,,10723 V,tp A2,47,Viaccess,
10723 Vtp A2Wide47,DVB-S2QPSK321151/2,4600,Eurosport 1 Rossiya,,MPEG-4/HD,4611,4621 Rus4622 Eng,Viaccess,,10723 V,tp A2,47,Viaccess,
10723 Vtp A2Wide47,DVB-S2QPSK321151/2,4700,Eurosport 2 Rossiya,,MPEG-4/HD,4711,4721 Rus4722 Eng,Viaccess,,10723 V,tp A2,47,Viaccess,
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,,Chinese mux,,0-2,,1.0,TopwellVisionCrypt,M Al-Taie231227,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,51,CCTV 1,,HEVC/HD,1201,1301 Chi,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,52,CCTV 2,,HEVC/HD,1202,1302 Chi,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,53,CCTV 3,,HEVC/HD,1203,1303 Chi,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,54,CCTV 4 Asia,,HEVC/HD,1204,1304 Chi,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,55,CCTV 5,,HEVC/HD,1205,1305 Chi,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,56,CHC HD Movies,,HEVC/HD,1206,1306 Chi,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,57,CCTV 5+,,HEVC/HD,1207,1307 Chi,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,58,CCTV 8,,HEVC/HD,1208,1308 Chi,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,59,CCTV 7,,HEVC/HD,1209,1309 Chi,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,60,CCTV 13,,HEVC/HD,1210,1310 Chi,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,61,Beijing TV Kaku,,HEVC/HD,1211,1311 Chi,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,62,Magic Channel,,HEVC/HD,1212,1312 Rus,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,63,Beijing TV,,HEVC/HD,1213,1313 Chi,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,64,Dragon TV International,,HEVC/HD,1214,1314 Chi,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,65,Hunan TV International,,HEVC/HD,1215,1315 Chi,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,66,Jiangsu Satellite TV,,HEVC/HD,1216,1316 Chi,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,67,Zhejiang Satellite TV,,HEVC/HD,1217,1317 Chi,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,68,Anhui Satellite TV,,HEVC/HD,1218,1318 Chi,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,69,[test card],,HEVC/HD,1219,1319,TopwellVisionCrypt,,10856 V,tp A6,47,"Topwell,VisionCrypt",
11627 Vtp DE8Eastern,DVB-S28PSK144003/5T2-MIPLP 0,1500,[test card],,HEVC/HD,1510,1520,,,11627 V,tp DE8,,,
11627 Vtp DE8Eastern,DVB-S28PSK144003/5T2-MIPLP 0,1600,[test card],,HEVC/HD,1610,1620,,,11627 V,tp DE8,,,
10856 Vtp A6Wide47,DVB-S2QPSK300001/2,70,Phoenix InfoNews Channel,,HEVC/HD,1220,1320 Chi,,,10856 V,tp A6,47,,
10953 Htp BM1Wide,DVB-S22003/4,,(feeds),,,,,,Jamie A190619,10953 H,tp BM1,,,
10960 Htp BM1Wide,DVB-S33003/4,,(feeds),,,,,,Roli180102,10960 H,tp BM1,,,
10966 Htp BM1Wide,DVB-S25903/4,,(feeds),,,,,,Serdar 22140809,10966 H,tp BM1,,,
10969 Vtp BM2Wide,DVB-S28PSK75003/4,,(feeds),,,,,,Marcel 2150927,10969 V,tp BM2,,,
10975 Htp BM1Wide,DVB-S28PSK22005/6,,(feeds),,,,,,Roli130503,10975 H,tp BM1,,,
10985 Htp BM1Wide,DVB-S2QPSK32143/4,,(feeds),,,,,,Jamie A200908,10985 H,tp BM1,,,
10988 Htp BM1Wide,DVB-S2300,,(feeds),,,,,,F Kocsis200105,10988 H,tp BM1,,,
10990 Vtp BM2Wide,DVB-S28PSK100003/4,,(feeds),,,,,,Jamie A151018,10990 V,tp BM2,,,
10995 Htp BM1Wide,DVB-S28PSK58323/4,,(feeds),,,,,,Jamie A231104,10995 H,tp BM1,,,
11002 Htp BM1Wide,DVB-S28PSK58323/4,,(feeds),,,,,,Jamie A231104,11002 H,tp BM1,,,
11003 Vtp BM2Wide,DVB-S28PSK100003/4,,(feeds),,,,,,Marcel 2151031,11003 V,tp BM2,,,
11009 Htp BM1Wide,DVB-S28PSK58323/4,,(feeds),,,,,,Jamie A231104,11009 H,tp BM1,,,
11013 Vtp BM2Wide,DVB-S13333/4,,(feeds),,,,,,Marcel 2180105,11013 V,tp BM2,,,
11021 Vtp BM2Wide,DVB-S20003/4,,(feeds),,,,,,Roli151030,11021 V,tp BM2,,,
11023 Htp BM1Wide,DVB-S28PSK75003/4,,(feeds),,,,,,Jamie A240120,11023 H,tp BM1,,,
11030 Htp BM1Wide,DVB-S18005/6,,(feeds),,,,,,Roli230606,11030 H,tp BM1,,,
11036 Htp BM1Wide,DVB-S21003/4,,(feeds),,,,,,Roli140104,11036 H,tp BM1,,,
11038 Vtp BM2Wide,DVB-S20003/4,,(feeds),,,,,,Roli150225,11038 V,tp BM2,,,
11044 Htp BM3Western,DVB-S272003/4,,(feeds),,,,,,Roli230913,11044 H,tp BM3,,,
11053 Htp BM3Western,DVB-S272003/4,,(feeds),,,,,,Roli230913,11053 H,tp BM3,,,
11054 Htp BE3Eastern,DVB-S2QPSK21703/4,,(feeds),,,,,,N Stanislav240127,11054 H,tp BE3,,,
11059 Htp BM3Western,DVB-S2QPSK33333/4,,(feeds),,,,,,Roli240107,11059 H,tp BM3,,,
11061 Vtp BM4Wide,DVB-S20003/4,,(feeds),,,,,,Jamie A150427,11061 V,tp BM4,,,
11082 Vtp BM4Wide,DVB-S28PSK74002/3,,(feeds),,,,,,Roli140511,11082 V,tp BM4,,,
11087 Htp BW3Western,DVB-S2QPSK74303/4,,(feeds),,,,,,Marcel 2170208,11087 H,tp BW3,,,
11093 Vtp BM4Wide,DVB-S28PSK100003/4,,(feeds),,,,,,Serdar 22140809,11093 V,tp BM4,,,
11109 Htp BW3Western,DVB-S210932/3,,(feeds),,,,,,Stanley_cassidy240316,11109 H,tp BW3,,,
11124 Vtp BW6Western,DVB-S36003/4,,(feeds),,,,,,Jamie A190519,11124 V,tp BW6,,,
11126 Htp BW5Western,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy210904,11126 H,tp BW5,,,
11126 Vtp BE6Eastern,DVB-S28PSK50002/3,,(feeds),,,,,,N Stanislav220520,11126 V,tp BE6,,,
11135 Htp BW5Western,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy210904,11135 H,tp BW5,,,
11144 Htp BW5Western,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy210904,11144 H,tp BW5,,,
11144 Vtp BE6Eastern,DVB-S28PSK50002/3,,(feeds),,,,,,N Stanislav220520,11144 V,tp BE6,,,
11156 Vtp BW6Western,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy210428,11156 V,tp BW6,,,
11165 Vtp BW6Western,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy210428,11165 V,tp BW6,,,
11171 Vtp BW6Western,DVB-S28PSK10582/3,,(feeds),,,,,,Jamie A190215,11171 V,tp BW6,,,
11172 Htp BW5Western,DVB-S28PSK72003/4,,(feeds),,,,,,Roli230415,11172 H,tp BW5,,,
11180 Htp BW5Western,DVB-S2QPSK33333/4,,(feeds),,,,,,Roli231223,11180 H,tp BW5,,,
11196 Htp BW5Western,DVB-S2QPSK20003/4,,(feeds),,,,,,Jamie A190520,11196 H,tp BW5,,,
11464 Htp DM1Wide,DVB-S25903/4,,(feeds),,,,,,Serdar 22140927,11464 H,tp DM1,,,
11470 Htp DM1Wide,DVB-S2QPSK22005/6,,(feeds),,,,,,Roli240109,11470 H,tp DM1,,,
11473 Vtp DM2Wide,DVB-S16003/4,,(feeds),,,,,,Roli211017,11473 V,tp DM2,,,
11476 Htp DM1Wide,DVB-S2QPSK74405/6,,(feeds),,,,,,Roli240109,11476 H,tp DM1,,,
11480 Vtp DM2Wide,DVB-S22003/4,,(feeds),,,,,,Jamie A240106,11480 V,tp DM2,,,
11482 Vtp DM2Wide,DVB-S2QPSK22003/4,,(feeds),,,,,,Jamie A231015,11482 V,tp DM2,,,
11487 Htp DM1Wide,DVB-S2QPSK20805/6,,(feeds),,,,,,Roli240109,11487 H,tp DM1,,,
11494 Vtp DM2Wide,DVB-S22202/3,,(feeds),,,,,,Serdar 22170925,11494 V,tp DM2,,,
11496 Htp DM1Wide,DVB-S16005/6,,(feeds),,,,,,Roli220806,11496 H,tp DM1,,,
