Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,,2RN,,8564-1005,,5.2,,Wellikan231105,20192 L,tp 4F24,,,https://www.lyngsat.com/providers/ie/2RN.html
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5101,RTÉ One,,MPEG-4/HD,5101,5201 Eng5401 Gle,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5102,RTÉ 2,,MPEG-4/HD,5102,5202 Eng5402 Gle,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5103,RTÉ News,,MPEG-4/SD,5103,5203 Eng,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5104,TG 4,,MPEG-4/SD,5104,5204 Gle,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5107,RTÉ Jr (06-19),,MPEG-4/SD,5107,5207 Eng,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5108,Cúla 4,,MPEG-4/SD,5106,5406 Gle,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5109,Oireachtas TV (Mon-Fri 09-12),,MPEG-4/SD,5109,5209 Gle,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5111,RTÉ One +1,,MPEG-4/SD,5111,5211 Eng5411 Gle,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5112,RTÉ 2 +1 (19-06),,MPEG-4/SD,5112,5212 Eng5412 Gle,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5119,[SaorSat info card],,MPEG-4/SD,5119,,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5120,[Faisneis SaorSat info card],,MPEG-4/SD,5120,,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5226,RTÉ Radio 1,,,,5226 Eng,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5227,RTÉ 2 FM,,,,5227 Eng,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5228,RTÉ Lyric FM,,,,5228 Eng,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5229,RTÉ Raidió na Gaeltachta,,,,5229 Gle,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5230,RTÉ Radio 1 Extra,,,,5230 Eng,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5231,RTÉ Pulse,,,,5231 Eng,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5232,RTÉ 2XM,,,,5232 Eng,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5233,RTÉ Jr Radio (07-21),,,,5233 Eng,,,20192 L,tp 4F24,,,
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5234,RTÉ Gold,,,,5234 Eng,,,20192 L,tp 4F24,,,
