Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
12224 Rtp 1Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-901,,8.1,Nagravision,A Flores200330,12224 R,tp 1,0,Nagravision,
12239 Ltp 2Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-902,,8.1,Nagravision,B Eckart180130,12239 L,tp 2,0,Nagravision,
12253 Rtp 3Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-903,,8.1,Nagravision,A Flores180114,12253 R,tp 3,0,Nagravision,
12268 Ltp 4Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-904,,8.1,Nagravision,A Flores200330,12268 L,tp 4,0,Nagravision,
12282 Rtp 5Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-905,,8.1,Nagravision,A Flores200713,12282 R,tp 5,0,Nagravision,
12311 Rtp 7Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-907,,8.1,Nagravision,A Flores200713,12311 R,tp 7,0,Nagravision,
12326 Ltp 8Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-908,,8.1,Nagravision,A Flores200614,12326 L,tp 8,0,Nagravision,
12341 Rtp 9Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-909,,8.1,Nagravision,A Flores200712,12341 R,tp 9,0,Nagravision,
12355 Ltp 10Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-910,,8.1,Nagravision,A Flores200330,12355 L,tp 10,0,Nagravision,
12370 Rtp 11Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-911,,8.1,Nagravision,A Flores180107,12370 R,tp 11,0,Nagravision,
12384 Ltp 12Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-912,,8.1,Nagravision,A Flores180330,12384 L,tp 12,0,Nagravision,
12428 Rtp 15Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-915,,8.1,Nagravision,Dallara220304,12428 R,tp 15,0,Nagravision,
12443 Ltp 16Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-916,,8.1,Nagravision,A Flores180330,12443 L,tp 16,0,Nagravision,
12472 Ltp 18Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-918,,8.1,Nagravision,A Flores200326,12472 L,tp 18,0,Nagravision,
12486 Rtp 19Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-919,,8.1,Nagravision,A Flores180216,12486 R,tp 19,0,Nagravision,
12516 Rtp 21Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-921,,8.1,Nagravision,A Flores200326,12516 R,tp 21,0,Nagravision,
12516 Rtp 21Conus0,DVB-S8PSK215002/3,101,Dish Network 101,,MPEG-4/SD,7202,7203 Eng,,,12516 R,tp 21,0,,
12516 Rtp 21Conus0,DVB-S8PSK215002/3,500,Dish PPV Guide,,MPEG-4/SD,,Eng,,,12516 R,tp 21,0,,
12530 Ltp 22Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-922,,8.1,Nagravision,A Flores200326,12530 L,tp 22,0,Nagravision,
12545 Rtp 23Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-923,,8.1,Nagravision,A Flores200324,12545 R,tp 23,0,Nagravision,
12559 Ltp 24Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-924,,8.1,Nagravision,A Flores180406,12559 L,tp 24,0,Nagravision,
12574 Rtp 25Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-925,,8.1,Nagravision,A Flores200326,12574 R,tp 25,0,Nagravision,
12603 Rtp 27Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-927,,8.1,Nagravision,A Flores210910,12603 R,tp 27,0,Nagravision,
12618 Ltp 28Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-928,,8.1,Nagravision,A Flores200330,12618 L,tp 28,0,Nagravision,
12632 Rtp 29Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-929,,8.1,Nagravision,A Flores200330,12632 R,tp 29,0,Nagravision,
12661 Rtp 31Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-931,,8.1,Nagravision,C Kvasnovsky231015,12661 R,tp 31,0,Nagravision,
12676 Ltp 32Conus0,DVB-S8PSK215002/3,,Dish USA,,4101-932,,8.1,Nagravision,A Flores180330,12676 L,tp 32,0,Nagravision,
