Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
3723 Htp 1ANCSouth America0,DVB-S28PSK37503/4,,TV A Crítica,,,,7.9,,Edinho fta220905,3723 H,tp 1ANC,0,,https://www.lyngsat.com/providers/br/TV-A-Critica.html
3723 Htp 1ANCSouth America0,DVB-S28PSK37503/4,,TV A Crítica,,MPEG-4/1seg,101,102 Por,,,3723 H,tp 1ANC,0,,https://www.lyngsat.com/providers/br/TV-A-Critica.html
3723 Htp 1ANCSouth America0,DVB-S28PSK37503/4,,TV A Crítica,,MPEG-4/HD,1001,1002 Por,,,3723 H,tp 1ANC,0,,https://www.lyngsat.com/providers/br/TV-A-Critica.html
3723 Htp 1ANCSouth America0,DVB-S28PSK37503/4,1,FM O Dia,,,,1003 Por,,,3723 H,tp 1ANC,0,,
3747 Htp 2ANCSouth America0,DVB-S28PSK77268/9,,Rede Bahia,,,,10.7,Irdeto,Wilkherdasilva200927,3747 H,tp 2ANC,0,Irdeto,https://www.lyngsat.com/providers/br/Rede-Bahia.html
3747 Htp 2ANCSouth America0,DVB-S28PSK77268/9,,Rede Bahia,,,,10.7,Irdeto,Wilkherdasilva200927,3747 H,tp 2ANC,0,Irdeto,https://www.lyngsat.com/providers/br/Rede-Bahia.html
3758 Htp 2ANCSouth America0,DVB-S28PSK112758/9,,Rede Bahia,,,,10.7,,Wilkherdasilva220412,3758 H,tp 2ANC,0,,https://www.lyngsat.com/providers/br/Rede-Bahia.html
3758 Htp 2ANCSouth America0,DVB-S28PSK112758/9,,Rede Bahia,,,,10.7,,Wilkherdasilva220412,3758 H,tp 2ANC,0,,https://www.lyngsat.com/providers/br/Rede-Bahia.html
3747 Htp 2ANCSouth America0,DVB-S28PSK77268/9,7648,TV Oeste,,MPEG-4/HD,373,374 Por,Irdeto,,3747 H,tp 2ANC,0,Irdeto,
3747 Htp 2ANCSouth America0,DVB-S28PSK77268/9,0,TV Oeste,,MPEG-4/1seg,629,630 Por,Irdeto,,3747 H,tp 2ANC,0,Irdeto,
3747 Htp 2ANCSouth America0,DVB-S28PSK77268/9,56096,TV São Francisco,,MPEG-4/HD,273,274 Por,Irdeto,,3747 H,tp 2ANC,0,Irdeto,
3747 Htp 2ANCSouth America0,DVB-S28PSK77268/9,0,TV São Francisco,,MPEG-4/1seg,529,530 Por,Irdeto,,3747 H,tp 2ANC,0,Irdeto,
3758 Htp 2ANCSouth America0,DVB-S28PSK112758/9,101,TV Sudoeste,,MPEG-4/HD,273,274 Por,,,3758 H,tp 2ANC,0,,
3758 Htp 2ANCSouth America0,DVB-S28PSK112758/9,0,TV Sudoeste,,MPEG-4/1seg,529,530 Por,,,3758 H,tp 2ANC,0,,
3758 Htp 2ANCSouth America0,DVB-S28PSK112758/9,102,TV Santa Cruz,,MPEG-4/HD,373,374 Por,,,3758 H,tp 2ANC,0,,
3758 Htp 2ANCSouth America0,DVB-S28PSK112758/9,0,TV Santa Cruz,,MPEG-4/1seg,629,630 Por,,,3758 H,tp 2ANC,0,,
3758 Htp 2ANCSouth America0,DVB-S28PSK112758/9,103,TV Subaé,,MPEG-4/HD,473,474 Por,,,3758 H,tp 2ANC,0,,
3758 Htp 2ANCSouth America0,DVB-S28PSK112758/9,0,TV Subaé,,MPEG-4/1seg,829,830 Por,,,3758 H,tp 2ANC,0,,
3758 Htp 2ANCSouth America0,DVB-S28PSK112758/9,110,Bahia FM,,,,310 Por,,,3758 H,tp 2ANC,0,,
3758 Htp 2ANCSouth America0,DVB-S28PSK112758/9,111,CBN Salvador,,,,410 Por,,,3758 H,tp 2ANC,0,,
3758 Htp 2ANCSouth America0,DVB-S28PSK112758/9,112,GFM 90.1,,,,112 Por,,,3758 H,tp 2ANC,0,,
3764 Vtp 2BNCSouth America0,DVB-S28PSK41655/6,,TV Jangadeiro,,,,9.4,,Edinho fta220905,3764 V,tp 2BNC,0,,https://www.lyngsat.com/providers/br/TV-Jangadeiro.html
3764 Vtp 2BNCSouth America0,DVB-S28PSK41655/6,,TV Jangadeiro,,MPEG-4/HD,273,274 Por,,,3764 V,tp 2BNC,0,,https://www.lyngsat.com/providers/br/TV-Jangadeiro.html
