Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
11727 Rtp 1Japan,ISDB-STC8PSK288602/3,,BS Digital,,,,,B-CAS,Alimudin 328200503,11727 R,tp 1,,B-CAS,
11727 Rtp 1Japan,ISDB-STC8PSK288602/3,151,BS Asahi,,/HD,320,321 Jpn,B-CAS,,11727 R,tp 1,,B-CAS,
11727 Rtp 1Japan,ISDB-STC8PSK288602/3,161,BS-TBS,,/HD,273,274 Jpn,B-CAS,,11727 R,tp 1,,B-CAS,
11727 Rtp 1Japan,ISDB-STC8PSK288602/3,171,BS TV Tokyo,,/HD,,Jpn,B-CAS,,11727 R,tp 1,,B-CAS,
11766 Rtp 3Japan,ISDB-STC8PSK288602/3,,BS Digital,,,,,B-CAS,Alimudin 328200503,11766 R,tp 3,,B-CAS,
11766 Rtp 3Japan,ISDB-STC8PSK288602/3,103,NHK BS Premium,,/HD,,Jpn,B-CAS,,11766 R,tp 3,,B-CAS,
11881 Rtp 9Japan,ISDB-STC8PSK288602/3,,BS Digital,,,,,B-CAS,T Kameda170306,11881 R,tp 9,,B-CAS,
11881 Rtp 9Japan,ISDB-STC8PSK288602/3,211,BS 11,,/HD,,Jpn,B-CAS,,11881 R,tp 9,,B-CAS,
11881 Rtp 9Japan,ISDB-STC8PSK288602/3,222,BS 12,,/HD,,Jpn,B-CAS,,11881 R,tp 9,,B-CAS,
11958 Rtp 13Japan,ISDB-STC8PSK288602/3,,BS Digital,,,,,B-CAS,Alimudin 328200504,11958 R,tp 13,,B-CAS,
11958 Rtp 13Japan,ISDB-STC8PSK288602/3,141,BS Nippon TV,,/HD,,Jpn,B-CAS,,11958 R,tp 13,,B-CAS,
11958 Rtp 13Japan,ISDB-STC8PSK288602/3,181,BS Fuji,,/HD,,Jpn,B-CAS,,11958 R,tp 13,,B-CAS,
11996 Rtp 15Japan,ISDB-STC8PSK288602/3,,BS Digital,,,,,B-CAS,Alimudin 328200503,11996 R,tp 15,,B-CAS,
11996 Rtp 15Japan,ISDB-STC8PSK288602/3,101,NHK BS 1,,,,Jpn,B-CAS,,11996 R,tp 15,,B-CAS,
12034 Rtp 17Japan,ISDB-S316APSK33756.,,BS Digital,,,,,ACAS,Alimudin 328200504,12034 R,tp 17,,ACAS,
12034 Rtp 17Japan,ISDB-S316APSK33756.,45329,BS-TBS 4K,,HEVC/UHD,,Jpn,ACAS,,12034 R,tp 17,,ACAS,
12034 Rtp 17Japan,ISDB-S316APSK33756.,45330,BS Fuji 4K,,HEVC/UHD,,Jpn,ACAS,,12034 R,tp 17,,ACAS,
