Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
3706 HGlobal,DVB-S2QPSK75002/3,1,UNTV,,4-4248MPEG-4/SD,36,3.1  35 Tgl,,C Sutton240329,3706 H,,,,
3706 HGlobal,DVB-S2QPSK75002/3,2,Radio La Verdad,,,,101 Tgl,,,3706 H,,,,
3706 HGlobal,DVB-S2QPSK75002/3,3,Wish 107.5,,,,201 Tgl,,,3706 H,,,,
3714 HGlobal,DVB-S42871/2,1,Ang Dating Daan,,0-1MPEG-2/SD,55,2.7  56 Tgl,Viewcrypt,C Sutton240328,3714 H,,,Viewcrypt,
3734 Vtp 1CGlobal,DVB-S2QPSK3255,,(feeds),,,,,,C Sutton221128,3734 V,tp 1C,,,
3864 VGlobal,DVB-S28PSK44442/3,,RTM Sabah,,,,6.6,,Albert I240127,3864 V,,,,https://www.lyngsat.com/providers/my/RTM-Sabah.html
3864 VGlobal,DVB-S28PSK44442/3,1,(RTM Sabah feeds),,,101,102,,,3864 V,,,,
3864 VGlobal,DVB-S28PSK44442/3,302,[RTM Sabah test card],,MPEG-2/SD,200,201,,,3864 V,,,,
3864 VGlobal,DVB-S28PSK44442/3,302,Sabah FM,,,,201 May,,,3864 V,,,,
3864 VGlobal,DVB-S28PSK44442/3,502,Sabah FM,,,,.01 May,,,3864 V,,,,
3880 VGlobal,DVB-S28PSK124002/3,1013,Sabah FM,,,,1302 May,,,3880 V,,,,
3864 VGlobal,DVB-S28PSK44442/3,402,Sabah V FM,,,,301 May,,,3864 V,,,,
3880 VGlobal,DVB-S28PSK124002/3,1011,Sabah V FM,,,,1102 May,,,3880 V,,,,
3880 VGlobal,DVB-S28PSK124002/3,1014,Sabah V FM,,,,1402 May,,,3880 V,,,,
11062 Vtp A3Malaysia0,DVB-S300007/8,155,Sabah V FM,,,,191,,,11062 V,tp A3,0,,
3870 VGlobal,DVB-S28PSK44442/3,,RTM Sarawak,,,,6.6,,Albert I240127,3870 V,,,,https://www.lyngsat.com/providers/my/RTM-Sarawak.html
3870 VGlobal,DVB-S28PSK44442/3,1001,(RTM Sarawak feeds),,,100,101,,,3870 V,,,,
3870 VGlobal,DVB-S28PSK44442/3,1002,[RTM Sarawak test card],,MPEG-2/SD,401,402,,,3870 V,,,,
3870 VGlobal,DVB-S28PSK44442/3,1002,Sarawak FM,,,,402 May,,,3870 V,,,,
3880 VGlobal,DVB-S28PSK124002/3,1015,Sarawak FM,,,,1502 May,,,3880 V,,,,
3870 VGlobal,DVB-S28PSK44442/3,1003,Wai FM,,,,502 May,,,3870 V,,,,
3880 VGlobal,DVB-S28PSK124002/3,1005,Wai FM,,,,502 May,,,3880 V,,,,
3880 VGlobal,DVB-S28PSK124002/3,1012,Wai FM,,,,1202 May,,,3880 V,,,,
3880 VGlobal,DVB-S28PSK124002/3,1016,Wai FM,,,,1602 May,,,3880 V,,,,
11062 Vtp A3Malaysia0,DVB-S300007/8,159,Wai FM,,,,195 May,,,11062 V,tp A3,0,,
3870 VGlobal,DVB-S28PSK44442/3,1004,Red FM,,,,602 Eng,,,3870 V,,,,
3880 VGlobal,DVB-S28PSK124002/3,,RTM,,,,6.6,BISSDirector,DX Bozóth240229,3880 V,,,"BISS,Director",https://www.lyngsat.com/providers/my/RTM.html
3880 VGlobal,DVB-S28PSK124002/3,1001,RTM TV 1,,MPEG-4/HD,101,102 May,Director,,3880 V,,,Director,
3880 VGlobal,DVB-S28PSK124002/3,1002,[RTM Angkasapuri test card],,MPEG-4/HD,201,202 May,BISS,,3880 V,,,BISS,
3880 VGlobal,DVB-S28PSK124002/3,1003,[RTM Angkasapuri test card],,MPEG-2/SD,301,302,,,3880 V,,,,
3880 VGlobal,DVB-S28PSK124002/3,1011,[RTM Angkasapuri test card],,MPEG-2/SD,1101,1102,,,3880 V,,,,
3880 VGlobal,DVB-S28PSK124002/3,1019,[RTM Angkasapuri test card],,MPEG-2/SD,1901,1902,,,3880 V,,,,
3880 VGlobal,DVB-S28PSK124002/3,1003,Radio Klasik,,,,302 May,,,3880 V,,,,
3880 VGlobal,DVB-S28PSK124002/3,1004,Nasional FM,,,,402 May,,,3880 V,,,,
11062 Vtp A3Malaysia0,DVB-S300007/8,151,Nasional FM,,,,187 May,,,11062 V,tp A3,0,,
3880 VGlobal,DVB-S28PSK124002/3,1006,Asyik FM,,,,602 May,,,3880 V,,,,
11062 Vtp A3Malaysia0,DVB-S300007/8,10353,Asyik FM,,,,199 May,,,11062 V,tp A3,0,,
3880 VGlobal,DVB-S28PSK124002/3,1007,Traxx FM,,,,702 Eng,,,3880 V,,,,
11062 Vtp A3Malaysia0,DVB-S300007/8,10350,Traxx FM,,,,196 Eng,,,11062 V,tp A3,0,,
3880 VGlobal,DVB-S28PSK124002/3,1008,Ai FM,,,,802 Chi,,,3880 V,,,,
11062 Vtp A3Malaysia0,DVB-S300007/8,10352,Ai FM,,,,198 Chi,,,11062 V,tp A3,0,,
3880 VGlobal,DVB-S28PSK124002/3,1009,Minnal FM,,,,902 Tam,,,3880 V,,,,
11062 Vtp A3Malaysia0,DVB-S300007/8,10351,Minnal FM,,,,197 Tam,,,11062 V,tp A3,0,,
3880 VGlobal,DVB-S28PSK124002/3,1010,Pahang FM,,,,200. May,,,3880 V,,,,
3880 VGlobal,DVB-S28PSK124002/3,1019,Kelantan FM,,,,1902 May,,,3880 V,,,,
3880 VGlobal,DVB-S28PSK124002/3,1020,Perak FM,,,,2003,,,3880 V,,,,
3880 VGlobal,DVB-S28PSK124002/3,1021,Terengganu FM,,,,2102,,,3880 V,,,,
3880 VGlobal,DVB-S28PSK124002/3,1022,Johor FM,,,,2202,,,3880 V,,,,
3984 VGlobal,DVB-S28PSK33332/3,,Manila Broadcasting Company,,,,6.6,,C Sutton220907,3984 V,,,,https://www.lyngsat.com/providers/ph/Manila-Broadcasting-Company.html
