Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
3586 Ltp 2AC44-45,DVB-S80003/4,9.0,RT News,,1-2MPEG-2/SD,33.0,5.5  32 Eng,,N Stanislav230706,3586 L,tp 2A,44-45,,,False,
3586 Ltp 2AC44-45,DVB-S80003/4,10.0,Radio Orfey,,,,101 Rus,,,3586 L,tp 2A,44-45,,,False,
3594 Rtp 2C44-45,DVB-S28PSK51203/4T2-MIPLP 1,,RTRS Yamal,,8835-2,,7.9,,N Stanislav210718,3594 R,tp 2,44-45,,https://www.lyngsat.com/providers/ru/RTRS-Yamal.html,True,RTRS Yamal
3594 Rtp 2C44-45,DVB-S28PSK51203/4T2-MIPLP 1,1020.0,Rossiya 1 (+2h),,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,3594 R,tp 2,44-45,GoSTcrypt,,False,RTRS Yamal
3621 Rtp 3C44-45,DVB-S28PSK51303/4T2-MIPLP 1,1020.0,Rossiya 1 (+2h),,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,3621 R,tp 3,44-45,GoSTcrypt,,False,RTRS Yamal
3628 Rtp 3C44-45,DVB-S28PSK51203/4T2-MIPLP 1,1020.0,Rossiya 1 (+2h),,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,3628 R,tp 3,44-45,GoSTcrypt,,False,RTRS Yamal
3857 Rtp 6C44-45,DVB-S28PSK51303/4T2-MIPLP 1,1020.0,Rossiya 1 (+2h),,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,3857 R,tp 6,44-45,GoSTcrypt,,False,RTRS Yamal
3921 Rtp 6C44-45,DVB-S28PSK51303/4T2-MIPLP 1,1020.0,Rossiya 1 (+2h),,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,3921 R,tp 6,44-45,GoSTcrypt,,False,RTRS Yamal
3594 Rtp 2C44-45,DVB-S28PSK51203/4T2-MIPLP 1,1070.0,Rossiya 24,,MPEG-4/SD,1071.0,1072 Rus,,,3594 R,tp 2,44-45,,,False,RTRS Yamal
3595 Ltp 2AC44-45,DVB-S28PSK51303/4T2-MIPLP 1,1070.0,Rossiya 24,,MPEG-4/SD,1071.0,1072 Rus,,,3595 L,tp 2A,44-45,,,False,RTRS Yamal
3621 Rtp 3C44-45,DVB-S28PSK51303/4T2-MIPLP 1,1070.0,Rossiya 24,,MPEG-4/SD,1071.0,1072 Rus,,,3621 R,tp 3,44-45,,,False,RTRS Yamal
3627 Ltp 3AC44-45,DVB-S2QPSK205805/6T2-MIPLP 1,1070.0,Rossiya 24,,MPEG-4/SD,1071.0,1072 Rus,,,3627 L,tp 3A,44-45,,,False,RTRS Yamal
3628 Rtp 3C44-45,DVB-S28PSK51203/4T2-MIPLP 1,1070.0,Rossiya 24,,MPEG-4/SD,1071.0,1072 Rus,,,3628 R,tp 3,44-45,,,False,RTRS Yamal
3643 Rtp 3C44-45,DVB-S28PSK152843/4T2-MIPLP 1,1070.0,Rossiya 24,,MPEG-4/SD,1071.0,1072 Rus,,,3643 R,tp 3,44-45,,,False,RTRS Yamal
3695 Rtp 4C44-45,DVB-S28PSK51203/4T2-MIPLP 1,1070.0,Rossiya 24,,MPEG-4/SD,1071.0,1072 Rus,,,3695 R,tp 4,44-45,,,False,RTRS Yamal
