Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
3817 Htp 4CAfrica & Europe,DVB-S2QPSK33331/2,,,,,,1.0,,DX Bozóth230811,3817 H,tp 4C,,,,False,
3819 Vtp 3CAfrica & Europe,,,,,,,,,N Stanislav240201,3819 V,tp 3C,,,,False,
3823 Vtp 3CAfrica & Europe,,,,,,,,,DX Bozóth240119,3823 V,tp 3C,,,,False,
3827 Htp 15CAfrica & Europe,,,,,,,,,N Stanislav240205,3827 H,tp 15C,,,,False,
3940 Htp 18CAfrica & Europe,,,,,,,,,N Stanislav240205,3940 H,tp 18C,,,,False,
3945 Vtp 6CAfrica & Europe,,,,,,,,,N Stanislav240205,3945 V,tp 6C,,,,False,
3995 Vtp 8CAfrica & Europe,,,,,,,,,N Stanislav240205,3995 V,tp 8C,,,,False,
11104 Vtp 8KCentral Asia,,,,,,,,,N Stanislav240117,11104 V,tp 8K,,,,False,
3817 Htp 4CAfrica & Europe,DVB-S2QPSK33331/2,257.0,Wailing Women Worldwide TV,,,257.0,258 Eng,,,3817 H,tp 4C,,,,False,
3817 Htp 4CAfrica & Europe,DVB-S2QPSK33331/2,531.0,MFM TV,,,532.0,533 Eng,,,3817 H,tp 4C,,,,False,
4148 Vtp 11CAfrica & Europe,DVB-S28PSK24003/5,1.0,MFM TV,,?-?MPEG-4/HD,33.0,5.5  34 Eng,,N Stanislav240205,4148 V,tp 11C,,,,False,
3817 Htp 4CAfrica & Europe,DVB-S2QPSK33331/2,513.0,Zodiak Radio,,,,519 Eng,,,3817 H,tp 4C,,,,False,
3817 Htp 4CAfrica & Europe,DVB-S2QPSK33331/2,514.0,Capital FM (Malawi),,,,521 Eng,,,3817 H,tp 4C,,,,False,
3817 Htp 4CAfrica & Europe,DVB-S2QPSK33331/2,517.0,Nyami Nyami FM,,,,525 Eng,,,3817 H,tp 4C,,,,False,
3827 Vtp 3CAfrica & Europe,DVB-S2QPSK14004/5,1.0,Kameme TV,,?-?MPEG-4/SD,258.0,4.7 257 Eng,,N Stanislav240205,3827 V,tp 3C,,,,False,
3834 Htp 16CAfrica & Europe,DVB-S28PSK15853/4,,Kenyan mux,,,,7.9,,DX Bozóth230719,3834 H,tp 16C,,,,False,
4138 Vtp 11CAfrica & Europe,DVB-S2QPSK13045/6,,Kenyan mux,,,,5.2,,Zelda220716,4138 V,tp 11C,,,,False,
3834 Htp 16CAfrica & Europe,DVB-S28PSK15853/4,11.0,Lulu FM,,,,400,,,3834 H,tp 16C,,,,False,
3834 Htp 16CAfrica & Europe,DVB-S28PSK15853/4,12.0,Trace FM Kenya,,,,401 Eng,,,3834 H,tp 16C,,,,False,
3834 Htp 16CAfrica & Europe,DVB-S28PSK15853/4,13.0,Sidai FM,,,,402,,,3834 H,tp 16C,,,,False,
3834 Htp 16CAfrica & Europe,DVB-S28PSK15853/4,14.0,Soundcity Radio 88.5 Nairobi,,,,403 Eng,,,3834 H,tp 16C,,,,False,
3834 Htp 16CAfrica & Europe,DVB-S28PSK15853/4,15.0,Sang'u FM,,,,52,,,3834 H,tp 16C,,,,False,
3834 Htp 16CAfrica & Europe,DVB-S28PSK15853/4,16.0,Getu FM,,,,54 Som,,,3834 H,tp 16C,,,,False,
3834 Htp 16CAfrica & Europe,DVB-S28PSK15853/4,17.0,Inka FM,,,,56,,,3834 H,tp 16C,,,,False,
3834 Htp 16CAfrica & Europe,DVB-S28PSK15853/4,18.0,Gichichio FM,,,,58,,,3834 H,tp 16C,,,,False,
