Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
11747 Rtp ER2Fixed 10,DVB-S28PSK275003/4,,Trikolor,,253-2,,7.9,ExsetDRECryptDREGuard,N Stanislav231013,11747 R,tp ER2,0,"Exset,DRECrypt,DREGuard",,False,
12073 Ltp ER19Fixed 10,DVB-S28PSK275003/4,,Trikolor,,253-19,,7.9,ExsetDRECryptDREGuard,N Stanislav240212,12073 L,tp ER19,0,"Exset,DRECrypt,DREGuard",,False,
12092 Htp EA20Fixed 20,DVB-S28PSK275002/3,,DSTV Africa,,878-65432,,6.6,Irdeto,Anonymous240118,12092 H,tp EA20,0,Irdeto,,False,
12111 Vtp EA21Fixed 20,DVB-S28PSK275002/3,,DSTV Africa,,878-65440,,6.6,Irdeto,Anonymous231128,12111 V,tp EA21,0,Irdeto,,False,
12111 Ltp ER21Fixed 10,DVB-S28PSK275003/4,,Trikolor,,253-21,,7.9,ExsetDRECryptDREGuard,N Stanislav231204,12111 L,tp ER21,0,"Exset,DRECrypt,DREGuard",,False,
12130 Htp EA22Fixed 20,DVB-S275003/4,,DSTV Africa,,878-65428,,5.5,Irdeto,Anonymous240221,12130 H,tp EA22,0,Irdeto,,False,
12149 Vtp EA23Fixed 20,DVB-S275003/4,,DSTV Africa,,878-65441,,5.5,Irdeto,Anonymous240210,12149 V,tp EA23,0,Irdeto,,False,
12169 Htp EA24Fixed 20,DVB-S28PSK275002/3,,DSTV Africa,,878-65429,,6.6,Irdeto,Anonymous240221,12169 H,tp EA24,0,Irdeto,,False,
12174 Ltp ER25Fixed 10,DVB-S43403/4,1.0,TNV Tatarstan,,1-1MPEG-2/SD,320.0,5.5 401 Rus,,V KopertehovD Shimoni160210,12174 L,tp ER25,0,,,False,
12174 Ltp ER25Fixed 10,DVB-S43403/4,1.0,Bolgar Radiosi,,,,402 Rus,,,12174 L,tp ER25,0,,,False,
12188 Vtp EA25Fixed 20,DVB-S275003/4,,DSTV Africa,,878-65442,,5.5,Irdeto,Anonymous240114,12188 V,tp EA25,0,Irdeto,,False,
12190 Ltp ER25Fixed 10,DVB-S28PSK225003/4,,Trikolor,,253-25,,7.9,ExsetDRECryptDREGuard,N Stanislav240109,12190 L,tp ER25,0,"Exset,DRECrypt,DREGuard",,False,
12190 Ltp ER25Fixed 10,DVB-S28PSK225003/4,40.0,Radio 1 (Russia),,,,321 Rus,,,12190 L,tp ER25,0,,,False,
12207 Htp EA26Fixed 20,DVB-S275003/4,,DSTV Africa,,878-65425,,5.5,Irdeto,Anonymous231218,12207 H,tp EA26,0,Irdeto,,False,
12207 Rtp ER26Fixed 10,DVB-S2QPSK275003/4,,NTV Plus,,,,4.0,CompunicateViaccess,N Stanislav230705,12207 R,tp ER26,0,"Compunicate,Viaccess",,False,
12226 Vtp EA27Fixed 20,DVB-S28PSK275002/3,,DSTV Africa,,878-65443,,6.6,Irdeto,Anonymous240209,12226 V,tp EA27,0,Irdeto,,False,
12226 Ltp ER27Fixed 10,DVB-S275003/4,,Trikolor,,253-27,,5.5,ExsetDRECryptDREGuard,N Stanislav230905,12226 L,tp ER27,0,"Exset,DRECrypt,DREGuard",,False,
12226 Ltp ER27Fixed 10,DVB-S275003/4,27000.0,Trikolor Infokanal,,MPEG-4/SD,271.0,272 Rus,,,12226 L,tp ER27,0,,,False,
12226 Ltp ER27Fixed 10,DVB-S275003/4,27105.0,Promo TV,,MPEG-4/SD,1051.0,1052 Rus,,,12226 L,tp ER27,0,,,False,
12226 Ltp ER27Fixed 10,DVB-S275003/4,50000.0,[Trikolor info card],,MPEG-4/SD,5892.0,5893 Rus,,,12226 L,tp ER27,0,,,False,
12226 Ltp ER27Fixed 10,DVB-S275003/4,50001.0,[Trikolor info card],,MPEG-4/SD,5899.0,5900 Rus,,,12226 L,tp ER27,0,,,False,
12265 Vtp EA29Fixed 20,DVB-S216APSK314203/4MultistreamStream 1T2-MIPLP 1,,GoTV Africa,,,,,Irdeto,Anonymous240114,12265 V,tp EA29,0,Irdeto,,False,
12265 Vtp EA29Fixed 20,DVB-S216APSK314203/4MultistreamStream 1T2-MIPLP 1,194.0,UBC TV,,MPEG-4/SD,2194.0,3194,,,12265 V,tp EA29,0,,,False,
12265 Vtp EA29Fixed 20,DVB-S216APSK314203/4MultistreamStream 1T2-MIPLP 1,215.0,K24,,MPEG-4/SD,2215.0,3215 Eng,,,12265 V,tp EA29,0,,,False,
12265 Vtp EA29Fixed 20,DVB-S216APSK314203/4MultistreamStream 1T2-MIPLP 1,218.0,KBC Channel 1,,MPEG-4/SD,2218.0,3218 Eng,,,12265 V,tp EA29,0,,,False,
12265 Vtp EA29Fixed 20,DVB-S216APSK314203/4MultistreamStream 1T2-MIPLP 1,286.0,NTA International,,MPEG-4/SD,2286.0,3286 Eng,,,12265 V,tp EA29,0,,,False,
12265 Vtp EA29Fixed 20,DVB-S216APSK314203/4MultistreamStream 1T2-MIPLP 1,291.0,MBC (Malawi),,MPEG-4/SD,2291.0,3291 Eng,,,12265 V,tp EA29,0,,,False,
12265 Ltp ER29Fixed 10,DVB-S275003/4,,NTV Plus,,112-10,,5.5,CompunicateViaccess,N Stanislav230719,12265 L,tp ER29,0,"Compunicate,Viaccess",,False,
12284 Htp EA30Fixed 20,DVB-S28PSK275002/3,,DSTV Africa,,878-65430,,6.6,Irdeto,Anonymous240221,12284 H,tp EA30,0,Irdeto,,False,
12284 Rtp ER30Fixed 10,DVB-S28PSK275003/4,,NTV Plus,,112-8,,7.9,CompunicateViaccess,N Stanislav230905,12284 R,tp ER30,0,"Compunicate,Viaccess",,False,
12284 Rtp ER30Fixed 10,DVB-S28PSK275003/4,817.0,Leomax 24,,MPEG-4/SD,217.0,317 Rus,,,12284 R,tp ER30,0,,,False,
12284 Rtp ER30Fixed 10,DVB-S28PSK275003/4,826.0,Shopping Live,,MPEG-4/SD,226.0,326 Rus,,,12284 R,tp ER30,0,,,False,
12303 Vtp EA31Fixed 20,DVB-S275003/4,,DSTV Africa,,878-65420,,5.5,Irdeto,Anonymous240114,12303 V,tp EA31,0,Irdeto,,False,
12303 Ltp ER31Fixed 10,DVB-S28PSK275003/4,,Trikolor,,253-31,,7.9,ExsetDRECryptDREGuard,N Stanislav240301,12303 L,tp ER31,0,"Exset,DRECrypt,DREGuard",,False,
12303 Ltp ER31Fixed 10,DVB-S28PSK275003/4,3.0,Soyuz,,MPEG-4/SD,303.0,405 Rus,,,12303 L,tp ER31,0,,,False,
12303 Ltp ER31Fixed 10,DVB-S28PSK275003/4,4.0,Radio Voskresenie,,,,126 Rus,,,12303 L,tp ER31,0,,,False,
12322 Htp EA32Fixed 20,DVB-S28PSK275002/3,,DSTV Africa,,878-65431,,6.6,,Anonymous231121,12322 H,tp EA32,0,,,False,
12322 Htp EA32Fixed 20,DVB-S28PSK275002/3,3110.0,[ODS VOD Nano test card],,MPEG-4/HD,3050.0,3047,,,12322 H,tp EA32,0,,,False,
12322 Rtp ER32Fixed 10,DVB-S28PSK275003/4,,NTV Plus,,112-1,,7.9,CompunicateViaccess,N Stanislav230712,12322 R,tp ER32,0,"Compunicate,Viaccess",,False,
12341 Vtp EA33Fixed 20,DVB-S28PSK275002/3,,DSTV Africa,,878-65433,,6.6,Irdeto,Anonymous230419,12341 V,tp EA33,0,Irdeto,,False,
