Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
10714 Htp 41UK0,DVB-S220005/6,,Sky UK,,2-2041,,6.5,,J Robinson180807,10714 H,tp 41,0,,,False,
10936 Vtp 56UK0,DVB-S220005/6,,Sky UK,,2-2056,,6.5,,R EckendorffJ Robinson220629,10936 V,tp 56,0,,,False,
11386 Htp 113UK0,DVB-S2QPSK295008/9,,Sky UK,,2-2113,,6.2,Videoguard,J RobinsonR Eckendorff240318,11386 H,tp 113,0,Videoguard,,False,
11386 Vtp 114UK0,DVB-S2QPSK295008/9,,Sky UK,,2-2114,,6.2,Videoguard,DX Bozóth240319,11386 V,tp 114,0,Videoguard,,False,
11426 Vtp 116UK0,DVB-S2QPSK295008/9,,Sky UK,,2-2116,,6.2,,J Robinson240304,11426 V,tp 116,0,,,False,
11758 Htp 3Europe Ku0,DVB-S28PSK275002/3,,Sky UK,,2-2003,,6.6,Videoguard,J RobinsonR Eckendorff240125,11758 H,tp 3,0,Videoguard,,False,
11836 Htp 7Europe Ku0,DVB-S275005/6,,Sky UK,,2-2007,,6.5,Videoguard,J RobinsonR Eckendorff240103,11836 H,tp 7,0,Videoguard,,False,
11856 Vtp 8Europe Ku0,DVB-S28PSK275002/3,,Sky UK,,2-2008,,6.6,Videoguard,J Robinson240305,11856 V,tp 8,0,Videoguard,,False,
11914 Htp 11Europe Ku0,DVB-S275005/6,,Sky UK,,2-2011,,6.5,Videoguard,J RobinsonR Eckendorff240103,11914 H,tp 11,0,Videoguard,,False,
11934 Vtp 12Europe Ku0,DVB-S275005/6,,Sky UK,,2-2012,,6.5,Videoguard,J Robinson240213,11934 V,tp 12,0,Videoguard,,False,
12012 Vtp 16Europe Ku0,DVB-S28PSK275002/3,,Sky UK,,2-2016,,6.6,Videoguard,J Robinson240305,12012 V,tp 16,0,Videoguard,,False,
12070 Htp 19Europe Ku0,DVB-S275005/6,,Sky UK,,2-2019,,6.5,Videoguard,R EckendorffM Al-Taie240106,12070 H,tp 19,0,Videoguard,,False,
12090 Vtp 20Europe Ku0,DVB-S28PSK275002/3,,Sky UK,,2-2020,,6.6,Videoguard,J Robinson240213,12090 V,tp 20,0,Videoguard,,False,
12363 Vtp 34UK0,DVB-S28PSK275002/3,,Sky UK,,2-2034,,6.6,Videoguard,J Robinson240219,12363 V,tp 34,0,Videoguard,,False,
10714 Htp 41UK0,DVB-S220005/6,9211.0,Channel 4 London,,MPEG-2/SD,2315.0,2316 Eng,,,10714 H,tp 41,0,,,False,
10714 Htp 41UK0,DVB-S220005/6,9212.0,Channel 4 South & East,,MPEG-2/SD,2327.0,2328 Eng,,,10714 H,tp 41,0,,,False,
12363 Vtp 34UK0,DVB-S28PSK275002/3,5202.0,Channel 4 South & East,,MPEG-4/HD,518.0,652 Eng,,,12363 V,tp 34,0,,,False,
10714 Htp 41UK0,DVB-S220005/6,9213.0,Channel 4 Midlands,,MPEG-2/SD,2332.0,2333 Eng,,,10714 H,tp 41,0,,,False,
10714 Htp 41UK0,DVB-S220005/6,9214.0,Channel 4 North,,MPEG-2/SD,2337.0,2338 Eng,,,10714 H,tp 41,0,,,False,
10714 Htp 41UK0,DVB-S220005/6,9216.0,Channel 4 Scotland,,MPEG-2/SD,2347.0,2348 Eng,,,10714 H,tp 41,0,,,False,
12363 Vtp 34UK0,DVB-S28PSK275002/3,5248.0,Channel 4 Scotland,,MPEG-4/HD,514.0,649 Eng,,,12363 V,tp 34,0,,,False,
10714 Htp 41UK0,DVB-S220005/6,9220.0,Film 4 UK,,MPEG-2/SD,2353.0,2354 Eng,,,10714 H,tp 41,0,,,False,
10714 Htp 41UK0,DVB-S220005/6,9230.0,More 4 UK +1,,MPEG-2/SD,2367.0,2368 Eng,,,10714 H,tp 41,0,,,False,
10714 Htp 41UK0,DVB-S220005/6,9241.0,E4 UK,,MPEG-2/SD,2372.0,2373 Eng,,,10714 H,tp 41,0,,,False,
10773 Htp 45UK0,DVB-S28PSK230003/4,,Freesat,,2-2045,,7.9,,J Robinson231031,10773 H,tp 45,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10773 Htp 45UK0,DVB-S28PSK230003/4,,Freesat,,2-2045,,7.9,,J Robinson231031,10773 H,tp 45,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10773 Htp 45UK0,DVB-S28PSK230003/4,,Freesat,,2-2045,,7.9,,J Robinson231031,10773 H,tp 45,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10773 Htp 45UK0,DVB-S28PSK230003/4,,Freesat,,2-2045,,7.9,,J Robinson231031,10773 H,tp 45,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10773 Htp 45UK0,DVB-S28PSK230003/4,,Freesat,,2-2045,,7.9,,J Robinson231031,10773 H,tp 45,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10788 Vtp 46UK0,DVB-S28PSK230003/4,,Freesat,,2-2046,,7.9,,J RobinsonR Eckendorff231031,10788 V,tp 46,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10788 Vtp 46UK0,DVB-S28PSK230003/4,,Freesat,,2-2046,,7.9,,J RobinsonR Eckendorff231031,10788 V,tp 46,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10788 Vtp 46UK0,DVB-S28PSK230003/4,,Freesat,,2-2046,,7.9,,J RobinsonR Eckendorff231031,10788 V,tp 46,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10788 Vtp 46UK0,DVB-S28PSK230003/4,,Freesat,,2-2046,,7.9,,J RobinsonR Eckendorff231031,10788 V,tp 46,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10788 Vtp 46UK0,DVB-S28PSK230003/4,,Freesat,,2-2046,,7.9,,J RobinsonR Eckendorff231031,10788 V,tp 46,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10818 Vtp 48UK0,DVB-S28PSK230003/4,,Freesat,,2-2048,,7.9,,J RobinsonR Eckendorff231101,10818 V,tp 48,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10818 Vtp 48UK0,DVB-S28PSK230003/4,,Freesat,,2-2048,,7.9,,J RobinsonR Eckendorff231101,10818 V,tp 48,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10818 Vtp 48UK0,DVB-S28PSK230003/4,,Freesat,,2-2048,,7.9,,J RobinsonR Eckendorff231101,10818 V,tp 48,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10818 Vtp 48UK0,DVB-S28PSK230003/4,,Freesat,,2-2048,,7.9,,J RobinsonR Eckendorff231101,10818 V,tp 48,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10818 Vtp 48UK0,DVB-S28PSK230003/4,,Freesat,,2-2048,,7.9,,J RobinsonR Eckendorff231101,10818 V,tp 48,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10847 Vtp 50UK0,DVB-S28PSK230003/4,,Freesat,,2-2050,,7.9,,R Eckendorff230224,10847 V,tp 50,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10847 Vtp 50UK0,DVB-S28PSK230003/4,,Freesat,,2-2050,,7.9,,R Eckendorff230224,10847 V,tp 50,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10847 Vtp 50UK0,DVB-S28PSK230003/4,,Freesat,,2-2050,,7.9,,R Eckendorff230224,10847 V,tp 50,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10847 Vtp 50UK0,DVB-S28PSK230003/4,,Freesat,,2-2050,,7.9,,R Eckendorff230224,10847 V,tp 50,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10847 Vtp 50UK0,DVB-S28PSK230003/4,,Freesat,,2-2050,,7.9,,R Eckendorff230224,10847 V,tp 50,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10891 Htp 53UK0,DVB-S220005/6,,Freesat,,2-2053,,6.5,,J RobinsonR Eckendorff240116,10891 H,tp 53,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10891 Htp 53UK0,DVB-S220005/6,,Freesat,,2-2053,,6.5,,J RobinsonR Eckendorff240116,10891 H,tp 53,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10891 Htp 53UK0,DVB-S220005/6,,Freesat,,2-2053,,6.5,,J RobinsonR Eckendorff240116,10891 H,tp 53,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10891 Htp 53UK0,DVB-S220005/6,,Freesat,,2-2053,,6.5,,J RobinsonR Eckendorff240116,10891 H,tp 53,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10891 Htp 53UK0,DVB-S220005/6,,Freesat,,2-2053,,6.5,,J RobinsonR Eckendorff240116,10891 H,tp 53,0,,https://www.lyngsat.com/providers/uk/Freesat.html,True,Freesat
10773 Htp 45UK0,DVB-S28PSK230003/4,6308.0,BBC Parliament,,MPEG-4/HD,5400.0,5401 Eng,,,10773 H,tp 45,0,,,False,Freesat
10773 Htp 45UK0,DVB-S28PSK230003/4,6311.0,BBC One North East & Cumbria,,MPEG-4/HD,5500.0,5501 Eng,,,10773 H,tp 45,0,,,False,Freesat
10773 Htp 45UK0,DVB-S28PSK230003/4,6312.0,BBC Two Northern Ireland,,MPEG-4/HD,5300.0,530. Eng,,,10773 H,tp 45,0,,,False,Freesat
10773 Htp 45UK0,DVB-S28PSK230003/4,6331.0,BBC One North West,,MPEG-4/HD,5100.0,5101 Eng,,,10773 H,tp 45,0,,,False,Freesat
10773 Htp 45UK0,DVB-S28PSK230003/4,6371.0,BBC One Yorkshire,,MPEG-4/HD,5200.0,5201 Eng,,,10773 H,tp 45,0,,,False,Freesat
10773 Htp 45UK0,DVB-S28PSK230003/4,6339.0,BBC Radio 5 Live Sports Extra,,,,6011 Eng,,,10773 H,tp 45,0,,,False,Freesat
10773 Htp 45UK0,DVB-S28PSK230003/4,6340.0,BBC Radio 1Xtra,,,,6012 Eng,,,10773 H,tp 45,0,,,False,Freesat
10773 Htp 45UK0,DVB-S28PSK230003/4,6383.0,BBC Radio Cymru 2,,,,6010 Wel,,,10773 H,tp 45,0,,,False,Freesat
10773 Htp 45UK0,DVB-S28PSK230003/4,6389.0,BBC Radio London,,,,6013 Eng,,,10773 H,tp 45,0,,,False,Freesat
10788 Vtp 46UK0,DVB-S28PSK230003/4,10310.0,BBC One Channel Islands,,MPEG-4/HD,5300.0,5301 Eng,,,10788 V,tp 46,0,,,False,Freesat
