Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
10955 HNW Africa0,DVB-S28PSK7893/4,,MFM Radio,,,,7.9,,EnoSat231113,10955 H,,0.0,,https://www.lyngsat.com/providers/ma/MFM-Radio.html,True,MFM Radio
10955 HNW Africa0,DVB-S28PSK7893/4,1000.0,MFM Radio Casablanca,,,,101 Ara,,,10955 H,,0.0,,,False,MFM Radio
10955 HNW Africa0,DVB-S28PSK7893/4,2000.0,MFM Radio Agadir,,,,201 Ara,,,10955 H,,0.0,,,False,MFM Radio
10955 HNW Africa0,DVB-S28PSK7893/4,3000.0,MFM Radio Marrakech,,,,301 Ara,,,10955 H,,0.0,,,False,MFM Radio
10955 HNW Africa0,DVB-S28PSK7893/4,4000.0,MFM Radio Fes,,,,401 Ara,,,10955 H,,0.0,,,False,MFM Radio
10960 HNW Africa,DVB-S28PSK33003/4,,(feeds),,,,,,DX Bozóth210909,10960 H,,,,,False,MFM Radio
11022 HNW Africa,DVB-S44352/3,,(feeds),,,,,,DX Bozóth220704,11022 H,,,,,False,MFM Radio
10970 VNW Africa0,DVB-S28PSK275002/3,,RCS,,702-7814,,6.6,,M Al-Taie240324,10970 V,,0.0,,https://www.lyngsat.com/providers/gh/RCS.html,True,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,,RCS,,702-7814,,6.6,,M Al-Taie240324,10970 V,,0.0,,https://www.lyngsat.com/providers/gh/RCS.html,True,RCS
11010 VNW Africa0,DVB-S28PSK275002/3,,RCS,,702-7815,,6.6,,M Al-Taie240329,11010 V,,0.0,,https://www.lyngsat.com/providers/gh/RCS.html,True,RCS
11010 VNW Africa0,DVB-S28PSK275002/3,,RCS,,702-7815,,6.6,,M Al-Taie240329,11010 V,,0.0,,https://www.lyngsat.com/providers/gh/RCS.html,True,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7101.0,Gaskia TV,,MPEG-4/HD,1101.0,2101 Hau,,,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7102.0,Gaskia Plus TV,,MPEG-4/HD,1102.0,2102 Hau,,,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7103.0,Haske TV,,MPEG-4/SD,1103.0,51 Eng,,,10970 V,,0.0,,,False,RCS
11010 VNW Africa0,DVB-S28PSK275002/3,8114.0,Haske TV,,MPEG-4/SD,51.0,56 Eng,,,11010 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7109.0,Saha TV,,MPEG-4/HD,1109.0,2109 Ara,,,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7113.0,Pan African TV,,MPEG-4/HD,1113.0,2113 Eng,,,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7115.0,MTA Ghana,,MPEG-4/HD,1115.0,.115 Eng,,,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7116.0,Khalifa TV,,MPEG-4/SD,1116.0,2116,,new,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7117.0,NTA Knowledge,,MPEG-4/SD,1117.0,2117 Eng,,new,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7119.0,NTA Igbo,,MPEG-4/SD,1119.0,2119,,new,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7121.0,NTA 2,,MPEG-4/SD,1121.0,2121 Eng,,,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7122.0,Rahma TV (Ghana),,MPEG-4/HD,1122.0,2122 Eng,,new,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7124.0,Sunna TV (Saudi Arabia),,MPEG-4/HD,1124.0,2124 Ara,,new,10970 V,,0.0,,,False,RCS
11230 HMENA,DVB-S275003/4,5602.0,Sunna TV (Saudi Arabia),,MPEG-2/SD,2301.0,2311 Ara,,,11230 H,,,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7126.0,Quran TV (Saudi Arabia),,MPEG-4/HD,1126.0,2126 Ara,,,10970 V,,0.0,,,False,RCS
11230 HMENA,DVB-S275003/4,5601.0,Quran TV (Saudi Arabia),,MPEG-2/SD,2308.0,2309 Ara,,,11230 H,,,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7127.0,Eeman Da'wah TV,,MPEG-4/SD,1127.0,2127,,,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7128.0,AAU TV,,MPEG-4/SD,1128.0,2128 Eng,,,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7130.0,Western North TV,,MPEG-4/SD,1130.0,2130 Eng,,new,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7136.0,KBTV,,MPEG-4/SD,1136.0,2136 Eng,,,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7137.0,Sunnah TV Ghana,,MPEG-4/SD,1137.0,213. Eng,,,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7140.0,OSBC TV,,MPEG-4/SD,1140.0,2140 Eng,,,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7142.0,Al-Ansar TV,,MPEG-4/SD,1142.0,2142 Eng,,new,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7146.0,Ogun State TV,,MPEG-4/HD,1146.0,2146 Eng,,new,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7151.0,Peace TV English,,MPEG-4/HD,1151.0,2151 Eng,,new,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7181.0,Kantanka TV,,MPEG-4/SD,1181.0,33 Eng,,new,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7193.0,Aso TV,,MPEG-4/SD,1193.0,2193 Eng,,new,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7194.0,Kwara TV,,MPEG-4/HD,1194.0,2194 Eng,,new,10970 V,,0.0,,,False,RCS
10970 VNW Africa0,DVB-S28PSK275002/3,7195.0,Ekiti State TV,,MPEG-4/SD,512.0,49 Eng,,new,10970 V,,0.0,,,False,RCS
