Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
3846 Rtp C5D,DVB-S28PSK67302/3,,Signet,,1-1,,6.6,,K Hillary210624,3846 R,tp C5D,,,https://www.lyngsat.com/providers/ke/Signet.html,True,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,1.0,Star Africa TV,,MPEG-4/SD,1000.0,2000 Eng,,,3846 R,tp C5D,,,,False,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,9.0,KU TV,,MPEG-4/SD,1091.0,1092 Eng,,,3846 R,tp C5D,,,,False,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,24.0,Mt Kenya TV,,MPEG-4/SD,1241.0,1242 Eng,,,3846 R,tp C5D,,,,False,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,35.0,Baite TV,,MPEG-4/SD,1351.0,1352 Eng,,,3846 R,tp C5D,,,,False,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,42.0,Mutongoi TV,,MPEG-4/SD,1421.0,1422 Eng,,,3846 R,tp C5D,,,,False,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,55.0,Testimony TV (Kenya),,MPEG-4/SD,1551.0,1552 Eng,,,3846 R,tp C5D,,,,False,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,101.0,KBC Channel 1,,MPEG-4/SD,601.0,602 Eng,,,3846 R,tp C5D,,,,False,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,102.0,KBC Radio Taifa,,,,702,,,3846 R,tp C5D,,,,False,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,103.0,KBC English Service,,,,703 Eng,,,3846 R,tp C5D,,,,False,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,104.0,Iftiin FM,,,,704,,,3846 R,tp C5D,,,,False,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,205.0,Iftiin FM,,,,2232,,,3846 R,tp C5D,,,,False,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,105.0,Coro FM,,,,705,,,3846 R,tp C5D,,,,False,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,106.0,Nosim FM,,,,706,,,3846 R,tp C5D,,,,False,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,107.0,Minto FM,,,,707,,,3846 R,tp C5D,,,,False,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,108.0,Kitwek FM,,,,708,,,3846 R,tp C5D,,,,False,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,109.0,Mayienga FM,,,,709,,,3846 R,tp C5D,,,,False,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,110.0,Mwatu FM,,,,710,,,3846 R,tp C5D,,,,False,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,111.0,Ingo FM,,,,711,,,3846 R,tp C5D,,,,False,Signet
3846 Rtp C5D,DVB-S28PSK67302/3,216.0,Pwani FM,,,,258,,,3846 R,tp C5D,,,,False,Signet
3878 L,DVB-S28PSK1666,,(feeds),,,,,,S Ugbeda230321,3878 L,,,,,False,Signet
3880 L,DVB-S28PSK1666,,(feeds),,,,,,S Ugbeda230321,3880 L,,,,,False,Signet
4071 V,,,,,,,,,N Stanislav240201,4071 V,,,,,False,Signet
4078 V,,,,,,,,,N Stanislav240201,4078 V,,,,,False,Signet
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,,,,,4.7,Videoguard,P Laschan220312,11754 V,,0.0,Videoguard,,False,Signet
12050 VWest & Central Africa0,DVB-S28PSK30000,,,,,,,,P Laschan220609,12050 V,,0.0,,,False,Signet
12086 VWest & Central Africa0,DVB-S28PSK30000,,,,,,,,P Laschan220609,12086 V,,0.0,,,False,Signet
12169 HWest & Central Africa0,DVB-S2QPSK30000,,,,,,,,P Laschan230704,12169 H,,0.0,,,False,Signet
12216 HWest & Central Africa0,DVB-S2QPSK300003/4,,,,,,4.0,,P Laschan230701,12216 H,,0.0,,,False,Signet
12252 VWest & Central Africa0,DVB-S2QPSK30000,,,,,,,,Anonymous230520,12252 V,,0.0,,,False,Signet
12333 VWest & Central Africa0,DVB-S2QPSK30000,,,,,,,,P Laschan220609,12333 V,,0.0,,,False,Signet
12552 VWest & Central Africa0,DVB-S2QPSK4580,,,,,,,,P Laschan220316,12552 V,,0.0,,,False,Signet
4119 H,DVB-S2QPSK11005/6,1.0,Revival Channel,,?-?MPEG-4/SD,257.0,5.2 258 Fre,,Wellikan230219,4119 H,,,,,False,Signet
12216 HWest & Central Africa0,DVB-S2QPSK300003/4,,Revival Channel,,MPEG-4/SD,201.0,202 Fre,,,12216 H,,0.0,,,False,Signet
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,ViewMedia,,,,4.0,,P Laschan220327,11717 V,,0.0,,https://www.lyngsat.com/providers/uk/ViewMedia.html,True,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,ViewMedia,,,,4.0,,P Laschan220327,11717 V,,0.0,,https://www.lyngsat.com/providers/uk/ViewMedia.html,True,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,ViewMedia,,,,4.0,,P Laschan220327,11717 V,,0.0,,https://www.lyngsat.com/providers/uk/ViewMedia.html,True,ViewMedia
