Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
10727 Htp 111Wide44-46,DVB-S28PSK300003/4,,,,318-11100,,7.9,IrdetoNagravisionViaccess,F Dibba230602,10727 H,tp 111,44-46,"Irdeto,Nagravision,Viaccess",,False,
12245 Htp 77Wide44-46,,,,,,,,,Francesco 2240312,12245 H,tp 77,44-46,,,False,
10727 Htp 111Wide44-46,DVB-S28PSK300003/4,4602,NASA TV UHD,,HEVC/UHD,357.0,358 Eng 359 Eng,,,10727 H,tp 111,44-46,,,False,
10727 Htp 111Wide44-46,DVB-S28PSK300003/4,4603,Travelxp 4K Europe,,HEVC/UHD,457.0,458 Eng 459 Cze 469 Ger 470 Hun 471 Fre 472 Rus 474 Pol,IrdetoNagravisionViaccess,,10727 H,tp 111,44-46,"Irdeto,Nagravision,Viaccess",,False,
10727 Htp 111Wide44-46,DVB-S28PSK300003/4,4604,Museum TV International,,HEVC/UHD,6041.0,6042 Eng6043 Fre6044 Pol6045 Rus,IrdetoNagravisionViaccess,,10727 H,tp 111,44-46,"Irdeto,Nagravision,Viaccess",,False,
10727 Htp 111Wide44-46,DVB-S28PSK300003/4,4605,MyZen TV 4K,,HEVC/UHD,6501.0,6511 Spa6512 Eng6513 Fre6514 Rus6515 Tur6516 Pol,IrdetoNagravisionViaccess,,10727 H,tp 111,44-46,"Irdeto,Nagravision,Viaccess",,False,
10853 Htp 117Wide44-46,DVB-S28PSK299002/3,,Kabelio,,318-11700,,6.6,Panaccess,M Gusset240301,10853 H,tp 117,44-46,Panaccess,,False,
11096 Htp 129Wide44-46,DVB-S28PSK300003/4,,Kabelio,,318-12900,,7.9,Panaccess,D de Jong230815,11096 H,tp 129,44-46,Panaccess,,False,
11526 Htp 17Wide44-46,DVB-S28PSK297002/3,,Kabelio,,318-1700,,6.6,Panaccess,DXAndy240129,11526 H,tp 17,44-46,Panaccess,,False,
10873 Vtp 118Wide44-46,DVB-S28PSK275003/4,,SNRT,,176-11800,,7.9,,M Ouaalit230827,10873 V,tp 118,44-46,,https://www.lyngsat.com/providers/ma/SNRT.html,True,SNRT
10873 Vtp 118Wide44-46,DVB-S28PSK275003/4,1,Al Maghribia,,MPEG-4/HD,308.0,309 Ara,,,10873 V,tp 118,44-46,,,False,SNRT
10873 Vtp 118Wide44-46,DVB-S28PSK275003/4,2,Laayoune TV,,MPEG-4/HD,35.0,36 Ara,,,10873 V,tp 118,44-46,,,False,SNRT
10873 Vtp 118Wide44-46,DVB-S28PSK275003/4,3,Al Aoula Inter,,MPEG-4/HD,1001.0,256 Ara,,,10873 V,tp 118,44-46,,,False,SNRT
10873 Vtp 118Wide44-46,DVB-S28PSK275003/4,5,Al Aoula Inter,,MPEG-2/SD,1026.0,1027 Ara,,,10873 V,tp 118,44-46,,,False,SNRT
10873 Vtp 118Wide44-46,DVB-S28PSK275003/4,4,Athaqafia,,MPEG-4/HD,46.0,47 Ara,,,10873 V,tp 118,44-46,,,False,SNRT
10873 Vtp 118Wide44-46,DVB-S28PSK275003/4,6,Assadissa,,MPEG-4/HD,1537.0,1538 Ara,,,10873 V,tp 118,44-46,,,False,SNRT
10873 Vtp 118Wide44-46,DVB-S28PSK275003/4,10,Arryadia,,MPEG-4/HD,2562.0,2563 Ara,,,10873 V,tp 118,44-46,,,False,SNRT
10873 Vtp 118Wide44-46,DVB-S28PSK275003/4,241,Tamazight,,MPEG-4/HD,3841.0,3842 Ber,,,10873 V,tp 118,44-46,,,False,SNRT
10873 Vtp 118Wide44-46,DVB-S28PSK275003/4,11,Idaa al Watania,,,,2817 Ara,,,10873 V,tp 118,44-46,,,False,SNRT
10873 Vtp 118Wide44-46,DVB-S28PSK275003/4,12,Sud Radio,,,,2882,,,10873 V,tp 118,44-46,,,False,SNRT
10873 Vtp 118Wide44-46,DVB-S28PSK275003/4,14,Chaîne Inter,,,,2833,,,10873 V,tp 118,44-46,,,False,SNRT
