Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
11727 Vtp E1Wide44-45,DVB-S28PSK300003/4,,A1 Telekom Austria,,158-50010,,7.9,ConaxViaccess,EnoSat230219,11727 V,tp E1,44-45,"Conax,Viaccess",https://www.lyngsat.com/providers/at/A1-Telekom-Austria.html,True,A1 Telekom Austria
11727 Vtp E1Wide44-45,DVB-S28PSK300003/4,867.0,Museum TV International,,MPEG-4/HD,7701.0,7702 Eng7703 Fre7704 Rus,Conax,,11727 V,tp E1,44-45,Conax,,False,A1 Telekom Austria
11727 Vtp E1Wide44-45,DVB-S28PSK300003/4,868.0,The Israeli Network,,MPEG-4/SD,7801.0,7802 Heb,Viaccess,,11727 V,tp E1,44-45,Viaccess,,False,A1 Telekom Austria
11727 Vtp E1Wide44-45,DVB-S28PSK300003/4,869.0,MyZen TV,,MPEG-4/HD,7901.0,7902 Eng7903 Fre7904 Rus7905 Spa7906 Qaa7907 Tur,Conax,,11727 V,tp E1,44-45,Conax,,False,A1 Telekom Austria
11727 Vtp E1Wide44-45,DVB-S28PSK300003/4,866.0,TRT Tamil Olli,,,,7602 Tam,,,11727 V,tp E1,44-45,,,False,A1 Telekom Austria
11759 Vtp E3Wide44-45,DVB-S143245/6,,Televisa Networks,,1234-1,,6.5,Viaccess,M Al-Taie220330,11759 V,tp E3,44-45,Viaccess,https://www.lyngsat.com/providers/mx/Televisa-Networks.html,True,Televisa Networks
11759 Vtp E3Wide44-45,DVB-S143245/6,1.0,Distrito Comedia,,MPEG-2/SD,4112.0,4113 Spa4114 Qaa,Viaccess,,11759 V,tp E3,44-45,Viaccess,,False,Televisa Networks
11759 Vtp E3Wide44-45,DVB-S143245/6,2.0,Telehit Música,,MPEG-2/SD,4128.0,4129 Spa4130 Qaa,Viaccess,,11759 V,tp E3,44-45,Viaccess,,False,Televisa Networks
11759 Vtp E3Wide44-45,DVB-S143245/6,3.0,TeleHit,,MPEG-2/SD,4144.0,4145 Spa4146 Qaa,Viaccess,,11759 V,tp E3,44-45,Viaccess,,False,Televisa Networks
11759 Vtp E3Wide44-45,DVB-S143245/6,4.0,De Película Europa/Australia,,MPEG-2/SD,4160.0,4161 Spa4162 Qaa,Viaccess,,11759 V,tp E3,44-45,Viaccess,,False,Televisa Networks
11759 Vtp E3Wide44-45,DVB-S143245/6,5.0,Las Estrellas Europa,,MPEG-2/SD,4176.0,4177 Spa4178 Qaa,Viaccess,,11759 V,tp E3,44-45,Viaccess,,False,Televisa Networks
11759 Vtp E3Wide44-45,DVB-S143245/6,6.0,Tlnovelas Europa,,MPEG-2/SD,4192.0,4193 Spa4194 Qaa,Viaccess,,11759 V,tp E3,44-45,Viaccess,,False,Televisa Networks
11785 Htp E4Wide44-45,DVB-S28PSK275002/3,,M7 Deutschland,,156-5300,,6.6,ConaxNagravisionVideoguard,William-1T Viererbe200929,11785 H,tp E4,44-45,"Conax,Nagravision,Videoguard",,False,Televisa Networks
11861 Htp E8Wide44-45,DVB-S28PSK275002/3,,M7 Deutschland,,156-5700,,6.6,ConaxNagravisionVideoguard,D Shimoni210301,11861 H,tp E8,44-45,"Conax,Nagravision,Videoguard",,False,Televisa Networks
11977 Htp E14Wide44-45,DVB-S28PSK275002/3,,M7 Deutschland,,156-8500,,6.6,Conax,T Viererbe240307,11977 H,tp E14,44-45,Conax,,False,Televisa Networks
12015 Htp E16Wide44-45,DVB-S28PSK275002/3,,M7 Deutschland,,156-6500,,6.6,ConaxNagravisionVideoguard,F Dibba240301,12015 H,tp E16,44-45,"Conax,Nagravision,Videoguard",,False,Televisa Networks
12245 Htp GE4Germany Ge0,DVB-S28PSK275002/3,,M7 Deutschland,,156-7900,,6.6,ConaxNagravisionVideoguard,Z ViglidánT Viererbe200929,12245 H,tp GE4,0,"Conax,Nagravision,Videoguard",,False,Televisa Networks
11785 Htp E4Wide44-45,DVB-S28PSK275002/3,216.0,Comedy Central Deutschland,,MPEG-4/SD,2209.0,221. Ger2211 Eng,,,11785 H,tp E4,44-45,,,False,Televisa Networks
11804 Vtp E5Wide44-45,DVB-S28PSK275002/3,,American Forces Network,,18-101,,6.6,PowerVuVerimatrix,LexzieN SchlammerP Piotrowski200320,11804 V,tp E5,44-45,"PowerVu,Verimatrix",,False,Televisa Networks
11804 Vtp E5Wide44-45,DVB-S28PSK275002/3,401.0,[test card],,MPEG-2/SD,1760.0,1720,,,11804 V,tp E5,44-45,,,False,Televisa Networks
12226 Vtp IT4Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 16,11.0,[test card],,MPEG-4/HD,256.0,258 Ita,,,12226 V,tp IT4,0,,,False,Televisa Networks
12226 Vtp NB4Nordic & Eastern0,DVB-S28PSK300005/6MultistreamStream 10T2-MIPLP 0,12.0,[test card],,MPEG-4/SD,1201.0,1202,,,12226 V,tp NB4,0,,,False,Televisa Networks
12226 Vtp NB4Nordic & Eastern0,DVB-S28PSK300005/6MultistreamStream 10T2-MIPLP 0,20.0,[test card],,MPEG-4/SD,1209.0,1210,,,12226 V,tp NB4,0,,,False,Televisa Networks
12303 Vtp NB6Nordic & Eastern0,DVB-S28PSK300005/6MultistreamStream 30T2-MIPLP 0,39.0,[test card],,MPEG-4/SD,3901.0,3902,,,12303 V,tp NB6,0,,,False,Televisa Networks
12303 Vtp NB6Nordic & Eastern0,DVB-S28PSK300005/6MultistreamStream 40,43.0,[test card],,MPEG-4/SD,4301.0,4302,,,12303 V,tp NB6,0,,,False,Televisa Networks
12303 Vtp NB6Nordic & Eastern0,DVB-S28PSK300005/6MultistreamStream 40,800.0,[test card],,MPEG-4/SD,5401.0,5402,,,12303 V,tp NB6,0,,,False,Televisa Networks
11804 Vtp E5Wide44-45,DVB-S28PSK275002/3,402.0,[AFN test card],,MPEG-4/HD,1860.0,1820,,,11804 V,tp E5,44-45,,,False,Televisa Networks
11823 Htp E6Wide44-45,DVB-S275003/4,,Skylogic,,100-1,,5.5,Xcrypt,F Dibba231201,11823 H,tp E6,44-45,Xcrypt,https://www.lyngsat.com/providers/it/Skylogic.html,True,Skylogic
11823 Htp E6Wide44-45,DVB-S275003/4,1810.0,Sisal TV 1,,MPEG-4/SD,1811.0,1812 Ita,Xcrypt,,11823 H,tp E6,44-45,Xcrypt,,False,Skylogic
11823 Htp E6Wide44-45,DVB-S275003/4,1830.0,Sisal TV 3,,MPEG-4/SD,1831.0,1832 Ita,Xcrypt,,11823 H,tp E6,44-45,Xcrypt,,False,Skylogic
11823 Htp E6Wide44-45,DVB-S275003/4,1840.0,Sisal TV 4,,MPEG-4/SD,1841.0,1842 Ita,Xcrypt,,11823 H,tp E6,44-45,Xcrypt,,False,Skylogic
11823 Htp E6Wide44-45,DVB-S275003/4,1850.0,Sisal TV 5,,MPEG-4/SD,1851.0,1852 Ita,Xcrypt,,11823 H,tp E6,44-45,Xcrypt,,False,Skylogic
11823 Htp E6Wide44-45,DVB-S275003/4,1870.0,GoldBet League,,MPEG-4/HD,1871.0,1872 Ita,,,11823 H,tp E6,44-45,,,False,Skylogic
11823 Htp E6Wide44-45,DVB-S275003/4,1890.0,GoldBet Racing,,MPEG-4/HD,1891.0,1892 Ita,,,11823 H,tp E6,44-45,,,False,Skylogic
11823 Htp E6Wide44-45,DVB-S275003/4,1910.0,Mandarin TV,,MPEG-4/SD,1911.0,1912 Chi,,,11823 H,tp E6,44-45,,,False,Skylogic
11823 Htp E6Wide44-45,DVB-S275003/4,1920.0,AMC Ukraine,,MPEG-4/SD,1921.0,1922 Ukr1923 Rus1924 Qaa,Viaccess,,11823 H,tp E6,44-45,Viaccess,,False,Skylogic
11823 Htp E6Wide44-45,DVB-S275003/4,1630.0,Radio Carrefour ipermercati,,,,1632 Ita,,,11823 H,tp E6,44-45,,,False,Skylogic
11823 Htp E6Wide44-45,DVB-S275003/4,1640.0,Radio Carrefour market,,,,1642 Ita,,,11823 H,tp E6,44-45,,,False,Skylogic
11823 Htp E6Wide44-45,DVB-S275003/4,1700.0,Radio China FM,,,,1701 Chi,,,11823 H,tp E6,44-45,,,False,Skylogic
11843 Vtp E7Wide44-45,DVB-S28PSK275003/5,,Cosmote TV,,170-1,,5.5,Videoguard,S Günes240210,11843 V,tp E7,44-45,Videoguard,,False,Skylogic
11938 Htp E12Wide44-45,DVB-S28PSK275002/3,,Cosmote TV,,170-9,,6.6,Videoguard,S Günes240210,11938 H,tp E12,44-45,Videoguard,,False,Skylogic
12169 Htp GC2Extended Greece51,DVB-S28PSK275002/3,,Cosmote TV,,170-8,,6.6,Videoguard,S Günes240210,12169 H,tp GC2,51,Videoguard,,False,Skylogic
12207 Htp GC3Extended Greece51,DVB-S28PSK275002/3,,Cosmote TV,,170-4,,6.6,Videoguard,S Günes240210,12207 H,tp GC3,51,Videoguard,,False,Skylogic
12284 Htp GC5Extended Greece51,DVB-S28PSK275002/3,,Cosmote TV,,170-5,,6.6,Videoguard,S Günes240210,12284 H,tp GC5,51,Videoguard,,False,Skylogic
12399 Htp GC8Extended Greece51,DVB-S28PSK275002/3,,Cosmote TV,,170-6,,6.6,Videoguard,S Günes240210,12399 H,tp GC8,51,Videoguard,,False,Skylogic
12475 Htp GC10Extended Greece51,DVB-S28PSK275002/3,,Cosmote TV,,170-7,,6.6,Videoguard,S Günes240210,12475 H,tp GC10,51,Videoguard,,False,Skylogic
11861 Htp E8Wide44-45,DVB-S28PSK275002/3,236.0,BBC News Europe,,MPEG-4/SD,1611.0,1612 Eng,,,11861 H,tp E8,44-45,,,False,Skylogic
11881 Vtp E9Wide44-45,DVB-S28PSK300003/4,,Warner Bros. Discovery,,158-50090,,7.9,Viaccess,T Viererbe240110,11881 V,tp E9,44-45,Viaccess,https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,True,Warner Bros. Discovery
11881 Vtp E9Wide44-45,DVB-S28PSK300003/4,,Warner Bros. Discovery,,158-50090,,7.9,Viaccess,T Viererbe240110,11881 V,tp E9,44-45,Viaccess,https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,True,Warner Bros. Discovery
11919 Vtp E11Wide44-45,DVB-S28PSK300003/4,,Warner Bros. Discovery,,158-50110,,7.9,Viaccess,T ViererbeS Günes240229,11919 V,tp E11,44-45,Viaccess,https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,True,Warner Bros. Discovery
11919 Vtp E11Wide44-45,DVB-S28PSK300003/4,,Warner Bros. Discovery,,158-50110,,7.9,Viaccess,T ViererbeS Günes240229,11919 V,tp E11,44-45,Viaccess,https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html,True,Warner Bros. Discovery
11881 Vtp E9Wide44-45,DVB-S28PSK300003/4,5000.0,Travel Channel Europe,,MPEG-4/HD,5011.0,5021 Eng5022 Bul5023 Cze5024 Rus5025 Hun,Viaccess,,11881 V,tp E9,44-45,Viaccess,,False,Warner Bros. Discovery
11881 Vtp E9Wide44-45,DVB-S28PSK300003/4,5100.0,HGTV Pan Regional,,MPEG-4/HD,5111.0,5121 Eng5122 Hun5123 Rus5124 Bul5125 Cze,Viaccess,,11881 V,tp E9,44-45,Viaccess,,False,Warner Bros. Discovery
11881 Vtp E9Wide44-45,DVB-S28PSK300003/4,5200.0,TLC Balkan,,MPEG-4/HD,5211.0,5221 Bul5222 Eng5223 Hun5224 Cze5225 Rus,Viaccess,,11881 V,tp E9,44-45,Viaccess,,False,Warner Bros. Discovery
11881 Vtp E9Wide44-45,DVB-S28PSK300003/4,5300.0,Discovery Channel Central Europe,,MPEG-4/HD,5311.0,5321 Eng5322 Rus5323 Rum5324 Bul5325 Cze5326 Hun5327 Lav,Viaccess,,11881 V,tp E9,44-45,Viaccess,,False,Warner Bros. Discovery
11881 Vtp E9Wide44-45,DVB-S28PSK300003/4,5400.0,Animal Planet Europe,,MPEG-4/HD,5411.0,5421 Eng5422 Lav5423 Rus5427 Cze5428 Hun,Viaccess,,11881 V,tp E9,44-45,Viaccess,,False,Warner Bros. Discovery
11881 Vtp E9Wide44-45,DVB-S28PSK300003/4,5500.0,Investigation Discovery Europe,,MPEG-4/HD,5511.0,5521 Eng5522 Hun5523 Rus5524 Tur5525 Cze5526 Bul5527 Ara5528 Lav,Viaccess,,11881 V,tp E9,44-45,Viaccess,,False,Warner Bros. Discovery
11881 Vtp E9Wide44-45,DVB-S28PSK300003/4,5700.0,Discovery Science Europe,,MPEG-4/HD,5711.0,5721 Eng,Viaccess,,11881 V,tp E9,44-45,Viaccess,,False,Warner Bros. Discovery
11881 Vtp E9Wide44-45,DVB-S28PSK300003/4,5800.0,Food Network EMEA,,MPEG-4/HD,5811.0,5821 Eng5822 Bul5823 Cze5824 Hun5825 Rus,Viaccess,,11881 V,tp E9,44-45,Viaccess,,False,Warner Bros. Discovery
11881 Vtp E9Wide44-45,DVB-S28PSK300003/4,5900.0,TLC Pan Regional,,MPEG-4/HD,5911.0,5921 Eng5922 Hun.923 Rus5924 Lav,Viaccess,,11881 V,tp E9,44-45,Viaccess,,False,Warner Bros. Discovery
11900 Htp E10Wide44-45,DVB-S28PSK275002/3,,,,158-5900,,6.6,,M Al-Taie240209,11900 H,tp E10,44-45,,,False,Warner Bros. Discovery
12054 Htp E18Wide44-45,DVB-S28PSK275002/3,,,,170-2,,6.6,ViaccessVideoguard,S Günes240210,12054 H,tp E18,44-45,"Viaccess,Videoguard",,False,Warner Bros. Discovery
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,,,,272-900,,,,M Al-Taie240321,12111 V,tp IT1,0,,,False,Warner Bros. Discovery
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 4,,,,272-905,,,,M Al-Taie240214,12111 V,tp IT1,0,,,False,Warner Bros. Discovery
12226 Vtp IT4Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 14,,,,8572-8417,,,,M Al-Taie240123,12226 V,tp IT4,0,,,False,Warner Bros. Discovery
12226 Vtp IT4Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 16,,,,8572-6370,,,,R Cervi220615,12226 V,tp IT4,0,,,False,Warner Bros. Discovery
12226 Vtp IT4Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 19,,,,8572-26849,,,,M Al-Taie240123,12226 V,tp IT4,0,,,False,Warner Bros. Discovery
12226 Vtp IT4Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 20,,,,8572-20705,,,,M Al-Taie230925,12226 V,tp IT4,0,,,False,Warner Bros. Discovery
12303 Vtp IT6Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 21,,,,8572-32993,,,,M Al-Taie231105,12303 V,tp IT6,0,,,False,Warner Bros. Discovery
12303 Vtp IT6Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 22,,,,8572-32995,,,,M Al-Taie231212,12303 V,tp IT6,0,,,False,Warner Bros. Discovery
