Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
11727 Htp B1Europe BSS0-47,DVB-S275003/4,,NEP Connect,,1-201,,5.5,IrdetoPowerVu,M Al-Taie240215,11727 H,tp B1,0-47,"Irdeto,PowerVu",https://www.lyngsat.com/providers/uk/NEP-Connect.html,True,NEP Connect
11727 Htp B1Europe BSS0-47,DVB-S275003/4,,NEP Connect,,1-201,,5.5,IrdetoPowerVu,M Al-Taie240215,11727 H,tp B1,0-47,"Irdeto,PowerVu",https://www.lyngsat.com/providers/uk/NEP-Connect.html,True,NEP Connect
12418 Htp B37Europe BSS0-47,DVB-S275003/4,,NEP Connect,,1-101,,5.5,PowerVu,F Dibba210706,12418 H,tp B37,0-47,PowerVu,https://www.lyngsat.com/providers/uk/NEP-Connect.html,True,NEP Connect
12418 Htp B37Europe BSS0-47,DVB-S275003/4,,NEP Connect,,1-101,,5.5,PowerVu,F Dibba210706,12418 H,tp B37,0-47,PowerVu,https://www.lyngsat.com/providers/uk/NEP-Connect.html,True,NEP Connect
11727 Htp B1Europe BSS0-47,DVB-S275003/4,66.0,Ladbrokes 1,,MPEG-2/SD,1310.0,1300 Eng,PowerVu,,11727 H,tp B1,0-47,PowerVu,,False,NEP Connect
11727 Htp B1Europe BSS0-47,DVB-S275003/4,95.0,Racing TVi,,MPEG-4/SD,110.0,101 Eng,Irdeto,,11727 H,tp B1,0-47,Irdeto,,False,NEP Connect
11727 Htp B1Europe BSS0-47,DVB-S275003/4,136.0,SIS Two,,MPEG-2/SD,1910.0,1902 Eng,PowerVu,,11727 H,tp B1,0-47,PowerVu,,False,NEP Connect
11727 Htp B1Europe BSS0-47,DVB-S275003/4,160.0,Betfred TV 1,,MPEG-4/SD,210.0,201 Eng,Irdeto,,11727 H,tp B1,0-47,Irdeto,,False,NEP Connect
11727 Htp B1Europe BSS0-47,DVB-S275003/4,162.0,Betfred TV 2,,MPEG-4/SD,310.0,301 Eng,Irdeto,,11727 H,tp B1,0-47,Irdeto,,False,NEP Connect
11727 Htp B1Europe BSS0-47,DVB-S275003/4,163.0,Betfred TV 3,,MPEG-4/SD,410.0,401 Eng,Irdeto,,11727 H,tp B1,0-47,Irdeto,,False,NEP Connect
