Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
12111 Vtp 21Ku0,DVB-S28PSK300003/4,,Direct One,,1536-715,,7.9,ConaxCryptoworksIrdetoNagravision,M Al-Taie240215,12111 V,tp 21,0,"Conax,Cryptoworks,Irdeto,Nagravision",,False,
12149 Vtp 23Ku0,DVB-S28PSK300003/4,,Direct One,,1536-716,,7.9,ConaxCryptoworksIrdetoNagravision,Wellikan231127,12149 V,tp 23,0,"Conax,Cryptoworks,Irdeto,Nagravision",,False,
12111 Vtp 21Ku0,DVB-S28PSK300003/4,31302.0,TV Osem,,MPEG-4/SD,1101.0,1111 Slo,,,12111 V,tp 21,0,,,False,
12169 Htp 24Ku0,DVB-S28PSK300003/4,,Slovak Telekom,,187-2803,,7.9,ConaxCryptoworksIrdetoNagravision,F Dibba230119,12169 H,tp 24,0,"Conax,Cryptoworks,Irdeto,Nagravision",https://www.lyngsat.com/providers/sk/Slovak-Telekom.html,True,Slovak Telekom
12169 Htp 24Ku0,DVB-S28PSK300003/4,,Slovak Telekom,,187-2803,,7.9,ConaxCryptoworksIrdetoNagravision,F Dibba230119,12169 H,tp 24,0,"Conax,Cryptoworks,Irdeto,Nagravision",https://www.lyngsat.com/providers/sk/Slovak-Telekom.html,True,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,,Slovak Telekom,,187-2804,,7.9,ConaxCryptoworksIrdetoNagravision,V Hrubec240105,12245 H,tp 28,0,"Conax,Cryptoworks,Irdeto,Nagravision",https://www.lyngsat.com/providers/sk/Slovak-Telekom.html,True,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,,Slovak Telekom,,187-2804,,7.9,ConaxCryptoworksIrdetoNagravision,V Hrubec240105,12245 H,tp 28,0,"Conax,Cryptoworks,Irdeto,Nagravision",https://www.lyngsat.com/providers/sk/Slovak-Telekom.html,True,Slovak Telekom
12169 Htp 24Ku0,DVB-S28PSK300003/4,3011.0,Viasat History HD,,MPEG-4/SD,1102.0,1103 Cze1104 Eng1105 Hun,Nagravision,,12169 H,tp 24,0,Nagravision,,False,Slovak Telekom
12169 Htp 24Ku0,DVB-S28PSK300003/4,3012.0,Spektrum,,MPEG-4/HD,1202.0,1203 Cze1204 Hun,Nagravision,,12169 H,tp 24,0,Nagravision,,False,Slovak Telekom
12169 Htp 24Ku0,DVB-S28PSK300003/4,3014.0,Cinemax Central Europe,,MPEG-4/SD,1402.0,1403 Cze1404 Qaa,Nagravision,,12169 H,tp 24,0,Nagravision,,False,Slovak Telekom
12169 Htp 24Ku0,DVB-S28PSK300003/4,3015.0,Cinemax 2 Central Europe,,MPEG-4/SD,1502.0,1503 Cze1504 Qaa,Nagravision,,12169 H,tp 24,0,Nagravision,,False,Slovak Telekom
12169 Htp 24Ku0,DVB-S28PSK300003/4,3020.0,Men TV,,MPEG-4/SD,2002.0,2003 Eng,Nagravision,,12169 H,tp 24,0,Nagravision,,False,Slovak Telekom
12169 Htp 24Ku0,DVB-S28PSK300003/4,3021.0,Nova Action,,MPEG-4/HD,2102.0,2103 Cze,ConaxCryptoworksIrdetoNagravision,,12169 H,tp 24,0,"Conax,Cryptoworks,Irdeto,Nagravision",,False,Slovak Telekom
12169 Htp 24Ku0,DVB-S28PSK300003/4,3022.0,Film Europe,,MPEG-4/SD,2202.0,2203 Cze,Nagravision,,12169 H,tp 24,0,Nagravision,,False,Slovak Telekom
12169 Htp 24Ku0,DVB-S28PSK300003/4,3023.0,Nova Gold,,MPEG-4/HD,2302.0,2303 Cze,ConaxCryptoworksIrdetoNagravision,,12169 H,tp 24,0,"Conax,Cryptoworks,Irdeto,Nagravision",,False,Slovak Telekom
12169 Htp 24Ku0,DVB-S28PSK300003/4,3024.0,Disney Junior Romania & Bulgaria,,MPEG-4/SD,2402.0,2403 Eng,Nagravision,,12169 H,tp 24,0,Nagravision,,False,Slovak Telekom
12169 Htp 24Ku0,DVB-S28PSK300003/4,3025.0,Nova Fun,,MPEG-4/HD,2502.0,2503 Cze,ConaxCryptoworksIrdetoNagravision,,12169 H,tp 24,0,"Conax,Cryptoworks,Irdeto,Nagravision",,False,Slovak Telekom
12169 Htp 24Ku0,DVB-S28PSK300003/4,3027.0,Dorcel TV,,MPEG-4/SD,2702.0,2703 Eng,Nagravision,,12169 H,tp 24,0,Nagravision,,False,Slovak Telekom
12169 Htp 24Ku0,DVB-S28PSK300003/4,3032.0,TA 3,,MPEG-4/HD,3202.0,3203 Slo,Nagravision,,12169 H,tp 24,0,Nagravision,,False,Slovak Telekom
12169 Htp 24Ku0,DVB-S28PSK300003/4,3033.0,Crime + Investigation UK,,MPEG-4/SD,3302.0,3303 Cze3304 Eng,Nagravision,,12169 H,tp 24,0,Nagravision,,False,Slovak Telekom
12169 Htp 24Ku0,DVB-S28PSK300003/4,3035.0,Dusk,,MPEG-4/SD,3502.0,3503 Eng,Nagravision,,12169 H,tp 24,0,Nagravision,,False,Slovak Telekom
12169 Htp 24Ku0,DVB-S28PSK300003/4,3036.0,Tuki TV,,MPEG-4/HD,3602.0,3603 Slo3604 Qaa,Nagravision,,12169 H,tp 24,0,Nagravision,,False,Slovak Telekom
12169 Htp 24Ku0,DVB-S28PSK300003/4,3038.0,Premier Sport 1,,MPEG-4/HD,3802.0,380. Slo,Nagravision,,12169 H,tp 24,0,Nagravision,,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4020.0,Premier Sport 1,,MPEG-4/HD,2002.0,2003 Slo2004 Qaa,Nagravision,,12245 H,tp 28,0,Nagravision,,False,Slovak Telekom
12169 Htp 24Ku0,DVB-S28PSK300003/4,3049.0,FashionTV Europe,,MPEG-4/SD,4902.0,4903,Nagravision,,12169 H,tp 24,0,Nagravision,,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4011.0,[DTX East Europe info card],,MPEG-4/SD,1102.0,1103 Cze,Nagravision,,12245 H,tp 28,0,Nagravision,,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4012.0,Prima Krimi,,MPEG-4/HD,1202.0,1203 Cze,Nagravision,,12245 H,tp 28,0,Nagravision,,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4013.0,Markíza Krimi,,MPEG-4/SD,1302.0,1303 Slo1304 Qaa,Nagravision,,12245 H,tp 28,0,Nagravision,,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4014.0,Krimi Barrandov,,MPEG-4/SD,1402.0,1403 Cze,Nagravision,,12245 H,tp 28,0,Nagravision,,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4015.0,Kino Barrandov,,MPEG-4/SD,1502.0,1503 Cze,Nagravision,,12245 H,tp 28,0,Nagravision,,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4016.0,HBO 2 Central Europe,,MPEG-4/HD,1602.0,1603 Cze1604 Qaa1605 Hun,Nagravision,,12245 H,tp 28,0,Nagravision,,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4017.0,Folklorika,,MPEG-4/SD,1702.0,1703 Slo,Nagravision,,12245 H,tp 28,0,Nagravision,,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4018.0,Joj Svet,,MPEG-4/HD,1802.0,1803 Slo1804 Qaa,Nagravision,,12245 H,tp 28,0,Nagravision,,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4019.0,DV TV Extra,,MPEG-4/SD,1902.0,1903 Cze,Nagravision,,12245 H,tp 28,0,Nagravision,,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4021.0,HBO 3 Central Europe,,MPEG-4/HD,2102.0,49 Cze2104 Qaa2105 Hun,Nagravision,,12245 H,tp 28,0,Nagravision,,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4022.0,Viasat Explore East,,MPEG-4/HD,2202.0,2203 Cze2205 Hun,Nagravision,,12245 H,tp 28,0,Nagravision,,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4023.0,Spark,,MPEG-4/SD,2302.0,2303 Slo,Nagravision,,12245 H,tp 28,0,Nagravision,,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4024.0,CT 24,,MPEG-4/HD,2402.0,2403 Cze,ConaxCryptoworksIrdetoNagravision,,12245 H,tp 28,0,"Conax,Cryptoworks,Irdeto,Nagravision",,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4025.0,Strike TV,,MPEG-4/SD,2502.0,2503 Slo,Nagravision,,12245 H,tp 28,0,Nagravision,,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4026.0,Nova Sport 3,,MPEG-4/HD,2602.0,2603 Cze2604 Eng,Nagravision,,12245 H,tp 28,0,Nagravision,,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4027.0,Food Network EMEA,,MPEG-4/SD,2702.0,2703 Cze2704 Eng,Nagravision,,12245 H,tp 28,0,Nagravision,,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4028.0,Premier Sport 3,,MPEG-4/HD,2802.0,2803 Cze2804 Eng,Nagravision,,12245 H,tp 28,0,Nagravision,,False,Slovak Telekom
12245 Htp 28Ku0,DVB-S28PSK300003/4,4033.0,TLC Pan Regional,,MPEG-4/SD,3302.0,3303 Cze3304 Eng3305 Hun,Nagravision,,12245 H,tp 28,0,Nagravision,,False,Slovak Telekom
12322 Htp 32Ku0,DVB-S28PSK300003/4,,Telenor,,70-85,,7.9,Conax,M Al-Taie240307,12322 H,tp 32,0,Conax,https://www.lyngsat.com/providers/no/Telenor.html,True,Telenor
12322 Htp 32Ku0,DVB-S28PSK300003/4,7286.0,Telenor promo,,MPEG-4/SD,3001.0,3002,,,12322 H,tp 32,0,,,False,Telenor
12360 Htp 34Ku0,DVB-S28PSK300003/4,13009.0,Telenor promo,,70-84MPEG-4/SD,1455.0,7.93150,,Wellikan230310,12360 H,tp 34,0,,,False,Telenor
12399 Htp 36Ku0,DVB-S28PSK300002/3,13008.0,Telenor promo,,MPEG-4/SD,1455.0,3150,,,12399 H,tp 36,0,,,False,Telenor
12437 Htp 38Ku0,DVB-S28PSK300003/4,13012.0,Telenor promo,,70-79MPEG-4/SD,1455.0,7.93150,,EnoSat231121,12437 H,tp 38,0,,,False,Telenor
12322 Htp 32Ku0,DVB-S28PSK300003/4,9010.0,Telenor Sports 11,,MPEG-4/HD,6110.0,6210,Conax,new,12322 H,tp 32,0,Conax,,False,Telenor
