Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
10770 Htp 146Europe46-48,DVB-S28PSK300005/6,,Telefónica Servicios Audiovisuales,,6-6,,9.4,,M Al-Taie230704,10770 H,tp 146,46-48,,https://www.lyngsat.com/providers/es/Telefonica-Servicios-Audiovisuales.html,True,Telefónica Servicios Audiovisuales
10770 Htp 146Europe46-48,DVB-S28PSK300005/6,,Telefónica Servicios Audiovisuales,,6-6,,9.4,,M Al-Taie230704,10770 H,tp 146,46-48,,https://www.lyngsat.com/providers/es/Telefonica-Servicios-Audiovisuales.html,True,Telefónica Servicios Audiovisuales
10770 Htp 146Europe46-48,DVB-S28PSK300005/6,,Telefónica Servicios Audiovisuales,,6-6,,9.4,,M Al-Taie230704,10770 H,tp 146,46-48,,https://www.lyngsat.com/providers/es/Telefonica-Servicios-Audiovisuales.html,True,Telefónica Servicios Audiovisuales
10770 Htp 146Europe46-48,DVB-S28PSK300005/6,,Telefónica Servicios Audiovisuales,,6-6,,9.4,,M Al-Taie230704,10770 H,tp 146,46-48,,https://www.lyngsat.com/providers/es/Telefonica-Servicios-Audiovisuales.html,True,Telefónica Servicios Audiovisuales
10939 Htp 150Europe46-48,DVB-S28PSK150003/4,,Telefónica Servicios Audiovisuales,,2-7,,7.9,,EnoSat230403,10939 H,tp 150,46-48,,https://www.lyngsat.com/providers/es/Telefonica-Servicios-Audiovisuales.html,True,Telefónica Servicios Audiovisuales
10939 Htp 150Europe46-48,DVB-S28PSK150003/4,,Telefónica Servicios Audiovisuales,,2-7,,7.9,,EnoSat230403,10939 H,tp 150,46-48,,https://www.lyngsat.com/providers/es/Telefonica-Servicios-Audiovisuales.html,True,Telefónica Servicios Audiovisuales
10939 Htp 150Europe46-48,DVB-S28PSK150003/4,,Telefónica Servicios Audiovisuales,,2-7,,7.9,,EnoSat230403,10939 H,tp 150,46-48,,https://www.lyngsat.com/providers/es/Telefonica-Servicios-Audiovisuales.html,True,Telefónica Servicios Audiovisuales
10939 Htp 150Europe46-48,DVB-S28PSK150003/4,,Telefónica Servicios Audiovisuales,,2-7,,7.9,,EnoSat230403,10939 H,tp 150,46-48,,https://www.lyngsat.com/providers/es/Telefonica-Servicios-Audiovisuales.html,True,Telefónica Servicios Audiovisuales
12052 Vtp 133America0,DVB-S275003/4,,Telefónica Servicios Audiovisuales,,1-2,,5.5,KeyFly,C de Berazategui230703,12052 V,tp 133,0,KeyFly,https://www.lyngsat.com/providers/es/Telefonica-Servicios-Audiovisuales.html,True,Telefónica Servicios Audiovisuales
12052 Vtp 133America0,DVB-S275003/4,,Telefónica Servicios Audiovisuales,,1-2,,5.5,KeyFly,C de Berazategui230703,12052 V,tp 133,0,KeyFly,https://www.lyngsat.com/providers/es/Telefonica-Servicios-Audiovisuales.html,True,Telefónica Servicios Audiovisuales
12052 Vtp 133America0,DVB-S275003/4,,Telefónica Servicios Audiovisuales,,1-2,,5.5,KeyFly,C de Berazategui230703,12052 V,tp 133,0,KeyFly,https://www.lyngsat.com/providers/es/Telefonica-Servicios-Audiovisuales.html,True,Telefónica Servicios Audiovisuales
12052 Vtp 133America0,DVB-S275003/4,,Telefónica Servicios Audiovisuales,,1-2,,5.5,KeyFly,C de Berazategui230703,12052 V,tp 133,0,KeyFly,https://www.lyngsat.com/providers/es/Telefonica-Servicios-Audiovisuales.html,True,Telefónica Servicios Audiovisuales
12092 Htp 138America0,DVB-S28PSK300003/5,,Telefónica Servicios Audiovisuales,,,,5.5,,T Viererbe240103,12092 H,tp 138,0,,https://www.lyngsat.com/providers/es/Telefonica-Servicios-Audiovisuales.html,True,Telefónica Servicios Audiovisuales
12092 Htp 138America0,DVB-S28PSK300003/5,,Telefónica Servicios Audiovisuales,,,,5.5,,T Viererbe240103,12092 H,tp 138,0,,https://www.lyngsat.com/providers/es/Telefonica-Servicios-Audiovisuales.html,True,Telefónica Servicios Audiovisuales
12092 Htp 138America0,DVB-S28PSK300003/5,,Telefónica Servicios Audiovisuales,,,,5.5,,T Viererbe240103,12092 H,tp 138,0,,https://www.lyngsat.com/providers/es/Telefonica-Servicios-Audiovisuales.html,True,Telefónica Servicios Audiovisuales
12092 Htp 138America0,DVB-S28PSK300003/5,,Telefónica Servicios Audiovisuales,,,,5.5,,T Viererbe240103,12092 H,tp 138,0,,https://www.lyngsat.com/providers/es/Telefonica-Servicios-Audiovisuales.html,True,Telefónica Servicios Audiovisuales
10770 Htp 146Europe46-48,DVB-S28PSK300005/6,1000.0,Canal Parlamento,,MPEG-2/SD,4129.0,4130 Spa,,,10770 H,tp 146,46-48,,,False,Telefónica Servicios Audiovisuales
10770 Htp 146Europe46-48,DVB-S28PSK300005/6,2000.0,TVI Internacional,,MPEG-4/SD,1091.0,1092 Por,BISS 1,,10770 H,tp 146,46-48,BISS 1,,False,Telefónica Servicios Audiovisuales
10770 Htp 146Europe46-48,DVB-S28PSK300005/6,2100.0,Cubavisión Internacional,,MPEG-4/SD,105.0,215 Spa,,,10770 H,tp 146,46-48,,,False,Telefónica Servicios Audiovisuales
10770 Htp 146Europe46-48,DVB-S28PSK300005/6,2300.0,God TV UK,,MPEG-2/SD,2308.0,2309 Eng,,,10770 H,tp 146,46-48,,,False,Telefónica Servicios Audiovisuales
10770 Htp 146Europe46-48,DVB-S28PSK300005/6,2400.0,SBN International,,MPEG-2/SD,1051.0,1052 Eng1053 Spa,,,10770 H,tp 146,46-48,,,False,Telefónica Servicios Audiovisuales
10770 Htp 146Europe46-48,DVB-S28PSK300005/6,2500.0,Record TV Europa,,MPEG-4/HD,8101.0,810. Por,,,10770 H,tp 146,46-48,,,False,Telefónica Servicios Audiovisuales
12130 Htp 109Europe46-48,DVB-S28PSK275003/4,103.0,Record TV Europa,,MPEG-4/SD,4113.0,4114 Por,,,12130 H,tp 109,46-48,,,False,Telefónica Servicios Audiovisuales
10770 Htp 146Europe46-48,DVB-S28PSK300005/6,2700.0,Record News,,MPEG-2/SD,112.0,113 Por,,,10770 H,tp 146,46-48,,,False,Telefónica Servicios Audiovisuales
10770 Htp 146Europe46-48,DVB-S28PSK300005/6,2800.0,RTP 3,,MPEG-4/SD,2201.0,2202 Por,BISS 1,,10770 H,tp 146,46-48,BISS 1,,False,Telefónica Servicios Audiovisuales
10770 Htp 146Europe46-48,DVB-S28PSK300005/6,3000.0,(feeds),,,5177.0,5178,,,10770 H,tp 146,46-48,,,False,Telefónica Servicios Audiovisuales
10770 Htp 146Europe46-48,DVB-S28PSK300005/6,3100.0,(feeds),,,304.0,305,,,10770 H,tp 146,46-48,,,False,Telefónica Servicios Audiovisuales
11958 Htp 135Europe,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy180818,11958 H,tp 135,,,,False,Telefónica Servicios Audiovisuales
11968 Htp 135Europe,DVB-S28PSK72003/4,,(feeds),,,,,,Roli180820,11968 H,tp 135,,,,False,Telefónica Servicios Audiovisuales
11977 Htp 135Europe,DVB-S70003/4,,(feeds),,,,,,Stanley_cassidy171027,11977 H,tp 135,,,,False,Telefónica Servicios Audiovisuales
11997 Vtp 132Europe,DVB-S28PSK75003/4,,(feeds),,,,,,Roli240105,11997 V,tp 132,,,,False,Telefónica Servicios Audiovisuales
11999 Htp 136Europe,DVB-S28PSK96003/4,,(feeds),,,,,,Roli240305,11999 H,tp 136,,,,False,Telefónica Servicios Audiovisuales
12006 Vtp 132Europe,DVB-S28PSK75003/4,,(feeds),,,,,,Roli231112,12006 V,tp 132,,,,False,Telefónica Servicios Audiovisuales
12008 Htp 136Europe,DVB-S28PSK72003/4,,(feeds),,,,,,DX Bozóth200317,12008 H,tp 136,,,,False,Telefónica Servicios Audiovisuales
12014 Vtp 132Europe,DVB-S28PSK50003/4,,(feeds),,,,,,Roli231223,12014 V,tp 132,,,,False,Telefónica Servicios Audiovisuales
12015 Htp 136Europe,DVB-S28PSK72003/4,,(feeds),,,,,,Roli210408,12015 H,tp 136,,,,False,Telefónica Servicios Audiovisuales
12023 Vtp 132Europe,DVB-S28PSK92303/4,,(feeds),,,,,,RoliStanley_cassidy211202,12023 V,tp 132,,,,False,Telefónica Servicios Audiovisuales
12025 Htp 136Europe,DVB-S28PSK72003/4,,(feeds),,,,,,Roli201121,12025 H,tp 136,,,,False,Telefónica Servicios Audiovisuales
12078 Vtp 134Europe,DVB-S28PSK72002/3,,(feeds),,,,,,Roli231118,12078 V,tp 134,,,,False,Telefónica Servicios Audiovisuales
12086 Vtp 134Europe,DVB-S275003/4,,(feeds),,,,,,Stanley_cassidy220213,12086 V,tp 134,,,,False,Telefónica Servicios Audiovisuales
12096 Vtp 134Europe,DVB-S75003/4,,(feeds),,,,,,Roli211204,12096 V,tp 134,,,,False,Telefónica Servicios Audiovisuales
12425 Vtp 107Europe,DVB-S4440,,(feeds),,,,,,M Amer140331,12425 V,tp 107,,,,False,Telefónica Servicios Audiovisuales
10850 Vtp 142Europe46-48,DVB-S216APSK300002/3,,{},,,,,,D Lita210327,10850 V,tp 142,46-48,,,False,Telefónica Servicios Audiovisuales
10890 Htp 149Europe46-48,DVB-S28PSK300003/4,1310.0,FunBox UHD,,65280-13HEVC/UHD,1010.0,7.92000 Eng2001 Ger,Conax,M Al-Taie210713,10890 H,tp 149,46-48,Conax,,False,Telefónica Servicios Audiovisuales
10914 Htp 150Europe46-48,DVB-S2QPSK25009/10,1.0,Bom Cine,,1-1MPEG-4/HD,257.0,6.4 258 Spa 259 Qaa,,EnoSat240208,10914 H,tp 150,46-48,,,False,Telefónica Servicios Audiovisuales
10914 Htp 150Europe46-48,DVB-S2QPSK25009/10,1.0,Bom Radio,,,,262 Spa,,,10914 H,tp 150,46-48,,,False,Telefónica Servicios Audiovisuales
