Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
4104 Vtp 10BNorth America C0,DVB-S28PSK4143,,Saskatchewan mux,,,,,,Mike 4210108,4104 V,tp 10B,0.0,,,False,
4104 Vtp 10BNorth America C0,DVB-S28PSK4143,1.0,Citytv Saskatchewan,,MPEG-4/SD,35.0,34 Eng,,,4104 V,tp 10B,0.0,,,False,
4104 Vtp 10BNorth America C0,DVB-S28PSK4143,2.0,Saskatchewan Legislative Network,,MPEG-4/SD,33.0,32 Eng,,,4104 V,tp 10B,0.0,,,False,
4104 Vtp 10BNorth America C0,DVB-S28PSK4143,3.0,[Access Comm test card],,MPEG-4/SD,1793.0,1795 Eng,,,4104 V,tp 10B,0.0,,,False,
11728 Htp 17North America Ku,,,,,,,,,J Robson240228,11728 H,tp 17,,,,False,
11745 Vtp 2North America Ku,,,,,,,,,J Robson240228,11745 V,tp 2,,,,False,
11758 Htp 18North America Ku,,,,,,,,,J Robson240228,11758 H,tp 18,,,,False,
11819 Htp 20North America Ku,,,,,,,,,J Robson240228,11819 H,tp 20,,,,False,
11837 Vtp 5North America Ku,,,,,,,,,J Robson240228,11837 V,tp 5,,,,False,
11850 Htp 21North America Ku,,,,,,,,,J Robson240228,11850 H,tp 21,,,,False,
11880 Htp 22North America Ku,,,,,,,,,J Robson240228,11880 H,tp 22,,,,False,
11898 Vtp 7North America Ku,,,,,,,,,J Robson240228,11898 V,tp 7,,,,False,
11928 Vtp 8North America Ku,,,,,,,,,J Robson240228,11928 V,tp 8,,,,False,
11972 Htp 25North America Ku,,,,,,,,,J Robson240228,11972 H,tp 25,,,,False,
11989 Vtp 10North America Ku,,,,,,,,,J Robson240228,11989 V,tp 10,,,,False,
12002 Htp 26North America Ku,,,,,,,,,J Robson240228,12002 H,tp 26,,,,False,
12020 Vtp 11North America Ku,,,,,,,,,J Robson240228,12020 V,tp 11,,,,False,
12033 Htp 27North America Ku,,,,,,,,,J Robson240228,12033 H,tp 27,,,,False,
12050 Vtp 12North America Ku,,,,,,,,,J Robson240228,12050 V,tp 12,,,,False,
12063 Htp 28North America Ku,,,,,,,,,J Robson240228,12063 H,tp 28,,,,False,
12094 Htp 29North America Ku,,,,,,,,,J Robson240228,12094 H,tp 29,,,,False,
12142 Vtp 15North America Ku,,,,,,,,,J Robson240228,12142 V,tp 15,,,,False,
12155 Htp 31North America Ku,,,,,,,,,J Robson240228,12155 H,tp 31,,,,False,
12185 Htp 32North America Ku,,,,,,,,,J Robson240228,12185 H,tp 32,,,,False,
19776 LNorth America Ka,DVB-S Turbo150003/4,,@ Viasat,,,,,,R Hewitt060331,19776 L,,,,,False,
19794 LNorth America Ka,DVB-S Turbo150003/4,,@ Viasat,,,,,,R Hewitt060331,19794 L,,,,,False,
19814 LNorth America Ka,DVB-S Turbo150003/4,,@ Viasat,,,,,,R Hewitt060331,19814 L,,,,,False,
19905 LNorth America Ka,DVB-S Turbo225003/4,,@ Viasat,,,,,,R Hewitt060331,19905 L,,,,,False,
19932 LNorth America Ka,DVB-S Turbo225003/4,,@ Viasat,,,,,,R Hewitt060331,19932 L,,,,,False,
19966 LNorth America Ka,DVB-S Turbo150001/2,,@ Viasat,,,,,,R Hewitt060331,19966 L,,,,,False,
20002 LNorth America Ka,DVB-S Turbo150003/4,,@ Viasat,,,,,,R Hewitt060331,20002 L,,,,,False,
