Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
3418 Htp 15AC0,DVB-S28PSK192002/3,,VTV,,,,6.6,Director,NHMPlay230301,3418 H,tp 15A,0.0,Director,https://www.lyngsat.com/providers/vn/VTV.html,True,VTV
3418 Htp 15AC0,DVB-S28PSK192002/3,1.0,VTV 1,,MPEG-4/SD,1011.0,1012 Vie,,,3418 H,tp 15A,0.0,,,False,VTV
3418 Htp 15AC0,DVB-S28PSK192002/3,11.0,VTV 1,,MPEG-4/HD,1111.0,1112 Vie1114 Vie,Director,,3418 H,tp 15A,0.0,Director,,False,VTV
3418 Htp 15AC0,DVB-S28PSK192002/3,2.0,VTV 2,,MPEG-4/SD,1021.0,1022 Vie,Director,,3418 H,tp 15A,0.0,Director,,False,VTV
3418 Htp 15AC0,DVB-S28PSK192002/3,12.0,VTV 2,,MPEG-4/HD,1121.0,1122 Vie,Director,,3418 H,tp 15A,0.0,Director,,False,VTV
3418 Htp 15AC0,DVB-S28PSK192002/3,4.0,VTV 4,,MPEG-4/SD,1041.0,1.42 Vie,,,3418 H,tp 15A,0.0,,,False,VTV
3418 Htp 15AC0,DVB-S28PSK192002/3,5.0,VTV 5,,MPEG-4/HD,1051.0,1052 Vie,Director,,3418 H,tp 15A,0.0,Director,,False,VTV
3418 Htp 15AC0,DVB-S28PSK192002/3,7.0,VTV 7,,MPEG-4/SD,1071.0,1072 Vie,,,3418 H,tp 15A,0.0,,,False,VTV
3418 Htp 15AC0,DVB-S28PSK192002/3,8.0,VTV 8,,MPEG-4/HD,1081.0,1082 Vie,Director,,3418 H,tp 15A,0.0,Director,,False,VTV
3418 Htp 15AC0,DVB-S28PSK192002/3,13.0,VTV 3,,MPEG-4/HD,1131.0,1132 Vie1134 Vie,Director,,3418 H,tp 15A,0.0,Director,,False,VTV
3418 Htp 15AC0,DVB-S28PSK192002/3,16.0,VTV Can Tho,,MPEG-4/HD,1161.0,1162 Vie1164 Vie,Director,,3418 H,tp 15A,0.0,Director,,False,VTV
3418 Htp 15AC0,DVB-S28PSK192002/3,19.0,VTV 9,,MPEG-4/HD,1191.0,1192 Vie,Director,,3418 H,tp 15A,0.0,Director,,False,VTV
3418 Htp 15AC0,DVB-S28PSK192002/3,51.0,VTV 5 Tay Nam Bo,,MPEG-4/HD,1511.0,1512 Vie,Director,,3418 H,tp 15A,0.0,Director,,False,VTV
3418 Htp 15AC0,DVB-S28PSK192002/3,52.0,VTV 5 Tay Nguyen,,MPEG-4/HD,1521.0,1522 Vie,Director,,3418 H,tp 15A,0.0,Director,,False,VTV
