Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
3797 HC,DVB-S15503/4,1.0,[PANP test card],,65535-1MPEG-2/SD,308.0,5.5 256,,T Kameda200922,3797 H,,,,,False,
3797 HC,DVB-S15503/4,1.0,Radyo Pilipinas 1,,,,256 Tgl,,,3797 H,,,,,False,
12257 VKu0,DVB-S30963/4,1.0,[JCSAT 5A test card],,176-1MPEG-2/SD,48.0,5.5  .9,,T Kameda060726,12257 V,,0.0,,,False,
12288 HKu,DVB-S72413/4,,(feeds),,,,,,T Kameda080309,12288 H,,,,,False,
12323 VKu0,DVB-S232APSK133303/4,2700.0,NTV News 24,,?-?MPEG-4/SD,2048.0,8001 Jpn,,T Kameda170723,12323 V,,0.0,,,False,
12340 HKu,DVB-S72413/4,,(feeds),,,,,,T Kameda080309,12340 H,,,,,False,
12400 VKu,DVB-S216APSK66022/3,,(feeds),,,,,,T Kameda170723,12400 V,,,,,False,
12408 HKu,DVB-S72413/4,,(feeds),,,,,,T Kameda080501,12408 H,,,,,False,
12420 HKu,DVB-S72413/4,,(feeds),,,,,,T Kameda080420,12420 H,,,,,False,
12746 HKu0,DVB-S30963/4,1.0,[JCSAT 5A test card],,176-1MPEG-2/SD,48.0,5.5  49,,T Kameda060726,12746 H,,0.0,,,False,
