Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
12282 Htp 33LPapua New Guinea,DVB-S28PSK150003/4,,Digicel Play,,,,7.9,,Albert I230930,12282 H,tp 33L,,,,False,
12300 Htp 33UPapua New Guinea,DVB-S28PSK150003/4,,Digicel Play,,,,7.9,,NHMPlay220405,12300 H,tp 33U,,,,False,
12322 Htp 34LPapua New Guinea,DVB-S28PSK150003/4,,Digicel Play,,,,7.9,,Anonymous190824,12322 H,tp 34L,,,,False,
12340 Htp 34UPapua New Guinea,DVB-S28PSK150003/4,,Digicel Play,,,,7.9,,Albert I230930,12340 H,tp 34U,,,,False,
12448 Vtp 13Japan0,DVB-S210963/4,,Sky PerfecTV!,,65504-1,,5.5,BISS,T Kameda201208,12448 V,tp 13,0.0,BISS,https://www.lyngsat.com/providers/jp/Sky-PerfecTV.html,True,Sky PerfecTV!
12523 Htp 18Japan0,DVB-S28PSK233033/5,,Sky PerfecTV!,,10-?,,5.5,Multi 2,Alimudin 328201127,12523 H,tp 18,0.0,Multi 2,https://www.lyngsat.com/providers/jp/Sky-PerfecTV.html,True,Sky PerfecTV!
12553 Htp 20Japan0,DVB-S28PSK233033/5,,Sky PerfecTV!,,,,5.5,Multi 2,Alimudin 328201127,12553 H,tp 20,0.0,Multi 2,https://www.lyngsat.com/providers/jp/Sky-PerfecTV.html,True,Sky PerfecTV!
12568 Vtp 21Japan0,DVB-S28PSK233033/5,,Sky PerfecTV!,,,,5.5,Multi 2,T Kameda201207,12568 V,tp 21,0.0,Multi 2,https://www.lyngsat.com/providers/jp/Sky-PerfecTV.html,True,Sky PerfecTV!
12583 Htp 22Japan0,DVB-S28PSK233033/5,,Sky PerfecTV!,,,,5.5,Multi 2,N Masayoshi 2170722,12583 H,tp 22,0.0,Multi 2,https://www.lyngsat.com/providers/jp/Sky-PerfecTV.html,True,Sky PerfecTV!
12598 Vtp 23Japan0,DVB-S28PSK233033/5,,Sky PerfecTV!,,,,5.5,Multi 2,T Kameda210403,12598 V,tp 23,0.0,Multi 2,https://www.lyngsat.com/providers/jp/Sky-PerfecTV.html,True,Sky PerfecTV!
12613 Htp 24Japan0,DVB-S28PSK233033/5,,Sky PerfecTV!,,10-16420,,5.5,Multi 2,N Masayoshi 2170722,12613 H,tp 24,0.0,Multi 2,https://www.lyngsat.com/providers/jp/Sky-PerfecTV.html,True,Sky PerfecTV!
12628 Vtp 25Japan0,DVB-S28PSK233033/5,,Sky PerfecTV!,,,,5.5,Multi 2,N Masayoshi 2210403,12628 V,tp 25,0.0,Multi 2,https://www.lyngsat.com/providers/jp/Sky-PerfecTV.html,True,Sky PerfecTV!
12643 Htp 26Japan0,DVB-S28PSK233033/5,,Sky PerfecTV!,,,,5.5,Multi 2,N Masayoshi 2170722,12643 H,tp 26,0.0,Multi 2,https://www.lyngsat.com/providers/jp/Sky-PerfecTV.html,True,Sky PerfecTV!
