Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
3639 Htp 1HC36-40,DVB-S28PSK29153/4,1000,Himalaya TV,,?-?MPEG-4/HD,1001.0,7.91002 Nep,,N Stanislav230604,3639 H,tp 1H,36-40,,,False,
3652 Vtp 1VC36-40,DVB-S141003/4,,Sahara Samay,,,,5.5,,N Stanislav220827,3652 V,tp 1V,36-40,,https://www.lyngsat.com/providers/in/Sahara-Samay.html,True,Sahara Samay
3652 Vtp 1VC36-40,DVB-S141003/4,1,Sahara One,,MPEG-2/SD,512.0,650 Hin,,,3652 V,tp 1V,36-40,,,False,Sahara Samay
3652 Vtp 1VC36-40,DVB-S141003/4,2,Samay National,,MPEG-2/SD,513.0,660 Hin,,,3652 V,tp 1V,36-40,,,False,Sahara Samay
3652 Vtp 1VC36-40,DVB-S141003/4,3,Samay Rajasthan,,MPEG-2/SD,514.0,670 Hin,,,3652 V,tp 1V,36-40,,,False,Sahara Samay
3652 Vtp 1VC36-40,DVB-S141003/4,4,Samay Maharashtra/Gujarat,,MPEG-2/SD,515.0,680 Hin,,,3652 V,tp 1V,36-40,,,False,Sahara Samay
3652 Vtp 1VC36-40,DVB-S141003/4,5,Samay UP/Uttarakhand,,MPEG-2/SD,516.0,690 Hin,,,3652 V,tp 1V,36-40,,,False,Sahara Samay
3652 Vtp 1VC36-40,DVB-S141003/4,6,Samay Bihar/Jharkhand,,MPEG-2/SD,517.0,700 Hin,,,3652 V,tp 1V,36-40,,,False,Sahara Samay
3652 Vtp 1VC36-40,DVB-S141003/4,7,Aalami Samay,,MPEG-2/SD,518.0,710 Urd,,,3652 V,tp 1V,36-40,,,False,Sahara Samay
3652 Vtp 1VC36-40,DVB-S141003/4,8,Samay MP/Chhattisgarh,,MPEG-2/SD,519.0,720 Hin,,,3652 V,tp 1V,36-40,,,False,Sahara Samay
3652 Vtp 1VC36-40,DVB-S141003/4,9,Filmy,,MPEG-2/SD,520.0,730 Hin,,,3652 V,tp 1V,36-40,,,False,Sahara Samay
3652 Vtp 1VC36-40,DVB-S141003/4,12,Firangi,,MPEG-2/SD,523.0,72,,,3652 V,tp 1V,36-40,,,False,Sahara Samay
3656 Htp 1HC36-40,,,,,,,,,N Stanislav240323,3656 H,tp 1H,36-40,,,False,Sahara Samay
3663 Vtp 1VC36-40,DVB-S28PSK33333/4,,,,,,7.9,,C Sutton240331,3663 V,tp 1V,36-40,,,False,Sahara Samay
3709 Vtp 2VC36-40,DVB-S28PSK150003/4,,,,,,7.9,Irdeto,C Sutton220113,3709 V,tp 2V,36-40,Irdeto,,False,Sahara Samay
3760 Htp 4HC36-40,DVB-S260007/8,,,,1-2,,7.2,,N Stanislav240211,3760 H,tp 4H,36-40,,,False,Sahara Samay
3860 Vtp 6VC36-40,,,,,,,,,C Sutton240109,3860 V,tp 6V,36-40,,,False,Sahara Samay
3663 Vtp 1VC36-40,DVB-S28PSK33333/4,1,Afghan TV (Pakistan),,MPEG-4/SD,51.0,52,,new,3663 V,tp 1V,36-40,,,False,Sahara Samay
3663 Vtp 1VC36-40,DVB-S28PSK33333/4,2,Total Sports,,MPEG-4/SD,109.0,113,,new,3663 V,tp 1V,36-40,,,False,Sahara Samay
3663 Vtp 1VC36-40,DVB-S28PSK33333/4,3,Prime Movies HD,,MPEG-4/SD,55.0,56,,new,3663 V,tp 1V,36-40,,,False,Sahara Samay
3663 Vtp 1VC36-40,DVB-S28PSK33333/4,4,Movies2Day,,MPEG-4/SD,65.0,66,,new,3663 V,tp 1V,36-40,,,False,Sahara Samay
3663 Vtp 1VC36-40,DVB-S28PSK33333/4,5,Pitaara,,MPEG-4/SD,70.0,72,,new,3663 V,tp 1V,36-40,,,False,Sahara Samay
3663 Vtp 1VC36-40,DVB-S28PSK33333/4,7,Jan HD,,MPEG-4/SD,77.0,78,,new,3663 V,tp 1V,36-40,,,False,Sahara Samay
3663 Vtp 1VC36-40,DVB-S28PSK33333/4,9,Star Max,,MPEG-4/SD,83.0,84,,new,3663 V,tp 1V,36-40,,,False,Sahara Samay
3663 Vtp 1VC36-40,DVB-S28PSK33333/4,10,Look TV (Pakistan),,MPEG-4/SD,86.0,87,,new,3663 V,tp 1V,36-40,,,False,Sahara Samay
3663 Vtp 1VC36-40,DVB-S28PSK33333/4,12,FilmAsia,,MPEG-4/SD,92.0,93,,new,3663 V,tp 1V,36-40,,,False,Sahara Samay
3663 Vtp 1VC36-40,DVB-S28PSK33333/4,13,TV 99 News HD,,MPEG-4/SD,100.0,101,,new,3663 V,tp 1V,36-40,,,False,Sahara Samay
3663 Vtp 1VC36-40,DVB-S28PSK33333/4,14,BTV Mehak Malik Dance,,MPEG-4/SD,165.0,166,,new,3663 V,tp 1V,36-40,,,False,Sahara Samay
3668 Vtp 1VC36-40,DVB-S25933/4,1,Jesus Christ TV Pakistan,,?-?MPEG-2/SD,257.0,5.5 258,,Albert I190717,3668 V,tp 1V,36-40,,,False,Sahara Samay
3675 Vtp 2VC36-40,DVB-S28PSK50003/5,1,Ritmu TV,,?-?MPEG-4/SD,256.0,5.5 257 Ara,,N Stanislav221115,3675 V,tp 2V,36-40,,,False,Sahara Samay
3709 Vtp 2VC36-40,DVB-S28PSK150003/4,1,Colors Bangla,,MPEG-4/SD,1001.0,1002 Ben,Irdeto,,3709 V,tp 2V,36-40,Irdeto,,False,Sahara Samay
3709 Vtp 2VC36-40,DVB-S28PSK150003/4,2,Colors Bangla Cinema,,MPEG-4/SD,1021.0,1022 Ben,Irdeto,,3709 V,tp 2V,36-40,Irdeto,,False,Sahara Samay
3709 Vtp 2VC36-40,DVB-S28PSK150003/4,3,MTV Beats,,MPEG-4/SD,1041.0,1042 Eng,Irdeto,,3709 V,tp 2V,36-40,Irdeto,,False,Sahara Samay
3709 Vtp 2VC36-40,DVB-S28PSK150003/4,4,VH1 India,,MPEG-4/SD,1061.0,1062 Eng,Irdeto,,3709 V,tp 2V,36-40,Irdeto,,False,Sahara Samay
3709 Vtp 2VC36-40,DVB-S28PSK150003/4,5,Colors Infinity,,MPEG-4/SD,1081.0,1082 Eng,Irdeto,,3709 V,tp 2V,36-40,Irdeto,,False,Sahara Samay
3709 Vtp 2VC36-40,DVB-S28PSK150003/4,6,Comedy Central India,,MPEG-4/SD,1101.0,1102 Eng,Irdeto,,3709 V,tp 2V,36-40,Irdeto,,False,Sahara Samay
3709 Vtp 2VC36-40,DVB-S28PSK150003/4,7,Colors,,MPEG-4/SD,1121.0,1122 Hin,Irdeto,,3709 V,tp 2V,36-40,Irdeto,,False,Sahara Samay
3709 Vtp 2VC36-40,DVB-S28PSK150003/4,8,Colors Rishtey Asia,,MPEG-4/SD,1141.0,1142 Hin,Irdeto,,3709 V,tp 2V,36-40,Irdeto,,False,Sahara Samay
3709 Vtp 2VC36-40,DVB-S28PSK150003/4,9,Nickelodeon India,,MPEG-4/SD,1161.0,1162 Hin1163 Ben,Irdeto,,3709 V,tp 2V,36-40,Irdeto,,False,Sahara Samay
3709 Vtp 2VC36-40,DVB-S28PSK150003/4,10,Nick Jr Asia,,MPEG-4/SD,1181.0,1182 Eng1183 Hin,Irdeto,,3709 V,tp 2V,36-40,Irdeto,,False,Sahara Samay
3709 Vtp 2VC36-40,DVB-S28PSK150003/4,11,History TV 18,,MPEG-4/SD,1201.0,1202 Eng1202 Hin,Irdeto,,3709 V,tp 2V,36-40,Irdeto,,False,Sahara Samay
3709 Vtp 2VC36-40,DVB-S28PSK150003/4,12,Sonic Nickelodeon,,MPEG-4/SD,1221.0,1222,Irdeto,,3709 V,tp 2V,36-40,Irdeto,,False,Sahara Samay
3715 Htp 3HC36-40,DVB-S81673/4,,Shanghai Media Group,,,,5.5,,C Sutton211009,3715 H,tp 3H,36-40,,https://www.lyngsat.com/providers/cn/Shanghai-Media-Group.html,True,Shanghai Media Group
3715 Htp 3HC36-40,DVB-S81673/4,745,Xing Kong China,,MPEG-2/SD,514.0,648 Chi,,,3715 H,tp 3H,36-40,,,False,Shanghai Media Group
3715 Htp 3HC36-40,DVB-S81673/4,747,Channel V,,MPEG-2/SD,515.0,652 Chi,,,3715 H,tp 3H,36-40,,,False,Shanghai Media Group
3715 Htp 3HC36-40,DVB-S81673/4,748,Xing Kong International,,MPEG-4/SD,513.0,645 Chi,Irdeto,,3715 H,tp 3H,36-40,Irdeto,,False,Shanghai Media Group
3725 Htp 3HC36-40,DVB-S28PSK81652/3,,ABP,,,,6.6,,N Stanislav220509,3725 H,tp 3H,36-40,,https://www.lyngsat.com/providers/in/ABP.html,True,ABP
3725 Htp 3HC36-40,DVB-S28PSK81652/3,,ABP,,,,6.6,,N Stanislav220509,3725 H,tp 3H,36-40,,https://www.lyngsat.com/providers/in/ABP.html,True,ABP
4156 Htp 14HC36-40,DVB-S28PSK81652/3,,ABP,,,,6.6,Irdeto,N Stanislav210730,4156 H,tp 14H,36-40,Irdeto,https://www.lyngsat.com/providers/in/ABP.html,True,ABP
4156 Htp 14HC36-40,DVB-S28PSK81652/3,,ABP,,,,6.6,Irdeto,N Stanislav210730,4156 H,tp 14H,36-40,Irdeto,https://www.lyngsat.com/providers/in/ABP.html,True,ABP
3725 Htp 3HC36-40,DVB-S28PSK81652/3,3,ABP Ananda,,MPEG-4/SD,71.0,72 Ben,,,3725 H,tp 3H,36-40,,,False,ABP
