Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
11720 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,11720 H,,,"Irdeto,Videoguard",,False,
11720 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,11720 V,,,"Irdeto,Videoguard",,False,
11760 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,11760 H,,,"Irdeto,Videoguard",,False,
11760 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,11760 V,,,"Irdeto,Videoguard",,False,
11800 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231125,11800 H,,,"Irdeto,Videoguard",,False,
11800 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,DX Bozóth231122,11800 V,,,"Irdeto,Videoguard",,False,
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,11840 H,,,"Irdeto,Videoguard",,False,
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,11840 V,,,"Irdeto,Videoguard",,False,
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,11880 H,,,"Irdeto,Videoguard",,False,
11880 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,11880 V,,,"Irdeto,Videoguard",,False,
11920 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,11920 H,,,"Irdeto,Videoguard",,False,
11920 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,11920 V,,,"Irdeto,Videoguard",,False,
11960 H,DVB-S28PSK342803/5,,Tata Play,,,,5.5,IrdetoVideoguard,N Stanislav240306,11960 H,,,"Irdeto,Videoguard",,False,
11960 V,DVB-S28PSK342803/5,,Tata Play,,,,5.5,IrdetoVideoguard,N Stanislav231125,11960 V,,,"Irdeto,Videoguard",,False,
12000 H,DVB-S28PSK342803/5,,Tata Play,,,,5.5,IrdetoVideoguard,N Stanislav240306,12000 H,,,"Irdeto,Videoguard",,False,
12000 V,DVB-S28PSK342803/5,,Tata Play,,,,5.5,IrdetoVideoguard,N Stanislav240306,12000 V,,,"Irdeto,Videoguard",,False,
12040 H,DVB-S28PSK342803/5,,Tata Play,,,,5.5,IrdetoVideoguard,N Stanislav230804,12040 H,,,"Irdeto,Videoguard",,False,
12040 V,DVB-S28PSK342803/5,,Tata Play,,,,5.5,IrdetoVideoguard,N Stanislav240306,12040 V,,,"Irdeto,Videoguard",,False,
12080 H,DVB-S28PSK342803/5,,{},,,,5.5,,N Stanislav231125,12080 H,,,,,False,
12080 V,DVB-S28PSK342803/5,,Tata Play,,,,5.5,IrdetoVideoguard,N Stanislav231125,12080 V,,,"Irdeto,Videoguard",,False,
12120 H,DVB-S28PSK342803/5,,{},,,,5.5,,N Stanislav231125,12120 H,,,,,False,
12120 V,DVB-S28PSK342803/5,,{},,,,5.5,,N Stanislav231125,12120 V,,,,,False,
12160 H,DVB-S28PSK342803/5,,{},,,,5.5,,N Stanislav231125,12160 H,,,,,False,
12160 V,DVB-S28PSK342803/5,,Tata Play,,,,5.5,IrdetoVideoguard,N Stanislav240306,12160 V,,,"Irdeto,Videoguard",,False,
