Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
3634 Htp 1AC38.5,DVB-S28PSK60003/5,,Kantipur Media Group,,65280-0,,5.5,,C Sutton210306,3634 H,tp 1A,38.5,,https://www.lyngsat.com/providers/np/Kantipur-Media-Group.html,True,Kantipur Media Group
3634 Htp 1AC38.5,DVB-S28PSK60003/5,101,Kantipur TV,,MPEG-4/HD,257.0,258 Nep,,,3634 H,tp 1A,38.5,,,False,Kantipur Media Group
3634 Htp 1AC38.5,DVB-S28PSK60003/5,111,Kantipur Max,,MPEG-4/HD,3001.0,3002 Nep,,,3634 H,tp 1A,38.5,,,False,Kantipur Media Group
3695 Htp 2AC,DVB-S2QPSK47003/5,,(feeds),,,,,,N Stanislav240324,3695 H,tp 2A,,,,False,Kantipur Media Group
3832 Vtp 5BC,DVB-S61113/4,,(feeds),,,,,,I Perera070224,3832 V,tp 5B,,,,False,Kantipur Media Group
3834 Htp 6AC,DVB-S28PSK98753/4,,(feeds),,,,,,N Stanislav230924,3834 H,tp 6A,,,,False,Kantipur Media Group
3852 Htp 6AC,DVB-S28PSK98753/4,,(feeds),,,,,,N Stanislav221203,3852 H,tp 6A,,,,False,Kantipur Media Group
3914 Vtp 7BC,DVB-S32553/4,,(feeds),,,,,,I Perera071208,3914 V,tp 7B,,,,False,Kantipur Media Group
4035 Htp 11AC,DVB-S28PSK67003/4,,(feeds),,,,,,N Stanislav220911,4035 H,tp 11A,,,,False,Kantipur Media Group
4045 Htp 11AC,DVB-S28PSK67003/4,,(feeds),,,,,,N Stanislav220911,4045 H,tp 11A,,,,False,Kantipur Media Group
4047 Vtp 11BC,DVB-S28PSK72003/4,,(feeds),,,,,,N Stanislav220717,4047 V,tp 11B,,,,False,Kantipur Media Group
4054 Htp 11AC,DVB-S28PSK67003/4,,(feeds),,,,,,N Stanislav220911,4054 H,tp 11A,,,,False,Kantipur Media Group
