SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
9.0,RT News,1-2MPEG-2/SD,33.0,3586 L,tp 2A,44-45,,,False,,3/4,8000,DVB-S8,Eng
10.0,Radio Orfey,,,3586 L,tp 2A,44-45,,,False,,3/4,8000,DVB-S8,Rus
,RTRS Yamal,8835-2,,3594 R,tp 2,44-45,,https://www.lyngsat.com/providers/ru/RTRS-Yamal.html,True,RTRS Yamal,P 1,,DVB-S2,
1020.0,Rossiya 1 (+2h),MPEG-4/SD,1021.0,3594 R,tp 2,44-45,GoSTcrypt,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1020.0,Rossiya 1 (+2h),MPEG-4/SD,1021.0,3621 R,tp 3,44-45,GoSTcrypt,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1020.0,Rossiya 1 (+2h),MPEG-4/SD,1021.0,3628 R,tp 3,44-45,GoSTcrypt,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1020.0,Rossiya 1 (+2h),MPEG-4/SD,1021.0,3857 R,tp 6,44-45,GoSTcrypt,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1020.0,Rossiya 1 (+2h),MPEG-4/SD,1021.0,3921 R,tp 6,44-45,GoSTcrypt,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1070.0,Rossiya 24,MPEG-4/SD,1071.0,3594 R,tp 2,44-45,,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1070.0,Rossiya 24,MPEG-4/SD,1071.0,3595 L,tp 2A,44-45,,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1070.0,Rossiya 24,MPEG-4/SD,1071.0,3621 R,tp 3,44-45,,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1070.0,Rossiya 24,MPEG-4/SD,1071.0,3627 L,tp 3A,44-45,,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1070.0,Rossiya 24,MPEG-4/SD,1071.0,3628 R,tp 3,44-45,,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1070.0,Rossiya 24,MPEG-4/SD,1071.0,3643 R,tp 3,44-45,,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1070.0,Rossiya 24,MPEG-4/SD,1071.0,3695 R,tp 4,44-45,,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1070.0,Rossiya 24,MPEG-4/SD,1071.0,3704 R,tp 4,44-45,,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1070.0,Rossiya 24,MPEG-4/SD,1071.0,3704 L,tp 4A,44-45,,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1070.0,Rossiya 24,MPEG-4/SD,1071.0,3803 L,tp 5A,44-45,,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1070.0,Rossiya 24,MPEG-4/SD,1071.0,3822 L,tp 5A,44-45,,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1070.0,Rossiya 24,MPEG-4/SD,1071.0,3857 R,tp 6,44-45,,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1070.0,Rossiya 24,MPEG-4/SD,1071.0,3858 L,tp 6A,44-45,,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1070.0,Rossiya 24,MPEG-4/SD,1071.0,3864 R,tp 6,44-45,,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1070.0,Rossiya 24,MPEG-4/SD,1071.0,3921 R,tp 6,44-45,,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1070.0,Rossiya 24,MPEG-4/SD,1071.0,3977 L,tp 7A,44-45,,,False,RTRS Yamal,P 1,,DVB-S2,Rus
1070.0,Rossiya 24,MPEG-4/SD,1071.0,4018 L,tp 8A,44-45,,,False,RTRS Yamal,P 1,,DVB-S2,Rus
