SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
,,702-1,,10730 H,,,BISS 1,,False,,3/4,30000,DVB-S2,
1.0,RIK Sat,MPEG-2/SD,108.0,10730 H,,,,,False,,3/4,30000,DVB-S2,Gre
6.0,4E,MPEG-4/SD,1151.0,10730 H,,,,,False,,3/4,30000,DVB-S2,Gre
11.0,Eurobet Canale Arancione,HEVC,7201.0,10730 H,,,BISS 1,,False,,3/4,30000,DVB-S2,Ita
12.0,Eurobet Canale Nero,HEVC,7301.0,10730 H,,,BISS 1,,False,,3/4,30000,DVB-S2,Ita
13.0,Eurobet mosaic,HEVC,7401.0,10730 H,,,BISS 1,,False,,3/4,30000,DVB-S2,Ita
14.0,Eurobet Canale Verde,HEVC,7501.0,10730 H,,,BISS 1,,False,,3/4,30000,DVB-S2,Ita
15.0,Eurobet Canale Azzurro,HEVC,7601.0,10730 H,,,BISS 1,,False,,3/4,30000,DVB-S2,Ita
101.0,Pame Stoichima Virtual Sports 1,HEVC/HD,2501.0,10730 H,,,BISS 1,,False,,3/4,30000,DVB-S2,Gre
102.0,Pame Stoichima Virtual Sports 2,HEVC/HD,2502.0,10730 H,,,BISS 1,,False,,3/4,30000,DVB-S2,Gre
103.0,Opap Powerspin,HEVC/HD,2503.0,10730 H,,,BISS 1,,False,,3/4,30000,DVB-S2,Gre
104.0,Pame Stoichima Racing,HEVC/HD,2504.0,10730 H,,,BISS 1,,False,,3/4,30000,DVB-S2,Gre
105.0,Pame Stoichima Lepto Pros Lepto,HEVC/HD,2505.0,10730 H,,,BISS 1,,False,,3/4,30000,DVB-S2,Gre
106.0,Pame Stoichima Virtual Sports Mpasket tests,HEVC/HD,2506.0,10730 H,,,BISS 1,,False,,3/4,30000,DVB-S2,Gre
353.0,ERT World,MPEG-4/HD,48.0,10730 H,,,,,False,,3/4,30000,DVB-S2,Gre
2.0,RIK 1 Proto,,,10730 H,,,,,False,,3/4,30000,DVB-S2,Gre
4.0,RIK 3 Trito,,,10730 H,,,,,False,,3/4,30000,DVB-S2,Gre
5.0,RIK 4 Classic,,,10730 H,,,,,False,,3/4,30000,DVB-S2,Gre
7.0,Ellada FM,,,10730 H,,,,,False,,3/4,30000,DVB-S2,Gre
32.0,I Foni tis Elladas,,,10730 H,,,,,False,,3/4,30000,DVB-S2,
33.0,Capital Radio Cyprus,,,10730 H,,,,,False,,3/4,30000,DVB-S2,Gre
36.0,Kanali 6,,,10730 H,,,,,False,,3/4,30000,DVB-S2,Gre
,Tring,926-1010,,10890 H,,,Conax,,False,,5/6,30000,DVB-S2,
1610.0,Kanali 7,MPEG-4/SD,1700.0,10890 H,,,,,False,,5/6,30000,DVB-S2,Alb
,Tring,926-1020,,10930 H,,,Conax,,False,,5/6,30000,DVB-S2,
,(feeds),,,10954 V,,,,,False,,3/4,2400,DVB-S2,
,(feeds),,,10969 V,,,,,False,,3/4,6666,DVB-S6,
,(feeds),,,10998 V,,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,11007 V,,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,11016 V,,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,11025 V,,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,11087 V,,,,,False,,3/4,3750,DVB-S2,
,(feeds),,,11109 V,,,,,False,,3/4,27200,DVB-S2,
,(feeds),,,11119 V,,,,,False,,3/4,3333,DVB-S3,
,(feeds),,,11135 V,,,,,False,,2/3,4500,DVB-S2,
7188.0,Equ TV,0-160MPEG-4/SD,512.0,11139 V,,,,,False,,5/6,1000,DVB-S2,Ita
,(feeds),,,11143 V,,,,,False,,5/6,2400,DVB-S2,
,(feeds),,,11151 V,,,,,False,,3/4,4936,DVB-S2,
,(feeds),,,11162 V,,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,11168 V,,,,,False,,3/4,5000,DVB-S2,
,(feeds),,,11173 V,,,,,False,,3/4,5000,DVB-S2,
,(feeds),,,11178 V,,,,,False,,3/4,25000,DVB-S2,
,(feeds),,,11185 V,,,,,False,,3/4,5000,DVB-S2,
,(feeds),,,11190 V,,,,,False,,3/4,6666,DVB-S2,
