SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
1.0,Türksat promo,65281-1MPEG-2/SD,1001.0,10992 V,,,,,False,,3/4,2220,DVB-S2,
50450.0,Türksat promo,MPEG-4/HD,5450.0,11515 H,,51.0,,,False,,2/3,30000,DVB-S2,Tur
,(feeds),,,11037 H,,,,,False,,5/6,2500,DVB-S2,
,(feeds),,,11041 H,,,,,False,,5/6,2500,DVB-S2,
,(feeds),,,11041 V,,,,,False,,5/6,2490,DVB-S2,
,(feeds),,,11046 H,,,,,False,,5/6,2500,DVB-S2,
,(feeds),,,11048 V,,,,,False,,3/4,10000,DVB-S2,
,(feeds),,,11066 H,,,,,False,,5/6,7500,DVB-S2,
,(feeds),,,11067 V,,,,,False,,3/4,10000,DVB-S2,
,(feeds),,,11072 H,,,,,False,,5/6,2500,DVB-S2,
,,,,11503 V,,,,,False,,,,,
,,,,11508 V,,,,,False,,,,,
,,,,11514 V,,,,,False,,,,,
,,,,11525 V,,,,,False,,,,,
,,,,11572 V,,,,,False,,,,,
,,,,11600 V,,,,,False,,,,,
,,,,11603 V,,,,,False,,,,,
,,,,11618 H,,,,,False,,,,,
,Türksat,,,11515 H,,51.0,,https://www.lyngsat.com/providers/tr/Turksat.html,True,Türksat,2/3,30000,DVB-S2,
50451.0,TRT Arabi,MPEG-4/HD,5451.0,11515 H,,51.0,,,False,Türksat,2/3,30000,DVB-S2,Ara
50452.0,TRT World,MPEG-4/HD,5452.0,11515 H,,51.0,,,False,Türksat,2/3,30000,DVB-S2,Eng
50453.0,Alkarma TV Middle East,MPEG-4/SD,5453.0,11515 H,,51.0,,,False,Türksat,2/3,30000,DVB-S2,Ara
