SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
,(feeds),,,11460 H,tp 1,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,11460 V,tp 2,,,,False,,2/3,3750,DVB-S2,
,(feeds),,,11469 H,tp 1,,,,False,,3/4,3214,DVB-S2,
,(feeds),,,11470 V,tp 2,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,11479 H,tp 1,,,,False,,3/4,4444,DVB-S4,
,(feeds),,,11480 V,tp 2,,,,False,,5/6,26975,DVB-S2,
,(feeds),,,11488 V,tp 2,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,11490 H,tp 1,,,,False,,5/6,5000,DVB-S2,
,(feeds),,,11501 H,tp 3,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,11502 V,tp 4,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,11510 H,tp 3,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,11510 V,tp 4,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,11519 H,tp 3,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,11527 H,tp 3,,,,False,,3/4,3650,DVB-S2,
,(feeds),,,11527 V,tp 4,,,,False,,3/4,9874,DVB-S2,
,(feeds),,,11581 V,tp 8,,,,False,,3/4,6111,DVB-S6,
,(feeds),,,11586 H,tp 7,,,,False,,3/4,4800,DVB-S2,
,(feeds),,,11590 H,tp 7,,,,False,,2/3,2400,DVB-S2,
,(feeds),,,11596 H,tp 7,,,,False,,2/3,4800,DVB-S2,
,(feeds),,,11601 V,tp 8,,,,False,,2/3,4500,DVB-S2,
,(feeds),,,11602 H,tp 7,,,,False,,2/3,2400,DVB-S2,
,(feeds),,,11609 H,tp 7,,,,False,,3/4,4800,DVB-S2,
,(feeds),,,11620 V,tp 10,,,,False,,3/4,4800,DVB-S2,
,(feeds),,,11630 H,tp 9,,,,False,,7/8,6666,DVB-S6,
,(feeds),,,11631 V,tp 10,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,11636 H,tp 9,,,,False,,2/3,3630,DVB-S2,
,(feeds),,,11640 V,tp 10,,,,False,,5/6,6975,DVB-S2,
,(feeds),,,11649 V,tp 10,,,,False,,5/6,6975,DVB-S2,
,(feeds),,,11659 H,tp 9,,,,False,,3/4,5000,DVB-S2,
,(feeds),,,11661 V,tp 12,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,11670 H,tp 11,,,,False,,3/4,7500,DVB-S2,
,(feeds),,,11673 V,tp 12,,,,False,,3/4,3750,DVB-S2,
,(feeds),,,11679 H,tp 11,,,,False,,2/3,6332,DVB-S2,
,(feeds),,,11680 V,tp 12,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,11686 V,tp 12,,,,False,,3/4,2750,DVB-S2,
,(feeds),,,11687 H,tp 11,,,,False,,3/4,9874,DVB-S2,
,(feeds),,,12511 V,tp 14,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,12519 V,tp 14,,,,False,,5/6,6975,DVB-S2,
,(feeds),,,12530 V,tp 14,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,12540 V,tp 14,,,,False,,3/4,3750,DVB-S2,
,(feeds),,,12550 H,tp 15,,,,False,,3/4,14400,DVB-S2,
,(feeds),,,12550 V,tp 16,,,,False,,5/6,1663,DVB-S2,
,(feeds),,,12563 V,tp 16,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,12571 V,tp 16,,,,False,,3/4,3600,DVB-S2,
,(feeds),,,12580 V,tp 16,,,,False,,3/4,3600,DVB-S2,
,(feeds),,,12589 V,tp 18,,,,False,,3/4,4800,DVB-S2,
,(feeds),,,12592 H,tp 17,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,12595 V,tp 18,,,,False,,3/4,4800,DVB-S2,
