SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
,EClutch,366-7,,10721 H,tp A1,44-46,Conax,https://www.lyngsat.com/providers/--/EClutch.html,True,EClutch,3/5,30000,DVB-S2,
1001,Ginx TV International,MPEG-4/HD,1011.0,10721 H,tp A1,44-46,Conax,,False,EClutch,3/5,30000,DVB-S2,Eng
1002,Bigg TV,MPEG-4/HD,1021.0,10721 H,tp A1,44-46,Conax,,False,EClutch,3/5,30000,DVB-S2,Eng
1004,ESR 24x7 Esports Network,MPEG-4/HD,1041.0,10721 H,tp A1,44-46,Conax,,False,EClutch,3/5,30000,DVB-S2,Eng
,DigitAlb,366-20300,,10762 H,tp A3,44-46,Conax,,False,EClutch,3/5,30000,DVB-S2,
,DigitAlb,366-20500,,10804 H,tp A5,44-46,Conax,,False,EClutch,2/3,29950,DVB-S2,
,DigitAlb,366-20700,,10845 H,tp A7,44-46,Conax,,False,EClutch,3/5,30000,DVB-S2,
,DigitAlb,366-20900,,10887 H,tp A9,44-46,"Conax,Irdeto,Videoguard",,False,EClutch,3/5,30000,DVB-S2,
1000,RTK 1 Sat,MPEG-4/SD,1001.0,10762 H,tp A3,44-46,,,False,EClutch,3/5,30000,DVB-S2,Alb
1520,Top News,MPEG-4/HD,1521.0,10762 H,tp A3,44-46,,,False,EClutch,3/5,30000,DVB-S2,Alb
1800,Top Albania Radio,,,10762 H,tp A3,44-46,,,False,EClutch,3/5,30000,DVB-S2,Alb
1820,Top Gold Radio,,,10762 H,tp A3,44-46,,,False,EClutch,3/5,30000,DVB-S2,Alb
2000,EuroNews Albania,MPEG-4/HD,2001.0,10804 H,tp A5,44-46,,,False,EClutch,2/3,29950,DVB-S2,Alb
921,My Music Radio,,,10804 H,tp A5,44-46,,,False,EClutch,2/3,29950,DVB-S2,Alb
,New World,367-60500,,10804 H,tp K5,0,,,False,EClutch,2/3,30000,DVB-S2,
,New World,367-60030,,11356 H,tp N3,0,Conax,,False,EClutch,3/4,45000,DVB-S2,
,New World,367-60200,,12562 H,tp H2,0,,,False,EClutch,2/3,30000,DVB-S2,
101,Vision 4,MPEG-4/SD,1011.0,10804 H,tp K5,0,,,False,EClutch,2/3,30000,DVB-S2,Fre
1,Vision 4,0-1MPEG-4/SD,258.0,21538 H,tp J2,,,,False,EClutch,3/4,1833,DVB-S2,Fre
104,CRTV,MPEG-4/SD,1041.0,10804 H,tp K5,0,,,False,EClutch,2/3,30000,DVB-S2,Fre
105,Hadi TV 5,MPEG-4/SD,1051.0,10804 H,tp K5,0,,,False,EClutch,2/3,30000,DVB-S2,
107,Sen TV,MPEG-4/SD,1071.0,10804 H,tp K5,0,,,False,EClutch,2/3,30000,DVB-S2,Fre
108,CRTV News,MPEG-4/SD,1081.0,10804 H,tp K5,0,,,False,EClutch,2/3,30000,DVB-S2,Fre
111,URHC TV,MPEG-4/SD,1111.0,10804 H,tp K5,0,,,False,EClutch,2/3,30000,DVB-S2,Fre
115,RTB TV (Burkina Faso),MPEG-4/SD,1151.0,10804 H,tp K5,0,,,False,EClutch,2/3,30000,DVB-S2,Fre
117,Vision 4 RCA,MPEG-4/SD,1171.0,10804 H,tp K5,0,,,False,EClutch,2/3,30000,DVB-S2,Fre
1,Vision 4 RCA,0-1MPEG-4/SD,258.0,21534 H,tp J2,,,,False,EClutch,3/5,1124,DVB-S2,Fre
118,CRTV Sports and Entertainment,MPEG-4/SD,1181.0,10804 H,tp K5,0,,,False,EClutch,2/3,30000,DVB-S2,Fre
121,LM TV Français,MPEG-4/SD,1211.0,10804 H,tp K5,0,,,False,EClutch,2/3,30000,DVB-S2,Fre
131,Arewa 24,MPEG-4/SD,1311.0,10804 H,tp K5,0,,,False,EClutch,2/3,30000,DVB-S2,Hau
132,Qausain TV,MPEG-4/HD,1321.0,10804 H,tp K5,0,,,False,EClutch,2/3,30000,DVB-S2,Hau
133,Daawa TV,MPEG-4/HD,1331.0,10804 H,tp K5,0,,,False,EClutch,2/3,30000,DVB-S2,Hau
201,ORTB TV,MPEG-4/SD,2011.0,10804 H,tp K5,0,,,False,EClutch,2/3,30000,DVB-S2,Fre
205,France 24 Français,MPEG-4/SD,2051.0,10804 H,tp K5,0,,,False,EClutch,2/3,30000,DVB-S2,Fre
8551,France 24 Français,MPEG-4/SD,342.0,11554 H,tp L5,0,,,False,EClutch,5/6,30000,DVB-S2,Fre
206,Asonga TV,MPEG-4/SD,2061.0,10804 H,tp K5,0,,,False,EClutch,2/3,30000,DVB-S2,Spa
207,Global TV,MPEG-4/HD,2071.0,10804 H,tp K5,0,,,False,EClutch,2/3,30000,DVB-S2,Fre
345,Canal 2 International,MPEG-4/SD,3451.0,10804 H,tp K5,0,,https://www.lyngsat.com/providers/cm/Canal-2-International.html,True,Canal 2 International,2/3,30000,DVB-S2,Fre
,Canal 2 International,1-1,,21576 H,tp J2,,,https://www.lyngsat.com/providers/cm/Canal-2-International.html,True,Canal 2 International,3/4,3675,DVB-S2,
1,Canal 2 International,MPEG-4/HD,81.0,21576 H,tp J2,,,https://www.lyngsat.com/providers/cm/Canal-2-International.html,True,Canal 2 International,3/4,3675,DVB-S2,Fre
361,Impact TV,MPEG-4/SD,3611.0,10804 H,tp K5,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
200,Impact TV,321-103MPEG-4/SD,101.0,21562 H,tp J2,,,,False,Canal 2 International,2/3,1010,DVB-S2,Fre
470,Amen TV Sat,MPEG-4/HD,4701.0,10804 H,tp K5,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
482,Power TV,MPEG-4/SD,4821.0,10804 H,tp K5,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
601,Africa TV 3,MPEG-4/SD,6011.0,10804 H,tp K5,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Hau
629,Malikia TV,MPEG-4/SD,6291.0,10804 H,tp K5,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
633,Malikia TV,MPEG-4/SD,6331.0,12687 H,tp H5,0,,,False,Canal 2 International,3/4,30000,DVB-S2,Fre
640,Voxafrica Afrique,MPEG-4/SD,6401.0,10804 H,tp K5,0,,,False,Canal 2 International,2/3,30000,DVB-S2,
651,Eden TV,MPEG-4/SD,6511.0,10804 H,tp K5,0,,,False,Canal 2 International,2/3,30000,DVB-S2,
104,CRTV National Radio,,,10804 H,tp K5,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
106,Golfe FM Africa,,,10804 H,tp K5,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
116,RTB Radio,,,10804 H,tp K5,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
133,Alpha Blondy FM,,,10804 H,tp K5,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
373,Radio Biafra,,,10804 H,tp K5,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Eng
480,Radio Immaculée Conception,,,10804 H,tp K5,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
1000,Radio Immaculée Conception,1-1,,21564 H,tp J2,,,,False,Canal 2 International,3/4,128,DVB-S1,Fre
600,RFI Afrique,,,10804 H,tp K5,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
5457,RFI Afrique,,,10845 H,tp K7,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
660,Diaspora FM,,,10804 H,tp K5,0,,,False,Canal 2 International,2/3,30000,DVB-S2,
,Canal + Réunion,366-50100,,10845 H,tp K7,0,"Mediaguard,Viaccess",,False,Canal 2 International,2/3,30000,DVB-S2,
,Canal + Réunion,366-15000,,10887 H,tp K9,0,Mediaguard,,False,Canal 2 International,2/3,30000,DVB-S2,
,Canal + Réunion,366-50300,,11471 H,tp L1,0,"Mediaguard,Viaccess",,False,Canal 2 International,2/3,30000,DVB-S2,
,Canal + Réunion,366-50400,,11512 H,tp L3,0,"Mediaguard,Viaccess",,False,Canal 2 International,2/3,30000,DVB-S2,
,Canal + Réunion,366-50500,,11637 H,tp L9,0,Mediaguard,,False,Canal 2 International,2/3,30000,DVB-S2,
5419,Voir + Réunion,MPEG-4/SD,1910.0,10845 H,tp K7,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
5450,Top FM (Réunion),,,10845 H,tp K7,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
5451,Viva 98.8 FM,,,10845 H,tp K7,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
5452,Voltage,,,10845 H,tp K7,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
5175,Voltage,,,11471 H,tp L1,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
5453,Radio Classique,,,10845 H,tp K7,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
5454,Alliance FM 92,,,10845 H,tp K7,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
5455,BFM Business Radio,,,10845 H,tp K7,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
5456,Fun Radio Réunion,,,10845 H,tp K7,0,,,False,Canal 2 International,2/3,30000,DVB-S2,Fre
,,366-21100,,10928 H,tp A11,44-46,"Conax,Irdeto,Nagravision,Videoguard",,False,Canal 2 International,3/5,30000,DVB-S2,
,,366-30400,,11055 V,tp B4,44-46,Conax,,False,Canal 2 International,4/5,27500,DVB-S2,
,,,,21541 H,tp J2,,,,False,Canal 2 International,,,,
,,,,21554 H,tp J2,,,,False,Canal 2 International,,,,
1101,Viasat Nature East,MPEG-2/SD,1101.0,10928 H,tp A11,44-46,Conax,,False,Canal 2 International,3/5,30000,DVB-S2,Qaa Rus Hun Cze
1114,Viasat Nature East,MPEG-4/HD,2401.0,10928 H,tp A11,44-46,"Conax,Irdeto,Videoguard",,False,Canal 2 International,3/5,30000,DVB-S2,Qaa Rus Cze Hun Tur
