SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
,Neosat,3-26,,12073 H,,50.0,"Bulcrypt,Conax",,False,,2/3,30000,DVB-S2,
618.0,Radio N-Joy,,,12073 H,,50.0,,,False,,2/3,30000,DVB-S2,Bul
619.0,Radio Z-Rock,,,12073 H,,50.0,,,False,,2/3,30000,DVB-S2,Bul
620.0,Radio Veselina,,,12073 H,,50.0,,,False,,2/3,30000,DVB-S2,Bul
,Neosat,3-25,,12092 V,,50.0,"Bulcrypt,Conax",,False,,2/3,30000,DVB-S2,
597.0,Radio Veronika,,,12092 V,,50.0,,,False,,2/3,30000,DVB-S2,Bul
598.0,The Voice Bulgaria,,,12092 V,,50.0,,,False,,2/3,30000,DVB-S2,Bul
599.0,Magic FM (Bulgaria),,,12092 V,,50.0,,,False,,2/3,30000,DVB-S2,Bul
,Neosat,3-23,,12149 H,,50.0,"Bulcrypt,Conax",,False,,2/3,30000,DVB-S2,
522.0,ERT World,HEVC,1610.0,12149 H,,50.0,,,False,,2/3,30000,DVB-S2,Gre
530.0,TRT World,MPEG-4/SD,1650.0,12149 H,,50.0,,,False,,2/3,30000,DVB-S2,Eng
533.0,Freedom,MPEG-4/SD,1665.0,12149 H,,50.0,,,False,,2/3,30000,DVB-S2,Rus
534.0,Kanal 3,MPEG-4/SD,1670.0,12149 H,,50.0,,,False,,2/3,30000,DVB-S2,Bul
538.0,Radio 1 (Bulgaria),,,12149 H,,50.0,,,False,,2/3,30000,DVB-S2,Bul
,Neosat,3-24,,12169 V,,50.0,"Bulcrypt,Conax",,False,,2/3,30000,DVB-S2,
540.0,TVR International,HEVC/SD,1700.0,12169 V,,50.0,,,False,,2/3,30000,DVB-S2,Rum
546.0,Epic Drama,HEVC/HD,1730.0,12169 V,,50.0,,,False,,2/3,30000,DVB-S2,Bul
566.0,Radio 1 (Bulgaria),,,12169 V,,50.0,,,False,,2/3,30000,DVB-S2,Bul
567.0,BG Radio,,,12169 V,,50.0,,,False,,2/3,30000,DVB-S2,Bul
568.0,Eparkhiiski Glas,,,12169 V,,50.0,,,False,,2/3,30000,DVB-S2,Bul
569.0,BNR Horizont,,,12169 V,,50.0,,,False,,2/3,30000,DVB-S2,Bul
570.0,Darik Radio,,,12169 V,,50.0,,,False,,2/3,30000,DVB-S2,Bul
,Neosat,3-12,,12188 H,,50.0,"Bulcrypt,Conax",,False,,2/3,30000,DVB-S2,
,Neosat,3-21,,12207 V,,50.0,"Bulcrypt,Conax",,False,,2/3,30000,DVB-S2,
260.0,Evrokom,MPEG-4/HD,1300.0,12207 V,,50.0,,,False,,2/3,30000,DVB-S2,Bul
263.0,Fen Folk,MPEG-4/SD,1315.0,12207 V,,50.0,,,False,,2/3,30000,DVB-S2,Bul
269.0,BNT 4,MPEG-4/HD,1345.0,12207 V,,50.0,,,False,,2/3,30000,DVB-S2,Bul
275.0,The Voice TV,MPEG-4/HD,1375.0,12207 V,,50.0,,,False,,2/3,30000,DVB-S2,Bul
,Neosat,3-8,,12226 H,,50.0,"Bulcrypt,Conax",,False,,2/3,30000,DVB-S2,
,Neosat,3-16,,12303 H,,50.0,"Bulcrypt,Conax",,False,,2/3,30000,DVB-S2,
164.0,TV 1 (Bulgaria),MPEG-4/HD,820.0,12303 H,,50.0,,,False,,2/3,30000,DVB-S2,Bul
167.0,Bulgaria 24,MPEG-4/HD,835.0,12303 H,,50.0,,,False,,2/3,30000,DVB-S2,Bul
,Neosat,3-19,,12322 V,,50.0,"Bulcrypt,Conax",,False,,2/3,30000,DVB-S2,
230.0,VTK,MPEG-4/SD,1150.0,12322 V,,50.0,,,False,,2/3,30000,DVB-S2,Bul
231.0,Planeta Folk,MPEG-4/SD,1155.0,12322 V,,50.0,,,False,,2/3,30000,DVB-S2,Bul
,Neosat,3-15,,12341 H,,50.0,"Bulcrypt,Conax",,False,,2/3,30000,DVB-S2,
145.0,Balkanika Music TV,MPEG-4/HD,735.0,12341 H,,50.0,,,False,,2/3,30000,DVB-S2,Bul
,Neosat,3-14,,12360 V,,50.0,"Bulcrypt,Conax",,False,,2/3,30000,DVB-S2,
114.0,Magic TV (Bulgaria),MPEG-4/SD,570.0,12360 V,,50.0,,,False,,2/3,30000,DVB-S2,Bul
115.0,Nastoyashcheye Vremya,MPEG-4/SD,575.0,12360 V,,50.0,,,False,,2/3,30000,DVB-S2,Rus
,,,,12380 H,,50.0,,,False,,,,,
,Neosat,3-18,,12418 H,,50.0,"Bulcrypt,Conax",,False,,2/3,30000,DVB-S2,
,Neosat,2-10,,12458 H,,50.0,"Bulcrypt,Conax",,False,,2/3,30000,DVB-S2,
207.0,DW English,MPEG-4/SD,527.0,12458 H,,50.0,,,False,,2/3,30000,DVB-S2,Eng
426.0,Espreso TV,MPEG-4/SD,1935.0,12458 H,,50.0,,,False,,2/3,30000,DVB-S2,Ukr
429.0,TV Duga +,MPEG-4/SD,1956.0,12458 H,,50.0,,,False,,2/3,30000,DVB-S2,Srp
440.0,RTP Internacional Europa,MPEG-4/SD,2033.0,12458 H,,50.0,,,False,,2/3,30000,DVB-S2,Por
,Neosat,3-20,,12476 V,,50.0,"Bulcrypt,Conax",,False,,2/3,30000,DVB-S2,
242.0,Rodina,MPEG-4/HD,1210.0,12476 V,,50.0,,,False,,2/3,30000,DVB-S2,Bul
,(feeds),,,12509 H,,,,,False,,2/3,6333,DVB-S2,
,(feeds),,,12521 H,,,,,False,,3/4,7500,DVB-S2,
,(feeds),,,12538 H,,,,,False,,2/3,6333,DVB-S2,
