SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
,TDA,0-0,,12160 H,,,,https://www.lyngsat.com/providers/dz/TDA.html,True,TDA,2/3,30000,DVB-S2,
,TDA,0-0,,12160 H,,,,https://www.lyngsat.com/providers/dz/TDA.html,True,TDA,2/3,30000,DVB-S2,
,TDA,0-0,,12160 H,,,,https://www.lyngsat.com/providers/dz/TDA.html,True,TDA,2/3,30000,DVB-S2,
,TDA,,,12232 H,,,,https://www.lyngsat.com/providers/dz/TDA.html,True,TDA,3/4,15910,DVB-S1,
,TDA,,,12232 H,,,,https://www.lyngsat.com/providers/dz/TDA.html,True,TDA,3/4,15910,DVB-S1,
,TDA,,,12232 H,,,,https://www.lyngsat.com/providers/dz/TDA.html,True,TDA,3/4,15910,DVB-S1,
,TDA,,,12250 H,,,,https://www.lyngsat.com/providers/dz/TDA.html,True,TDA,3/4,12510,DVB-S1,
,TDA,,,12250 H,,,,https://www.lyngsat.com/providers/dz/TDA.html,True,TDA,3/4,12510,DVB-S1,
,TDA,,,12250 H,,,,https://www.lyngsat.com/providers/dz/TDA.html,True,TDA,3/4,12510,DVB-S1,
1.0,ENTV,MPEG-4/HD,513.0,12160 H,,,BISS,,False,TDA,2/3,30000,DVB-S2,Ara
1.0,ENTV,MPEG-2/SD,513.0,12232 H,,,BISS,,False,TDA,3/4,15910,DVB-S1,Ara
2.0,Canal Algérie 2,MPEG-4/HD,515.0,12160 H,,,,,False,TDA,2/3,30000,DVB-S2,Ara
2.0,Canal Algérie 2,MPEG-2/SD,515.0,12232 H,,,,,False,TDA,3/4,15910,DVB-S1,Ara
4.0,TV 4 Amazigh,MPEG-4/SD,517.0,12160 H,,,,,False,TDA,2/3,30000,DVB-S2,
4.0,TV 4 Amazigh,MPEG-2/SD,517.0,12232 H,,,,,False,TDA,3/4,15910,DVB-S1,
5.0,TV 5 Coran,MPEG-4/SD,516.0,12160 H,,,,,False,TDA,2/3,30000,DVB-S2,Ara
5.0,TV 5 Coran,MPEG-2/SD,516.0,12232 H,,,,,False,TDA,3/4,15910,DVB-S1,Ara
6.0,TV 6 (Algeria),MPEG-4/HD,512.0,12160 H,,,,,False,TDA,2/3,30000,DVB-S2,Ara
6.0,TV 6 (Algeria),MPEG-2/SD,512.0,12232 H,,,,,False,TDA,3/4,15910,DVB-S1,Ara
7.0,TV 7 (Algeria),MPEG-2/SD,701.0,12160 H,,,,,False,TDA,2/3,30000,DVB-S2,Ara
8.0,TV 8 (Algeria),MPEG-2/SD,801.0,12160 H,,,,,False,TDA,2/3,30000,DVB-S2,Ara
9.0,TV 9 (Algeria),MPEG-4/HD,901.0,12160 H,,,,,False,TDA,2/3,30000,DVB-S2,Ara
20.0,RASD TV,MPEG-2/SD,520.0,12160 H,,,,,False,TDA,2/3,30000,DVB-S2,Ara
25.0,Thalitha A3,MPEG-4/HD,101.0,12160 H,,,,,False,TDA,2/3,30000,DVB-S2,Ara
3.0,Thalitha A3,MPEG-2/SD,514.0,12232 H,,,,,False,TDA,3/4,15910,DVB-S1,Ara
6.0,Radio Décrochage,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,
7.0,Chaîne 2,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,Ber
8.0,Chaîne 3,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,Fre
9.0,Radio Sahel,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,Ara
10.0,Radio Ouargla,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,Ara
11.0,Radio Tamanrasset,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,Ara
12.0,Radio Béchar,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,
13.0,Radio Tlemcen,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,
14.0,Radio Adrar,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,Ara
15.0,Radio Ghardaïa,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,Ara
16.0,Radio Illizi,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,
17.0,Radio Algérie Internationale,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,Ara
18.0,Radio El Oued,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,
19.0,Radio Tindouf,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,Ara
20.0,Radio Batna,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,
21.0,Radio Jijel,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,
22.0,Radio Souk Ahras,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,Ara
23.0,Radio Laghouat,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,
24.0,Radio Naâma,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,
25.0,Chaîne 1,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,Ara
29.0,Radio Blida,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,
30.0,Radio El Tarf,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,Ara
31.0,Radio Médéa,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,
32.0,Radio Mila,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,
33.0,Radio Saïda,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,
34.0,Radio Skikda,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,
35.0,Radio Mascara,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,
36.0,Radio Guelma,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,
37.0,Radio Aïn Témouchent,,,12250 H,,,,,False,TDA,3/4,12510,DVB-S1,
