SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
,Unitel (Greece),,,3868 V,tp 9,0,BISS,https://www.lyngsat.com/providers/gr/Unitel.html,True,Unitel (Greece),3/4,6666,DVB-S6,
,Mega Cosmos,MPEG-2/SD,513.0,3868 V,tp 9,0,BISS,,False,Unitel (Greece),3/4,6666,DVB-S6,Gre
,[test card],MPEG-2/SD,514.0,3868 V,tp 9,0,,,False,Unitel (Greece),3/4,6666,DVB-S6,
,(feeds),,,3888 H,tp 9,,,,False,Unitel (Greece),3/4,3250,DVB-S3,
,Encadena TV,,256.0,3955 H,tp 12,0,,,False,Unitel (Greece),3/4,2400,DVB-S2,Spa
,Radio Chetumal,,,3955 H,tp 12,0,,,False,Unitel (Greece),3/4,2400,DVB-S2,Spa
,SQCS Canal 4,MPEG-2/SD,4194.0,3958 H,tp 12,0,,,False,Unitel (Greece),3/4,2222,DVB-S2,Spa
,Caribe FM,,,3958 H,tp 12,0,,,False,Unitel (Greece),3/4,2222,DVB-S2,Spa
,@ SkyVision,,,4068 V,tp 18,41-43,,,False,Unitel (Greece),7/8,2540,DVB-S2,
,@ Xicom,,,4083 H,tp 19,41-43,,,False,Unitel (Greece),2/3,10000,DVB-S2,
,Antenna Group,,,4176 V,tp 24,0,BISS,https://www.lyngsat.com/providers/gr/Antenna-Group.html,True,Antenna Group,3/4,4411,DVB-S4,
,Ant1 Satellite,MPEG-2/SD,516.0,4176 V,tp 24,0,BISS,,False,Antenna Group,3/4,4411,DVB-S4,Gre
,Easy 97.2,,,4176 V,tp 24,0,BISS,,False,Antenna Group,3/4,4411,DVB-S4,Gre
