SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
,TVD,1-3,,12270 V,,0,Irdeto,,False,,2/3,30000,DVB-S2,
951.0,CDTV,MPEG-4/HD,911.0,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
952.0,TV Senado (Chile),MPEG-4/HD,921.0,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
1952.0,CDTV,MPEG-4/1seg,931.0,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
2053.0,TV Senado (Chile),MPEG-4/1seg,1031.0,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
3054.0,El Conquistador FM,,,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
4054.0,El Conquistador FM Red Norte,,,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
5701.0,ADN 97.1,,,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
5702.0,Los 40 Chile,,,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
5703.0,Corazón,,,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
5704.0,Futuro,,,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
5705.0,RadioActiva,,,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
5706.0,Concierto,,,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
5707.0,FM Dos,,,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
5708.0,Rock & Pop,,,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
5709.0,Radio Imagina,,,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
5710.0,Pudahuel FM,,,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
5718.0,Radio Beethoven,,,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
5719.0,Duna 89.7,,,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
5720.0,Radio Elquina,,,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
5721.0,Radio Puclaro,,,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
5722.0,Radio Agricultura,,,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
5723.0,Radio Pauta,,,12270 V,,0,,,False,,2/3,30000,DVB-S2,Spa
,TVD,1-2,,12310 V,,0,Irdeto,,False,,2/3,30000,DVB-S2,
351.0,Telecanal,MPEG-4/HD,311.0,12310 V,,0,,,False,,2/3,30000,DVB-S2,Spa
1353.0,Telecanal,MPEG-4/1seg,331.0,12310 V,,0,,,False,,2/3,30000,DVB-S2,Spa
,TVD,1-1,,12350 V,,0,Irdeto,,False,,1/2,30000,DVB-S2,
32.0,La Red,MPEG-4/SD,49.0,12350 V,,0,,,False,,1/2,30000,DVB-S2,Spa
5701.0,ADN 97.1,,,12350 V,,0,,,False,,1/2,30000,DVB-S2,Spa
5702.0,Los 40 Chile,,,12350 V,,0,,,False,,1/2,30000,DVB-S2,Spa
