SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
,,,,3809 H,tp 6,0.0,,,False,,3/5,10890,DVB-S2,
,,,,4032 H,tp 16,0.0,PowerVu,,False,,5/6,9600,DVB-S2,
,,,,11960 V,tp 13,0.0,,,False,,,,,
,,,,11987 V,tp 15,0.0,,,False,,977,3,DVB-S3,
,,,,12060 H,tp 20,0.0,,,False,,,,,
,Imagen TV,MPEG-4/HD,33.0,3809 H,tp 6,0.0,,,False,,3/5,10890,DVB-S2,Spa
4.0,Excélsior TV,MPEG-2/SD,481.0,3809 H,tp 6,0.0,,,False,,3/5,10890,DVB-S2,Spa
1.0,TV Tabasqueña,?-?MPEG-2/HD,49.0,3861 H,tp 8,0.0,,,False,,5/6,6522,DVB-S2,Spa
1.0,Imagen Informativa,?-?MPEG-2/HD,481.0,3913 H,tp 10,0.0,,,False,,3/5,8400,DVB-S2,Spa
1.0,The CW,?-?MPEG-4/HD,162.0,4009 V,tp 15,0.0,,,False,,5/6,15000,DVB-S2,Eng
,(feeds),,,4027 V,tp 17,,,,False,,3/4,6111,DVB-S6,
,(feeds),,,11930 V,tp 11,,,,False,,640,2,DVB-S2,
,(feeds),,,11940 V,tp 11,,,,False,,640,2,DVB-S2,
496.0,CBC Toronto,MPEG-4/HD,499.0,4032 H,tp 16,0.0,PowerVu,,False,,5/6,9600,DVB-S2,Eng
1472.0,Ici Radio Canada Télé Montréal,MPEG-4/HD,1475.0,4032 H,tp 16,0.0,PowerVu,,False,,5/6,9600,DVB-S2,Fre
1776.0,Télé-Québec,MPEG-4/HD,1779.0,4032 H,tp 16,0.0,PowerVu,,False,,5/6,9600,DVB-S2,Fre
,(Warner Bros feeds),,,4064 H,tp 18,,,,False,,3/4,4166,DVB-S2,
,(CBS feeds),,,4080 V,tp 19,,,,False,,2/3,34286,DVB-S2,
,(ABC feeds),,,4120 V,tp 21,,,,False,,5/6,30000,DVB-S2,
,Televisa,,,4140 H,tp 22,0.0,Director,https://www.lyngsat.com/providers/mx/Televisa.html,True,Televisa,5/6,34286,DVB-S2,
1.0,Las Estrellas México,HEVC/HD,2001.0,4140 H,tp 22,0.0,Director,,False,Televisa,5/6,34286,DVB-S2,Spa
2.0,Canal 5,HEVC/HD,2002.0,4140 H,tp 22,0.0,Director,,False,Televisa,5/6,34286,DVB-S2,Spa
3.0,Nu9ve,HEVC/HD,2003.0,4140 H,tp 22,0.0,Director,,False,Televisa,5/6,34286,DVB-S2,Spa
4.0,Las Estrellas México +1,HEVC/HD,2004.0,4140 H,tp 22,0.0,Director,,False,Televisa,5/6,34286,DVB-S2,Spa
5.0,Las Estrellas México +2,HEVC/HD,2005.0,4140 H,tp 22,0.0,Director,,False,Televisa,5/6,34286,DVB-S2,Spa
