SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
1,TRC TV,?-?MPEG-4/HD,256.0,3712 V,tp 1,,,,False,,5/6,3000,DVB-S2,Spa
,VA+,,,3991 V,tp 15,,,https://www.lyngsat.com/providers/mx/VA-.html,True,VA+,3/4,5833,DVB-S2,
1,VA+ TV,MPEG-2/HD,49.0,3991 V,tp 15,,,,False,VA+,3/4,5833,DVB-S2,Spa
2,UAA TV,MPEG-2/SD,65.0,3991 V,tp 15,,,,False,VA+,3/4,5833,DVB-S2,Spa
3,Once niñas y niños,MPEG-2/SD,81.0,3991 V,tp 15,,,,False,VA+,3/4,5833,DVB-S2,Spa
,,,,3997 V,tp 15,,,,False,VA+,,,,
,,120-303,,4020 H,tp 16,,PowerVu,,False,VA+,5/6,30000,DVB-S2,
,,,,4060 H,tp 18,,Digicipher,,False,VA+,5/6,30000,DVB-S2,
,,,,4080 V,tp 19,,Digicipher,,False,VA+,5/6,30000,DVB-S2,
,,,,4147 V,tp 23,,,,False,VA+,5/6,7960,DVB-S2,
10,Golf Channel US,MPEG-4/HD,110.0,4020 H,tp 16,,PowerVu,,False,VA+,5/6,30000,DVB-S2,Eng Spa
13,Golf Channel US Alternate,MPEG-4/HD,410.0,4020 H,tp 16,,PowerVu,,False,VA+,5/6,30000,DVB-S2,Eng Spa
15,Universal Kids West,MPEG-4/HD,610.0,4020 H,tp 16,,PowerVu,,False,VA+,5/6,30000,DVB-S2,Eng
16,(NBC feeds),,710.0,4020 H,tp 16,,PowerVu,,False,VA+,5/6,30000,DVB-S2,
17,Telemundo Oeste,MPEG-4/SD,170.0,4020 H,tp 16,,PowerVu,,False,VA+,5/6,30000,DVB-S2,Spa
21,Telemundo Oeste,MPEG-4/HD,210.0,4140 H,tp 22,,BISS,,False,VA+,5/6,30000,DVB-S2,Spa
18,TV One (USA),MPEG-4/HD,180.0,4020 H,tp 16,,PowerVu,,False,VA+,5/6,30000,DVB-S2,Eng
31,E! West,MPEG-4/HD,310.0,4020 H,tp 16,,PowerVu,,False,VA+,5/6,30000,DVB-S2,Eng
81,Oxygen True Crime East,MPEG-4/HD,810.0,4020 H,tp 16,,,,False,VA+,5/6,30000,DVB-S2,Eng
,A Más +,?-1,,4025 V,tp 16,,,https://www.lyngsat.com/providers/mx/A-Mas--.html,True,A Más +,5/6,5000,DVB-S2,
1*,A Más +,HEVC/HD,1131.0,4025 V,tp 16,,,https://www.lyngsat.com/providers/mx/A-Mas--.html,True,A Más +,5/6,5000,DVB-S2,Spa
2,A Más +,HEVC/HD,65.0,4025 V,tp 16,,,https://www.lyngsat.com/providers/mx/A-Mas--.html,True,A Más +,5/6,5000,DVB-S2,Spa
9,A Más +,HEVC/SD,177.0,4025 V,tp 16,,,https://www.lyngsat.com/providers/mx/A-Mas--.html,True,A Más +,5/6,5000,DVB-S2,Spa
2,The Weather Channel,MPEG-4/SD,16.0,4060 H,tp 18,,Digicipher,,False,A Más +,5/6,30000,DVB-S2,Eng
8,The Weather Channel,MPEG-4/HD,336.0,4060 H,tp 18,,Digicipher,,False,A Más +,5/6,30000,DVB-S2,Eng
11,Justice Central TV,MPEG-4/HD,450.0,4060 H,tp 18,,Digicipher,,False,A Más +,5/6,30000,DVB-S2,Eng
12,Comedy TV (USA),MPEG-4/HD,500.0,4060 H,tp 18,,Digicipher,,False,A Más +,5/6,30000,DVB-S2,Eng
13,Recipe TV,MPEG-4/HD,550.0,4060 H,tp 18,,Digicipher,,False,A Más +,5/6,30000,DVB-S2,Eng
14,Cars TV,MPEG-4/HD,600.0,4060 H,tp 18,,Digicipher,,False,A Más +,5/6,30000,DVB-S2,Eng
15,Pets TV,MPEG-4/HD,650.0,4060 H,tp 18,,Digicipher,,False,A Más +,5/6,30000,DVB-S2,Eng
16,My Destination TV,MPEG-4/HD,700.0,4060 H,tp 18,,Digicipher,,False,A Más +,5/6,30000,DVB-S2,Eng
17,Es TV,MPEG-4/HD,750.0,4060 H,tp 18,,Digicipher,,False,A Más +,5/6,30000,DVB-S2,Eng
1,Discovery Channel East,MPEG-4/HD,17.0,4080 V,tp 19,,Digicipher,,False,A Más +,5/6,30000,DVB-S2,Eng
2,TLC East,MPEG-4/HD,33.0,4080 V,tp 19,,Digicipher,,False,A Más +,5/6,30000,DVB-S2,Eng
3,Destination America,MPEG-4/HD,49.0,4080 V,tp 19,,Digicipher,,False,A Más +,5/6,30000,DVB-S2,Eng
