SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
,(feeds),,,3704 H,tp 3A,,,,False,,2/3,2240,DVB-S2,
,(feeds),,,3763 H,tp 4A,,,,False,,3/4,7200,DVB-S2,
3.0,(feeds),,769.0,3872 H,tp 7A,0.0,BISS,,False,,5/6,3750,DVB-S2,
,(feeds),,,3905 V,tp 7B,,,,False,,3/4,7500,DVB-S2,
,(feeds),,,3914 V,tp 7B,,,,False,,3/4,5600,DVB-S2,
,(GMA feeds),,,3707 H,tp 3A,,,,False,,2/3,2240,DVB-S2,
,(GMA feeds),,,3710 H,tp 3A,,,,False,,2/3,2240,DVB-S2,
,GMA Network,,,3745 H,tp 4A,0.0,PowerVu,https://www.lyngsat.com/providers/ph/GMA-Network.html,True,GMA Network,3/4,4583,DVB-S2,
,GMA Network,,,3745 H,tp 4A,0.0,PowerVu,https://www.lyngsat.com/providers/ph/GMA-Network.html,True,GMA Network,3/4,4583,DVB-S2,
,GMA Network,,,3745 H,tp 4A,0.0,PowerVu,https://www.lyngsat.com/providers/ph/GMA-Network.html,True,GMA Network,3/4,4583,DVB-S2,
,GMA Network,,,3751 H,tp 4A,0.0,PowerVu,https://www.lyngsat.com/providers/ph/GMA-Network.html,True,GMA Network,2/3,4444,DVB-S2,
,GMA Network,,,3751 H,tp 4A,0.0,PowerVu,https://www.lyngsat.com/providers/ph/GMA-Network.html,True,GMA Network,2/3,4444,DVB-S2,
,GMA Network,,,3751 H,tp 4A,0.0,PowerVu,https://www.lyngsat.com/providers/ph/GMA-Network.html,True,GMA Network,2/3,4444,DVB-S2,
,GMA Network,0-700,,3847 H,tp 6A,0.0,PowerVu,https://www.lyngsat.com/providers/ph/GMA-Network.html,True,GMA Network,3/4,8000,DVB-S2,
,GMA Network,0-700,,3847 H,tp 6A,0.0,PowerVu,https://www.lyngsat.com/providers/ph/GMA-Network.html,True,GMA Network,3/4,8000,DVB-S2,
,GMA Network,0-700,,3847 H,tp 6A,0.0,PowerVu,https://www.lyngsat.com/providers/ph/GMA-Network.html,True,GMA Network,3/4,8000,DVB-S2,
12.0,GMA TV,MPEG-4/SD,110.0,3745 H,tp 4A,0.0,PowerVu,,False,GMA Network,3/4,4583,DVB-S2,Tgl
96.0,GMA TV,MPEG-4/SD,463.0,3847 H,tp 6A,0.0,PowerVu,,False,GMA Network,3/4,8000,DVB-S2,Tgl
112.0,GMA TV,MPEG-4/1seg,3187.0,3847 H,tp 6A,0.0,PowerVu,,False,GMA Network,3/4,8000,DVB-S2,Tgl
14.0,GTV (Philippines),MPEG-4/SD,210.0,3745 H,tp 4A,0.0,PowerVu,,False,GMA Network,3/4,4583,DVB-S2,Tgl
97.0,GTV (Philippines),MPEG-4/SD,479.0,3847 H,tp 6A,0.0,PowerVu,,False,GMA Network,3/4,8000,DVB-S2,Tgl
1.0,GMA Life TV,MPEG-4/SD,1160.0,3751 H,tp 4A,0.0,PowerVu,,False,GMA Network,2/3,4444,DVB-S2,Tgl
2.0,GMA Pinoy TV USA & Canada,MPEG-4/SD,1260.0,3751 H,tp 4A,0.0,PowerVu,,False,GMA Network,2/3,4444,DVB-S2,Tgl
9.0,GMA News TV,MPEG-4/SD,1460.0,3751 H,tp 4A,0.0,PowerVu,,False,GMA Network,2/3,4444,DVB-S2,Tgl
7.0,DZBB 594 Super Radyo,,,3751 H,tp 4A,0.0,PowerVu,,False,GMA Network,2/3,4444,DVB-S2,Tgl
100.0,Barangay LS 97.1,,,3751 H,tp 4A,0.0,PowerVu,,False,GMA Network,2/3,4444,DVB-S2,Tgl
,(GMA TV feeds),,,3768 H,tp 4A,,,,False,GMA Network,2/3,1600,DVB-S2,
,(GMA TV feeds),,,3774 H,tp 4A,,,,False,GMA Network,2/3,4800,DVB-S2,
1.0,SMNI News Channel,?-?MPEG-4/SD,33.0,3824 H,tp 6A,0.0,,,False,GMA Network,3/4,3333,DVB-S2,Tgl
36.0,SMNI,8192-4096MPEG-4/SD,512.0,3827 H,tp 6A,0.0,,,False,GMA Network,3/4,1660,DVB-S2,Tgl
54.0,DZAR Sonshine Radio 1026,,,3827 H,tp 6A,0.0,,,False,GMA Network,3/4,1660,DVB-S2,
,,,,3831 H,tp 6A,0.0,,,False,GMA Network,3/4,5000,DVB-S2,
,,,,3884 H,tp 7A,0.0,,,False,GMA Network,,,,
,,,,4020 V,tp 10B,0.0,,,False,GMA Network,,,,
1.0,INC TV,MPEG-4/HD,611.0,3831 H,tp 6A,0.0,,,False,GMA Network,3/4,5000,DVB-S2,Tgl
2.0,Net 25,MPEG-4/HD,711.0,3831 H,tp 6A,0.0,,,False,GMA Network,3/4,5000,DVB-S2,Tgl
3.0,INC Radio DZEM 954,,,3831 H,tp 6A,0.0,,,False,GMA Network,3/4,5000,DVB-S2,
6.0,Radyo Agila,,,3831 H,tp 6A,0.0,,,False,GMA Network,3/4,5000,DVB-S2,Tgl
7.0,Eagle FM,,,3831 H,tp 6A,0.0,,,False,GMA Network,3/4,5000,DVB-S2,
,Solar Entertainment,0-1,,3835 H,tp 6A,0.0,VisionCrypt,https://www.lyngsat.com/providers/ph/Solar-Entertainment.html,True,Solar Entertainment,3/4,2500,DVB-S2,
,Solar Entertainment,0-1,,3835 H,tp 6A,0.0,VisionCrypt,https://www.lyngsat.com/providers/ph/Solar-Entertainment.html,True,Solar Entertainment,3/4,2500,DVB-S2,
,Solar Entertainment,,,3867 H,tp 7A,0.0,PowerVu,https://www.lyngsat.com/providers/ph/Solar-Entertainment.html,True,Solar Entertainment,3/4,3750,DVB-S2,
,Solar Entertainment,,,3867 H,tp 7A,0.0,PowerVu,https://www.lyngsat.com/providers/ph/Solar-Entertainment.html,True,Solar Entertainment,3/4,3750,DVB-S2,
1.0,Jungo Pinoy,MPEG-4/SD,310.0,3835 H,tp 6A,0.0,VisionCrypt,,False,Solar Entertainment,3/4,2500,DVB-S2,Tgl
4.0,Scream Flix,MPEG-4/SD,710.0,3835 H,tp 6A,0.0,VisionCrypt,,False,Solar Entertainment,3/4,2500,DVB-S2,Eng
98.0,Heart of Asia,MPEG-4/SD,1744.0,3847 H,tp 6A,0.0,PowerVu,,False,Solar Entertainment,3/4,8000,DVB-S2,Tgl
101.0,Hallypop,MPEG-4/SD,1760.0,3847 H,tp 6A,0.0,PowerVu,,False,Solar Entertainment,3/4,8000,DVB-S2,Eng
102.0,I Heart Movies,MPEG-4/SD,1776.0,3847 H,tp 6A,0.0,PowerVu,,False,Solar Entertainment,3/4,8000,DVB-S2,Tgl
103.0,Pinoy Hits,MPEG-4/SD,1792.0,3847 H,tp 6A,0.0,PowerVu,,False,Solar Entertainment,3/4,8000,DVB-S2,Tgl
1.0,IBC 13,?-?MPEG-4/SD,210.0,3856 H,tp 6A,0.0,,,False,Solar Entertainment,2/3,2500,DVB-S2,Tgl
