SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
,American Forces Network,,,3753 R,tp NH1C,,"PowerVu,Verimatrix",https://www.lyngsat.com/providers/us/American-Forces-Network.html,True,American Forces Network,2/3,30000,DVB-S2,
2.0,AFN Prime Atlantic,MPEG-4/HD,1260.0,3753 R,tp NH1C,,"PowerVu,Verimatrix",,False,American Forces Network,2/3,30000,DVB-S2,Eng
3.0,AFN News,MPEG-4/HD,1560.0,3753 R,tp NH1C,,"PowerVu,Verimatrix",,False,American Forces Network,2/3,30000,DVB-S2,Eng
4.0,AFN Sports,MPEG-4/HD,1160.0,3753 R,tp NH1C,,"PowerVu,Verimatrix",,False,American Forces Network,2/3,30000,DVB-S2,Eng
5.0,AFN Prime Pacific,MPEG-4/HD,1460.0,3753 R,tp NH1C,,"PowerVu,Verimatrix",,False,American Forces Network,2/3,30000,DVB-S2,Eng
6.0,AFN Spectrum,MPEG-4/HD,1360.0,3753 R,tp NH1C,,"PowerVu,Verimatrix",,False,American Forces Network,2/3,30000,DVB-S2,Eng
7.0,AFN Sports 2,MPEG-4/HD,1660.0,3753 R,tp NH1C,,"PowerVu,Verimatrix",,False,American Forces Network,2/3,30000,DVB-S2,Eng
8.0,AFN Family,MPEG-4/HD,1960.0,3753 R,tp NH1C,,"PowerVu,Verimatrix",,False,American Forces Network,2/3,30000,DVB-S2,Eng
9.0,AFN Movie,MPEG-4/HD,1060.0,3753 R,tp NH1C,,"PowerVu,Verimatrix",,False,American Forces Network,2/3,30000,DVB-S2,Eng
401.0,AFN Guide,MPEG-2/SD,1760.0,3753 R,tp NH1C,,"PowerVu,Verimatrix",,False,American Forces Network,2/3,30000,DVB-S2,Eng
402.0,[test card],MPEG-4/SD,1860.0,3753 R,tp NH1C,,,,False,American Forces Network,2/3,30000,DVB-S2,
20.0,AFN The Eagle Japan,,,3753 R,tp NH1C,,"PowerVu,Verimatrix",,False,American Forces Network,2/3,30000,DVB-S2,Eng
21.0,AFN The Voice,,,3753 R,tp NH1C,,"PowerVu,Verimatrix",,False,American Forces Network,2/3,30000,DVB-S2,Eng
22.0,AFN PowerTalk,,,3753 R,tp NH1C,,"PowerVu,Verimatrix",,False,American Forces Network,2/3,30000,DVB-S2,Eng
23.0,AFN Clutch,,,3753 R,tp NH1C,,"PowerVu,Verimatrix",,False,American Forces Network,2/3,30000,DVB-S2,Eng
24.0,AFN Fans,,,3753 R,tp NH1C,,"PowerVu,Verimatrix",,False,American Forces Network,2/3,30000,DVB-S2,Eng
25.0,AFN The Blend,,,3753 R,tp NH1C,,"PowerVu,Verimatrix",,False,American Forces Network,2/3,30000,DVB-S2,Eng
26.0,AFN Legacy,,,3753 R,tp NH1C,,"PowerVu,Verimatrix",,False,American Forces Network,2/3,30000,DVB-S2,Eng
