SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
1.0,LNTV 1,4660-1MPEG-4/SD,257.0,3410 V,,0,,,False,,3/4,3200,DVB-S2,Lao
2.0,Lao National Radio 567 AM,,,3410 V,,0,,,False,,3/4,3200,DVB-S2,Lao
2.0,Lao National Radio FM 1,,,3410 V,,0,,,False,,3/4,3200,DVB-S2,Lao
1.0,LNTV 3,65535-1MPEG-4/HD,33.0,3414 V,,0,,,False,,3/4,3200,DVB-S2,Lao
257.0,BTV Business,?-?MPEG-4/SD,256.0,3419 V,,0,,,False,,2/3,1200,DVB-S2,Nep
1.0,Sagarmatha TV,65535-1MPEG-4/SD,101.0,3424 V,,0,,,False,,3/4,1500,DVB-S2,Nep
1003.0,ABC News (Nepal),0-0MPEG-4/HD,36.0,3427 V,,0,,,False,,2/3,4800,DVB-S2,Nep
1.0,Prime TV (Nepal),?-?MPEG-4/HD,33.0,3432 V,,0,,,False,,3/4,2400,DVB-S2,Nep
,Nepalese mux,,,3437 V,,0,,,False,,3/4,5600,DVB-S2,
1000.0,Mountain TV (Nepal),MPEG-4/HD,1001.0,3437 V,,0,,,False,,3/4,5600,DVB-S2,Nep
2000.0,Business Plus (Nepal),MPEG-4/HD,2001.0,3437 V,,0,,,False,,3/4,5600,DVB-S2,Nep
3000.0,Bhakti Darshan TV,MPEG-4/HD,3001.0,3437 V,,0,,,False,,3/4,5600,DVB-S2,Nep
1.0,Lao Star,?-?MPEG-4/HD,300.0,3446 V,,0,,,False,,3/4,3600,DVB-S2,Lao
1.0,Lao Public Security TV,?-?MPEG-4/SD,513.0,3478 V,,0,,,False,,2/3,3200,DVB-S2,Lao
3.0,Lao Security Radio,,,3478 V,,0,,,False,,2/3,3200,DVB-S2,Lao
,MWD Digital TV,1-1,,3576 V,tp 5B,0,,https://www.lyngsat.com/providers/mm/MWD-Digital-TV.html,True,MWD Digital TV,2/3,21600,DVB-S2,
1.0,MWD Variety,MPEG-4/HD,49.0,3576 V,tp 5B,0,,,False,MWD Digital TV,2/3,21600,DVB-S2,Bur
2.0,TVM (Myanmar),MPEG-4/HD,65.0,3576 V,tp 5B,0,,,False,MWD Digital TV,2/3,21600,DVB-S2,Bur
3.0,MWD Education Knowledge & Sports,MPEG-4/HD,81.0,3576 V,tp 5B,0,,,False,MWD Digital TV,2/3,21600,DVB-S2,Bur
4.0,MWD,MPEG-4/HD,97.0,3576 V,tp 5B,0,,,False,MWD Digital TV,2/3,21600,DVB-S2,Bur
1.0,MWD,8192-4096MPEG-4/HD,512.0,3591 V,tp 5B,0,,,False,MWD Digital TV,3/5,3200,DVB-S2,Bur
