SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
,Metra TV,,,12316 H,,,,https://www.lyngsat.com/providers/id/Metra-TV.html,True,Metra TV,3/4,7500,DVB-S2,
1.0,TVRI Nasional,MPEG-4/SD,580.0,12316 H,,,,,False,Metra TV,3/4,7500,DVB-S2,Ind
2.0,Metro TV (Indonesia),MPEG-4/SD,581.0,12316 H,,,,,False,Metra TV,3/4,7500,DVB-S2,Ind
3.0,Usee Prime,MPEG-4/SD,582.0,12316 H,,,,,False,Metra TV,3/4,7500,DVB-S2,Ind
4.0,Ruang Trampil,MPEG-4/SD,583.0,12316 H,,,,,False,Metra TV,3/4,7500,DVB-S2,Ind
5.0,Indonesiana TV,MPEG-4/HD,584.0,12316 H,,,,,False,Metra TV,3/4,7500,DVB-S2,Ind
8.0,Indonesiana TV,MPEG-4/HD,504.0,12316 H,,,,,False,Metra TV,3/4,7500,DVB-S2,Ind
6.0,Usee Photo,MPEG-4/SD,410.0,12316 H,,,,,False,Metra TV,3/4,7500,DVB-S2,Ind
7.0,IndiHome Shopping,MPEG-4/SD,510.0,12316 H,,,,,False,Metra TV,3/4,7500,DVB-S2,Ind
,Transvision,,,12560 H,,,Irdeto,,False,Metra TV,3/5,10000,DVB-S2,
