SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
,MySat,,,11003 H,,,,https://www.lyngsat.com/providers/au/MySat.html,True,MySat,2/3,28800,DVB-S2,
1.0,Rai Italia Australia,MPEG-4/SD,412.0,11003 H,,,,,False,MySat,2/3,28800,DVB-S2,Ita
4.0,Mediaset Italia,MPEG-4/SD,427.0,11003 H,,,,,False,MySat,2/3,28800,DVB-S2,Ita
15.0,Alpha Sat,MPEG-4/SD,457.0,11003 H,,,,,False,MySat,2/3,28800,DVB-S2,Gre
16.0,ERT World,MPEG-4/SD,462.0,11003 H,,,,,False,MySat,2/3,28800,DVB-S2,Gre
18.0,Ant1 Pacific,MPEG-4/SD,442.0,11003 H,,,,,False,MySat,2/3,28800,DVB-S2,Gre
19.0,Greek Cinema,MPEG-4/SD,447.0,11003 H,,,,,False,MySat,2/3,28800,DVB-S2,Gre
20.0,SportPlus (Greece),MPEG-4/SD,452.0,11003 H,,,,,False,MySat,2/3,28800,DVB-S2,Gre
140.0,Al Jadeed,MPEG-4/SD,516.0,11003 H,,,,,False,MySat,2/3,28800,DVB-S2,Ara
197.0,LBC International,MPEG-4/SD,525.0,11003 H,,,,,False,MySat,2/3,28800,DVB-S2,Ara
204.0,NourSat,MPEG-4/SD,530.0,11003 H,,,,,False,MySat,2/3,28800,DVB-S2,Ara
206.0,MBC Maser,MPEG-4/SD,532.0,11003 H,,,,,False,MySat,2/3,28800,DVB-S2,Ara
300.0,MTV (Lebanon),MPEG-4/SD,302.0,11003 H,,,,,False,MySat,2/3,28800,DVB-S2,Ara
389.0,Aljazeera Channel,MPEG-4/SD,562.0,11003 H,,,,,False,MySat,2/3,28800,DVB-S2,Ara
,(feeds),,,11061 H,,,,,False,MySat,5/6,7500,DVB-S2,
,(feeds),,,11061 V,,,,,False,MySat,5/6,7500,DVB-S2,
,(feeds),,,11078 H,,,,,False,MySat,500,8,DVB-S2,
,(feeds),,,11079 V,,,,,False,MySat,500,27,DVB-S2,
,(feeds),,,11087 H,,,,,False,MySat,500,8,DVB-S2,
,(feeds),,,11131 V,,,,,False,MySat,500,8,DVB-S2,
,(feeds),,,11251 V,,,,,False,MySat,000,230,DVB-S2,
,(feeds),,,11274 H,,,,,False,MySat,5/6,7500,DVB-S2,
,(feeds),,,11283 H,,,,,False,MySat,5/6,7500,DVB-S2,
,(feeds),,,11292 H,,,,,False,MySat,5/6,7500,DVB-S2,
,(feeds),,,11301 H,,,,,False,MySat,3/4,7500,DVB-S2,
,(feeds),,,11340 H,,,,,False,MySat,3/4,7500,DVB-S2,
,(feeds),,,12274 H,,,,,False,MySat,5/6,7500,DVB-S2,
