SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
1000,Himalaya TV,?-?MPEG-4/HD,1001.0,3639 H,tp 1H,36-40,,,False,,3/4,2915,DVB-S2,Nep
,Sahara Samay,,,3652 V,tp 1V,36-40,,https://www.lyngsat.com/providers/in/Sahara-Samay.html,True,Sahara Samay,3/4,14100,DVB-S1,
1,Sahara One,MPEG-2/SD,512.0,3652 V,tp 1V,36-40,,,False,Sahara Samay,3/4,14100,DVB-S1,Hin
2,Samay National,MPEG-2/SD,513.0,3652 V,tp 1V,36-40,,,False,Sahara Samay,3/4,14100,DVB-S1,Hin
3,Samay Rajasthan,MPEG-2/SD,514.0,3652 V,tp 1V,36-40,,,False,Sahara Samay,3/4,14100,DVB-S1,Hin
4,Samay Maharashtra/Gujarat,MPEG-2/SD,515.0,3652 V,tp 1V,36-40,,,False,Sahara Samay,3/4,14100,DVB-S1,Hin
5,Samay UP/Uttarakhand,MPEG-2/SD,516.0,3652 V,tp 1V,36-40,,,False,Sahara Samay,3/4,14100,DVB-S1,Hin
6,Samay Bihar/Jharkhand,MPEG-2/SD,517.0,3652 V,tp 1V,36-40,,,False,Sahara Samay,3/4,14100,DVB-S1,Hin
7,Aalami Samay,MPEG-2/SD,518.0,3652 V,tp 1V,36-40,,,False,Sahara Samay,3/4,14100,DVB-S1,Urd
8,Samay MP/Chhattisgarh,MPEG-2/SD,519.0,3652 V,tp 1V,36-40,,,False,Sahara Samay,3/4,14100,DVB-S1,Hin
9,Filmy,MPEG-2/SD,520.0,3652 V,tp 1V,36-40,,,False,Sahara Samay,3/4,14100,DVB-S1,Hin
12,Firangi,MPEG-2/SD,523.0,3652 V,tp 1V,36-40,,,False,Sahara Samay,3/4,14100,DVB-S1,
,,,,3656 H,tp 1H,36-40,,,False,Sahara Samay,,,,
,,,,3663 V,tp 1V,36-40,,,False,Sahara Samay,3/4,3333,DVB-S2,
,,,,3709 V,tp 2V,36-40,Irdeto,,False,Sahara Samay,3/4,15000,DVB-S2,
