SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
,RSCC,,,3595 R,,39.7-41.7,,https://www.lyngsat.com/providers/ru/RSCC.html,True,RSCC,m 1,,DVB-S2,
,RSCC,,,3595 R,,39.7-41.7,,https://www.lyngsat.com/providers/ru/RSCC.html,True,RSCC,m 1,,DVB-S2,
,RSCC,1-13,,3875 R,tp 10,,,https://www.lyngsat.com/providers/ru/RSCC.html,True,RSCC,1/2,11121,DVB-S2,
,RSCC,1-13,,3875 R,tp 10,,,https://www.lyngsat.com/providers/ru/RSCC.html,True,RSCC,1/2,11121,DVB-S2,
1.0,NTV Mir,MPEG-4/SD,201.0,3595 R,,39.7-41.7,,,False,RSCC,m 1,,DVB-S2,Rus
12.0,Sputnik International,,,3595 R,,39.7-41.7,,,False,RSCC,m 1,,DVB-S2,
13.0,Sputnik International,,,3595 R,,39.7-41.7,,,False,RSCC,m 1,,DVB-S2,
14.0,Sputnik International,,,3595 R,,39.7-41.7,,,False,RSCC,m 1,,DVB-S2,
15.0,Sputnik International,,,3595 R,,39.7-41.7,,,False,RSCC,m 1,,DVB-S2,
16.0,Sputnik International,,,3595 R,,39.7-41.7,,,False,RSCC,m 1,,DVB-S2,
17.0,Sputnik International,,,3595 R,,39.7-41.7,,,False,RSCC,m 1,,DVB-S2,
18.0,Sputnik International,,,3595 R,,39.7-41.7,,,False,RSCC,m 1,,DVB-S2,
19.0,Sputnik International,,,3595 R,,39.7-41.7,,,False,RSCC,m 1,,DVB-S2,
20.0,Sputnik International,,,3595 R,,39.7-41.7,,,False,RSCC,m 1,,DVB-S2,
,Russkiy Mir,,,3595 R,,39.7-41.7,DRECrypt,https://www.lyngsat.com/providers/ru/Russkiy-Mir.html,True,Russkiy Mir,m 2,,DVB-S2,
2801.0,Pervyy Respublikanskiy,MPEG-4/SD,1211.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2802.0,1 Krim,MPEG-4/SD,1221.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2803.0,Oplot TV,MPEG-4/SD,1231.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2804.0,Sevastopolskaya TV,MPEG-4/SD,1241.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2805.0,Telekanal Union,MPEG-4/SD,1251.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2806.0,Lugansk 24,MPEG-4/SD,1261.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2807.0,Dom Kino,MPEG-4/SD,1271.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2808.0,Pobeda,MPEG-4/SD,1281.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2809.0,Za! TV,MPEG-4/SD,1291.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2810.0,Krim 24,MPEG-4/SD,1301.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2811.0,Tavria,MPEG-4/SD,1311.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2812.0,Semeynoe Kino,MPEG-4/SD,1321.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2813.0,Krepkoe Kino,MPEG-4/SD,1331.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2814.0,Mirovoy Serial,MPEG-4/SD,1341.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2815.0,Nashe Rodnoe Kino,MPEG-4/SD,1351.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2816.0,Mujskoy Serial,MPEG-4/SD,1361.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2817.0,Romantic Serial,MPEG-4/SD,1371.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2818.0,Planeta Deti,MPEG-4/SD,1381.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2819.0,Nashe Detstvo,MPEG-4/SD,1391.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2820.0,Sovetskoe Rodnoe,MPEG-4/SD,1401.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
2821.0,Kino+,MPEG-4/SD,1441.0,3595 R,,39.7-41.7,DRECrypt,,False,Russkiy Mir,m 2,,DVB-S2,Rus
,,?-1,,3808 R,tp 9,39.7-41.7,,,False,Russkiy Mir,5/6,2500,DVB-S2,
,,,,4087 R,,39.7-41.7,,,False,Russkiy Mir,3/4,4490,DVB-S2,
