SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
,Kazakh mux,,,11472 V,tp 8,,Digicipher,,False,,5/6,29270,Digici,
,KTK,,101.0,11472 V,tp 8,,Digicipher,,False,,5/6,29270,Digici,Rus
,Perviy kanal Eurasia,,102.0,11472 V,tp 8,,Digicipher,,False,,5/6,29270,Digici,Rus
,31 Kanal,,103.0,11472 V,tp 8,,Digicipher,,False,,5/6,29270,Digici,Kaz
,NTK,,104.0,11472 V,tp 8,,Digicipher,,False,,5/6,29270,Digici,Kaz
,Qazaqstan,,106.0,11472 V,tp 8,,Digicipher,,False,,5/6,29270,Digici,Kaz
,Balapan,,107.0,11472 V,tp 8,,Digicipher,,False,,5/6,29270,Digici,Kaz
,Khabar,,108.0,11472 V,tp 8,,Digicipher,,False,,5/6,29270,Digici,Kaz
,Khabar 24,,109.0,11472 V,tp 8,,Digicipher,,False,,5/6,29270,Digici,Kaz
,Astana TV,,110.0,11472 V,tp 8,,Digicipher,,False,,5/6,29270,Digici,Kaz
,7 Kanal (Kazakhstan),,111.0,11472 V,tp 8,,Digicipher,,False,,5/6,29270,Digici,Kaz
,Kazakh mux,,,11494 V,tp 9,,"Irdeto,Videoguard",,False,,8/9,5600,DVB-S2,
101.0,KTK,MPEG-4/SD,257.0,11494 V,tp 9,,"Irdeto,Videoguard",,False,,8/9,5600,DVB-S2,Rus
102.0,Perviy kanal Eurasia,MPEG-4/SD,273.0,11494 V,tp 9,,"Irdeto,Videoguard",,False,,8/9,5600,DVB-S2,Rus
103.0,Mir,MPEG-4/SD,289.0,11494 V,tp 9,,"Irdeto,Videoguard",,False,,8/9,5600,DVB-S2,Rus
104.0,31 Kanal,MPEG-4/SD,305.0,11494 V,tp 9,,"Irdeto,Videoguard",,False,,8/9,5600,DVB-S2,Kaz
108.0,Almaty TV,MPEG-4/SD,369.0,11494 V,tp 9,,"Irdeto,Videoguard",,False,,8/9,5600,DVB-S2,Kaz
,Kazakh mux,,,11503 V,tp 9,,"Irdeto,Videoguard",,False,,8/9,9400,DVB-S2,
