SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
,Trikolor,254-1,,11727 L,tp 1,0,"Exset,DRECrypt,DREGuard",,False,,3/4,27500,DVB-S2,
,Trikolor,254-3,,11766 L,tp 3,0,"Exset,DREGuard",,False,,3/4,27500,DVB-S2,
,Trikolor,254-5,,11804 L,tp 5,0,"Exset,DRECrypt,DREGuard",,False,,3/4,27500,DVB-S2,
,Trikolor,254-7,,11843 L,tp 7,0,"Exset,DRECrypt,DREGuard",,False,,3/4,27500,DVB-S2,
,Trikolor,254-9,,11881 L,tp 9,0,"Exset,DRECrypt,DREGuard",,False,,3/4,27500,DVB-S2,
,Trikolor,254-11,,11919 L,tp 11,0,"Exset,DRECrypt,DREGuard",,False,,3/4,27500,DVB-S2,
,Trikolor,254-13,,11958 L,tp 13,0,"Exset,DRECrypt,DREGuard",,False,,3/4,27500,DVB-S2,
,Trikolor,254-15,,11996 L,tp 15,0,"Exset,DRECrypt,DREGuard",,False,,3/4,27500,DVB-S2,
,Trikolor,254-17,,12034 L,tp 17,0,"Exset,DRECrypt,DREGuard",,False,,3/4,27500,DVB-S2,
,Trikolor,254-19,,12073 L,tp 19,0,"Exset,DRECrypt,DREGuard",,False,,3/4,27500,DVB-S2,
,Trikolor,254-21,,12111 L,tp 21,0,"Exset,DRECrypt,DREGuard",,False,,3/4,27500,DVB-S2,
,Trikolor,254-23,,12149 L,tp 23,0,"Exset,DRECrypt,DREGuard",,False,,3/4,27500,DVB-S2,
,Trikolor,254-25,,12188 L,tp 25,0,"Exset,DRECrypt,DREGuard",,False,,3/4,27500,DVB-S2,
,Trikolor,254-27,,12226 L,tp 27,0,"Exset,DREGuard",,False,,3/4,27500,DVB-S2,
,Trikolor,254-29,,12265 L,tp 29,0,"Exset,DRECrypt,DREGuard",,False,,3/4,27500,DVB-S2,
,Trikolor,254-31,,12303 L,tp 31,0,"Exset,DRECrypt,DREGuard",,False,,3/4,27500,DVB-S2,
,Trikolor,254-33,,12341 L,tp 33,0,"Exset,DRECrypt,DREGuard",,False,,3/4,27500,DVB-S2,
,Trikolor,,,12380 L,tp 35,0,"Exset,DRECrypt,DREGuard",,False,,3/4,27500,DVB-S2,
,Trikolor,254-37,,12418 L,tp 37,0,"Exset,DRECrypt,DREGuard",,False,,3/4,27500,DVB-S2,
