Sattelite,Provider,Country
NSS-9,American Forces Network,us
Intelsat-18,American Forces Network,us
Intelsat-18,Anuvu,us
Intelsat-18,France TV,fr
Eutelsat-172B,Walesi,fj
Eutelsat-172B,ABC NT,au
Eutelsat-172B,ABC WA,au
Eutelsat-172B,ABC Queensland,au
Eutelsat-172B,SBS WA,au
Eutelsat-172B,SBS Queensland,au
Horizons-3e,MySat,au
Intelsat-19,Warner Bros. Discovery,us
Intelsat-19,Paramount International Networks,us
Intelsat-19,ABS-CBN,ph
Intelsat-19,China Radio International,cn
Intelsat-19,Intelsat,lu
Intelsat-19,NHK World Network,jp
Intelsat-19,Pasifika TV,nz
Intelsat-19,BBC World Service,uk
Intelsat-19,Nine Entertainment,au
Intelsat-19,EXRN Radio Network,us
Intelsat-19,Telstra Broadcast Services,au
Optus-D2,ABC Sydney,au
Optus-D2,ABC Melbourne,au
Optus-D2,Freeview,nz
Optus-D2,ABC NSW,au
Optus-D2,ABC SA,au
Optus-D2,ABC NT,au
Optus-D2,ABC WA,au
Optus-D2,ABC Victoria,au
Optus-D2,ABC Queensland,au
Optus-D2,SBS Victoria,au
Optus-D2,SBS WA,au
Optus-D2,SBS Tasmania,au
Optus-D2,SBS NSW,au
Optus-D2,SBS Queensland,au
Optus-D2,SBS SA,au
BRIsat,Bricast,--
Nusantara-Satu,PSN,id
Express-AMU7,RTRS 1,ru
Express-AMU7,RTRS,ru
Express-AMU7,RTRS 2,ru
Express-AM5,Arktik Telekom,ru
Telstar-18-Vantage,GMA Network,ph
Telstar-18-Vantage,Solar Entertainment,ph
Telstar-18-Vantage,Zoe Broadcasting Network,ph
Telstar-18-Vantage,Viva Entertainment,ph
Telstar-18-Vantage,People's TV,ph
Telstar-18-Vantage,SpeedCast,hk
Telstar-18-Vantage,TV 5 Network,ph
Telstar-18-Vantage,Great Wall,cn
Telstar-18-Vantage,APT,hk
Apstar-6C,VTV,vn
Apstar-6C,CCTV,cn
Apstar-6C,China National Radio,cn
Apstar-6C,CEN TV,cn
Vinasat-2,HTVC,vn
LaoSat-1,MWD Digital TV,mm
LaoSat-1,LaoSat,la
ChinaSat-6D,CCTV,cn
ChinaSat-6D,Shanghai Media Group,cn
ChinaSat-6D,Xizang TV,cn
ChinaSat-6D,Xinjiang TV,cn
JCSAT-4B,Sky PerfecTV!,jp
AsiaSat-9,Chunghwa Telecom,tw
AsiaSat-9,AsiaSat,hk
AsiaSat-9,Sydney Teleport Services,au
AsiaSat-9,MySat,au
Thaicom-4,Aora TV Satelit,id
Bangabandhu-1,Bangladesh Betar,bd
Bangabandhu-1,Bangladesh TV,bd
Bangabandhu-1,Sony Pictures Networks India,us
Bangabandhu-1,Zee Network,in
Telkom-3S,Metra TV,id
Koreasat-6,KBS,kr
ChinaSat-6E,CGTN,cn
ChinaSat-6E,Shanghai Media Group,cn
ChinaSat-6E,CCTV,cn
ChinaSat-6E,Sichuan TV,cn
ChinaSat-6E,JSBC,cn
ChinaSat-6E,CETV,cn
ChinaSat-6E,Nei Monggol TV,cn
ChinaSat-6E,China National Radio,--
Koreasat-5,CGN TV,kr
Koreasat-5A,American Forces Network,us
Koreasat-5A,MediaCan,kr
SES-9,Club TV,ph
SES-9,InTech,id
Telkom-4,Telkomsat,id
Telkom-4,KG Media,id
Telkom-4,InTech,id
Telkom-4,Rodja TV,id
Telkom-4,Viva,id
Telkom-4,Surau TV,id
Telkom-4,TransMedia,id
Telkom-4,TVRI,id
Telkom-4,RRI,id
Telkom-4,RTTL,tl
Telkom-4,Emtek,id
Telkom-4,MNC Media,id
Telkom-4,Indosat Ooredoo Hutchison,id
Telkom-4,GMN,tl
Telkom-4,Media Group,id
AsiaSat-7,Sahara Samay,in
AsiaSat-7,Shanghai Media Group,cn
AsiaSat-7,ABP,in
AsiaSat-7,Nepal TV,np
AsiaSat-7,SS Creative Solutions,ae
AsiaSat-7,Turner International Asia,us
AsiaSat-7,ARY Digital Network,pk
AsiaSat-7,AsiaSat,hk
AsiaSat-7,Phoenix New Media,hk
AsiaSat-7,Sony Pictures Networks India,us
Express-AMU3,RTRS Yakutia,ru
Express-AMU3,RTRS 1,ru
Express-AMU3,RTRS,ru
Express-AMU3,RTRS Vladivostok,ru
Express-AMU3,RTRS Khabarovsk,ru
Express-AMU3,RTRS 2,ru
Express-AMU3,RTRS Blagoveshchensk,ru
Express-AMU3,RTRS Chita,ru
Express-AMU3,RSCC,ru
ChinaSat-9B,CCTV,--
AsiaSat-5,Macau Satellite TV,mo
AsiaSat-5,EBU,ch
AsiaSat-5,AsiaSat,hk
AsiaSat-5,STAR TV,hk
AsiaSat-5,Globecast,fr
AsiaSat-5,BBC World Service,uk
AsiaSat-5,SETN,tw
AsiaSat-5,TVBS News,tw
G-Sat-9,BBS,bt
Express-103,RSCC,ru
Express-103,Russkiy Mir,ru
SES-12,Freesat,lk
G-Sat-15,E-Vidya,in
G-Sat-15,DD Free Dish,in
G-Sat-15,VANDE Gujarat,in
G-Sat-15,Swayam Prabha,in
G-Sat-15,Digi Shala,in
G-Sat-17,DD Meghalaya,in
G-Sat-17,DD Mizoram,in
G-Sat-17,DD Assam,in
G-Sat-17,DD Assamese,in
G-Sat-17,Doordarshan,in
G-Sat-17,DD Bangla,in
G-Sat-17,DD Tamil,in
G-Sat-17,DD Malayalam,in
G-Sat-17,DD Punjabi,in
G-Sat-17,DD Girnar,in
G-Sat-17,DD Odia,in
G-Sat-17,DD Himachal Pradesh,in
G-Sat-17,ITV Network,in
G-Sat-17,DD Rajasthan,in
G-Sat-17,DD Madhya Pradesh,in
G-Sat-17,DD Uttar Pradesh,in
ChinaSat-9,CCTV,cn
Measat-3d,RTM Sabah,my
Measat-3d,RTM Sarawak,my
Measat-3d,RTM,my
Measat-3d,Manila Broadcasting Company,ph
Measat-3d,Globecast,fr
Measat-3d,KC Global Media Entertainment,us
Measat-3a,Encompass,us
Measat-3a,Planetcast,in
Measat-3a,IKO MG,it
Measat-3a,Astro,my
Yamal-401,RTRS 1,ru
Yamal-401,RTRS,ru
Yamal-401,Gazprom Space Systems,ru
Yamal-401,RTRS Krasnoyarsk,ru
Yamal-401,RTRS Tomsk,ru
Yamal-401,RTRS 2,ru
Yamal-401,RTRS Novosibirsk,ru
Yamal-401,RTRS Hakasiya,ru
Yamal-401,RTRS Altai,ru
Yamal-401,RTRS Omsk,ru
Yamal-401,RTRS Gornij Altai,ru
Yamal-401,RTRS Tyva,ru
Yamal-401,RTRS Irkutsk,ru
Yamal-401,RTRS Kuzbass,ru
Yamal-401,RTRS Ulan-Ude,ru
Yamal-401,RuSat,ru
Yamal-401,Kuzbass 1,ru
ST-2,Chunghwa Telecom,tw
ST-2,TAS,tw
ST-2,NER Taipei,tw
ChinaSat-12,Voice of Strait,cn
ChinaSat-12,Raj TV Network,in
G-Sat-10,Gyandarshan 1,in
G-Sat-10,Kanak Teleport,in
G-Sat-10,Doordarshan,in
G-Sat-10,AIR,in
G-Sat-10,AIR Vijayawada,in
G-Sat-30,ETV Network,in
G-Sat-30,Indiasign,in
G-Sat-30,SVBC,in
G-Sat-30,Planetcast,in
G-Sat-30,Kasthuri TV,in
G-Sat-30,Mega TV Network,in
G-Sat-30,Vanitha TV,in
G-Sat-30,Brahmaputra Tele Productions,in
G-Sat-30,Mh One TV Network,in
G-Sat-30,Zee Network,in
G-Sat-30,Lamhas,in
G-Sat-30,Sun 18 Media Services,in
G-Sat-30,BBS,bt
G-Sat-30,Manorama News,in
Thaicom-6,MRTV,mm
Thaicom-6,Thaicom,th
