Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,,UAU!TV,,1-2,,6.4,Videoguard,Anonymous231019,10975 H,tp 2K,,Videoguard,https://www.lyngsat.com/providers/ao/UAUTV.html,,
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,1,TPA 1,,MPEG-4/SD,1001,100. Por,,,10975 H,tp 2K,,,,TPA 1,https://www.lyngsat.com/tvchannels/ao/TPA-1.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,2,TPA 2,,MPEG-4/SD,1011,1012 Por,Videoguard,,10975 H,tp 2K,,Videoguard,,TPA 2,https://www.lyngsat.com/tvchannels/ao/TPA-2.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,3,RTP África,,MPEG-4/SD,1021,1022 Por,Videoguard,,10975 H,tp 2K,,Videoguard,,RTP África,https://www.lyngsat.com/tvchannels/pt/RTP-Africa.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,3,RTP África,,MPEG-4/SD,1021,1022 Por,Videoguard,,10975 H,tp 2K,,Videoguard,,RTP África,https://www.lyngsat.com/tvchannels/pt/RTP-Africa.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,4,RTP Internacional Europa,,MPEG-4/SD,1031,1032 Por,Videoguard,,10975 H,tp 2K,,Videoguard,,RTP Internacional Europa,https://www.lyngsat.com/tvchannels/pt/RTP-Internacional-Europa.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,4,RTP Internacional Europa,,MPEG-4/SD,1031,1032 Por,Videoguard,,10975 H,tp 2K,,Videoguard,,RTP Internacional Europa,https://www.lyngsat.com/tvchannels/pt/RTP-Internacional-Europa.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,5,Record TV Europa,,MPEG-4/SD,1041,1042 Por,Videoguard,,10975 H,tp 2K,,Videoguard,,Record TV Europa,https://www.lyngsat.com/tvchannels/br/Record-TV-Europa.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,6,Band Internacional,,MPEG-4/SD,1051,1052 Por,Videoguard,,10975 H,tp 2K,,Videoguard,,Band Internacional,https://www.lyngsat.com/tvchannels/br/Band-Internacional.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,7,TV Zimbo,,MPEG-4/SD,1061,1062 Por,Videoguard,,10975 H,tp 2K,,Videoguard,,TV Zimbo,https://www.lyngsat.com/tvchannels/ao/TV-Zimbo.html
