Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
10992 VWest,DVB-S22203/4,1,Türksat promo,,65281-1MPEG-2/SD,1001,5.51002,,DX BozóthN Stanislav231127,10992 V,,,,,,
11515 HMENA51,DVB-S28PSK300002/3,50450,Türksat promo,,MPEG-4/HD,5450,5650 Tur,,,11515 H,,51,,,,
11037 HWest,DVB-S28PSK25005/6,,(feeds),,,,,,DX Bozóth231103,11037 H,,,,,,
11041 HWest,DVB-S28PSK25005/6,,(feeds),,,,,,DX Bozóth231104,11041 H,,,,,,
11041 VWest,DVB-S28PSK24905/6,,(feeds),,,,,,DX Bozóth240124,11041 V,,,,,,
11046 HWest,DVB-S28PSK25005/6,,(feeds),,,,,,DX Bozóth231104,11046 H,,,,,,
11048 VWest,DVB-S28PSK100003/4,,(feeds),,,,,,RoliN Stanislav230430,11048 V,,,,,,
11066 HWest,DVB-S28PSK75005/6,,(feeds),,,,,,Roli240323,11066 H,,,,,,
11067 VWest,DVB-S28PSK100003/4,,(feeds),,,,,,N Stanislav230416,11067 V,,,,,,
11072 HWest,DVB-S28PSK25005/6,,(feeds),,,,,,Roli240323,11072 H,,,,,,
11503 V,,,,,,,,,N Stanislav240202,11503 V,,,,,,
11508 V,,,,,,,,,N Stanislav240202,11508 V,,,,,,
11514 V,,,,,,,,,N Stanislav240202,11514 V,,,,,,
11525 V,,,,,,,,,N Stanislav240202,11525 V,,,,,,
11572 V,,,,,,,,,N Stanislav240202,11572 V,,,,,,
11600 V,,,,,,,,,N Stanislav240202,11600 V,,,,,,
11603 V,,,,,,,,,N Stanislav240202,11603 V,,,,,,
11618 H,,,,,,,,,N Stanislav240202,11618 H,,,,,,
11515 HMENA51,DVB-S28PSK300002/3,,Türksat,,,,6.6,,N Stanislav230905,11515 H,,51,,https://www.lyngsat.com/providers/tr/Turksat.html,,
11515 HMENA51,DVB-S28PSK300002/3,50451,TRT Arabi,,MPEG-4/HD,5451,5651 Ara,,,11515 H,,51,,,TRT Arabi,https://www.lyngsat.com/tvchannels/tr/TRT-Arabi.html
11515 HMENA51,DVB-S28PSK300002/3,50451,TRT Arabi,,MPEG-4/HD,5451,5651 Ara,,,11515 H,,51,,,TRT Arabi,https://www.lyngsat.com/tvchannels/tr/TRT-Arabi.html
11515 HMENA51,DVB-S28PSK300002/3,50452,TRT World,,MPEG-4/HD,5452,5652 Eng,,,11515 H,,51,,,TRT World,https://www.lyngsat.com/tvchannels/tr/TRT-World.html
11515 HMENA51,DVB-S28PSK300002/3,50452,TRT World,,MPEG-4/HD,5452,5652 Eng,,,11515 H,,51,,,TRT World,https://www.lyngsat.com/tvchannels/tr/TRT-World.html
11515 HMENA51,DVB-S28PSK300002/3,50453,Alkarma TV Middle East,,MPEG-4/SD,5453,5653 Ara,,,11515 H,,51,,,Alkarma TV Middle East,https://www.lyngsat.com/tvchannels/us/Alkarma-TV-Middle-East.html
11515 HMENA51,DVB-S28PSK300002/3,50453,Alkarma TV Middle East,,MPEG-4/SD,5453,5653 Ara,,,11515 H,,51,,,Alkarma TV Middle East,https://www.lyngsat.com/tvchannels/us/Alkarma-TV-Middle-East.html
