Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,,IRIB,,1-3,,9.4,,N Stanislav231209,11881 H,tp 9G,0,,https://www.lyngsat.com/providers/ir/IRIB.html,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,,IRIB,,1-3,,9.4,,N Stanislav231209,11881 H,tp 9G,0,,https://www.lyngsat.com/providers/ir/IRIB.html,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,,IRIB,,1-3,,9.4,,N Stanislav231209,11881 H,tp 9G,0,,https://www.lyngsat.com/providers/ir/IRIB.html,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,,IRIB,,1-3,,9.4,,N Stanislav231209,11881 H,tp 9G,0,,https://www.lyngsat.com/providers/ir/IRIB.html,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,,IRIB,,1-3,,9.4,,N Stanislav231209,11881 H,tp 9G,0,,https://www.lyngsat.com/providers/ir/IRIB.html,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,,IRIB,,1-3,,9.4,,N Stanislav231209,11881 H,tp 9G,0,,https://www.lyngsat.com/providers/ir/IRIB.html,,
11900 Vtp 10GCentral Asia0,DVB-S275003/4,,IRIB,,1-300,,5.5,,D Shimoni240108,11900 V,tp 10G,0,,https://www.lyngsat.com/providers/ir/IRIB.html,,
11900 Vtp 10GCentral Asia0,DVB-S275003/4,,IRIB,,1-300,,5.5,,D Shimoni240108,11900 V,tp 10G,0,,https://www.lyngsat.com/providers/ir/IRIB.html,,
11900 Vtp 10GCentral Asia0,DVB-S275003/4,,IRIB,,1-300,,5.5,,D Shimoni240108,11900 V,tp 10G,0,,https://www.lyngsat.com/providers/ir/IRIB.html,,
11900 Vtp 10GCentral Asia0,DVB-S275003/4,,IRIB,,1-300,,5.5,,D Shimoni240108,11900 V,tp 10G,0,,https://www.lyngsat.com/providers/ir/IRIB.html,,
11900 Vtp 10GCentral Asia0,DVB-S275003/4,,IRIB,,1-300,,5.5,,D Shimoni240108,11900 V,tp 10G,0,,https://www.lyngsat.com/providers/ir/IRIB.html,,
11900 Vtp 10GCentral Asia0,DVB-S275003/4,,IRIB,,1-300,,5.5,,D Shimoni240108,11900 V,tp 10G,0,,https://www.lyngsat.com/providers/ir/IRIB.html,,
12265 Htp 29CACentral Asia0,DVB-S28PSK300003/4,,IRIB,,?-700,,7.9,,N Stanislav231209,12265 H,tp 29CA,0,,https://www.lyngsat.com/providers/ir/IRIB.html,,
