Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
10721 Htp A1Europe B52,DVB-S220003/4,,IVG,,100-20000,,5.5,,M Al-TaieT Viererbe240321,10721 H,tp A1,52,,https://www.lyngsat.com/providers/tr/IVG.html,,
10721 Htp A1Europe B52,DVB-S220003/4,1,BBC Persian,,MPEG-2/SD,101,.02 Per,,,10721 H,tp A1,52,,,BBC Persian,https://www.lyngsat.com/tvchannels/uk/BBC-Persian.html
10721 Htp A1Europe B52,DVB-S220003/4,1,BBC Persian,,MPEG-2/SD,101,.02 Per,,,10721 H,tp A1,52,,,BBC Persian,https://www.lyngsat.com/tvchannels/uk/BBC-Persian.html
10721 Htp A1Europe B52,DVB-S220003/4,2,Simay-Azadi Iran National TV,,MPEG-2/SD,201,202 Per,,,10721 H,tp A1,52,,,Simay-Azadi Iran National TV,https://www.lyngsat.com/tvchannels/uk/Simay-Azadi-Iran-National-TV.html
10721 Htp A1Europe B52,DVB-S220003/4,2,Simay-Azadi Iran National TV,,MPEG-2/SD,201,202 Per,,,10721 H,tp A1,52,,,Simay-Azadi Iran National TV,https://www.lyngsat.com/tvchannels/uk/Simay-Azadi-Iran-National-TV.html
12633 Htp F3Europe A47-48,DVB-S28PSK37503/4,1,Simay-Azadi Iran National TV,,0-0MPEG-4/HD,512,7.94112 Per,BISS 1,Marcel 2240123,12633 H,tp F3,47-48,BISS 1,,Simay-Azadi Iran National TV,https://www.lyngsat.com/tvchannels/uk/Simay-Azadi-Iran-National-TV.html
12633 Htp F3Europe A47-48,DVB-S28PSK37503/4,1,Simay-Azadi Iran National TV,,0-0MPEG-4/HD,512,7.94112 Per,BISS 1,Marcel 2240123,12633 H,tp F3,47-48,BISS 1,,Simay-Azadi Iran National TV,https://www.lyngsat.com/tvchannels/uk/Simay-Azadi-Iran-National-TV.html
10721 Htp A1Europe B52,DVB-S220003/4,9002,Channel One TV,,MPEG-4/HD,921,922 Per,,,10721 H,tp A1,52,,,Channel One TV,https://www.lyngsat.com/tvchannels/us/Channel-One-TV.html
10721 Htp A1Europe B52,DVB-S220003/4,9002,Channel One TV,,MPEG-4/HD,921,922 Per,,,10721 H,tp A1,52,,,Channel One TV,https://www.lyngsat.com/tvchannels/us/Channel-One-TV.html
10721 Htp A1Europe B52,DVB-S220003/4,9008,Channel One TV,,MPEG-2/SD,981,982 Per,,,10721 H,tp A1,52,,,Channel One TV,https://www.lyngsat.com/tvchannels/us/Channel-One-TV.html
10721 Htp A1Europe B52,DVB-S220003/4,9008,Channel One TV,,MPEG-2/SD,981,982 Per,,,10721 H,tp A1,52,,,Channel One TV,https://www.lyngsat.com/tvchannels/us/Channel-One-TV.html
10721 Htp A1Europe B52,DVB-S220003/4,9006,Pars TV,,MPEG-4/SD,961,962 Per,,,10721 H,tp A1,52,,,Pars TV,https://www.lyngsat.com/tvchannels/us/Pars-TV.html
10721 Htp A1Europe B52,DVB-S220003/4,9006,Pars TV,,MPEG-4/SD,961,962 Per,,,10721 H,tp A1,52,,,Pars TV,https://www.lyngsat.com/tvchannels/us/Pars-TV.html
10721 Htp K1Africa0,DVB-S28PSK300002/3,,Eutelsat,,126-10100,,6.6,BISS 1,Anonymous240301,10721 H,tp K1,0,BISS 1,https://www.lyngsat.com/providers/fr/Eutelsat.html,,
10721 Htp K1Africa0,DVB-S28PSK300002/3,,Eutelsat,,126-10100,,6.6,BISS 1,Anonymous240301,10721 H,tp K1,0,BISS 1,https://www.lyngsat.com/providers/fr/Eutelsat.html,,
10721 Htp K1Africa0,DVB-S28PSK300002/3,,Eutelsat,,126-10100,,6.6,BISS 1,Anonymous240301,10721 H,tp K1,0,BISS 1,https://www.lyngsat.com/providers/fr/Eutelsat.html,,
10887 Htp K9Africa0,DVB-S28PSK300002/3,,Eutelsat,,126-10900,,6.6,,Anonymous240315,10887 H,tp K9,0,,https://www.lyngsat.com/providers/fr/Eutelsat.html,,
10887 Htp K9Africa0,DVB-S28PSK300002/3,,Eutelsat,,126-10900,,6.6,,Anonymous240315,10887 H,tp K9,0,,https://www.lyngsat.com/providers/fr/Eutelsat.html,,
