Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,,Nilesat,,2048-22,,6.5,,R Cervi240307,12054 V,tp 18,,,https://www.lyngsat.com/providers/eg/Nilesat.html,,
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,,Nilesat,,2048-22,,6.5,,R Cervi240307,12054 V,tp 18,,,https://www.lyngsat.com/providers/eg/Nilesat.html,,
13575 HMiddle East & North Africa Extended49,DVB-S275005/6,,Nilesat,,,,6.5,,N Stanislav230522,13575 H,,49,,https://www.lyngsat.com/providers/eg/Nilesat.html,,
13575 HMiddle East & North Africa Extended49,DVB-S275005/6,,Nilesat,,,,6.5,,N Stanislav230522,13575 H,,49,,https://www.lyngsat.com/providers/eg/Nilesat.html,,
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2201,Al Shams TV,,MPEG-2/SD,2101,2111 Ara,,,12054 V,tp 18,,,,Al Shams TV,https://www.lyngsat.com/tvchannels/eg/Al-Shams-TV.html
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2202,Oscar TV,,MPEG-2/SD,2102,2122 Ara,,,12054 V,tp 18,,,,Oscar TV,https://www.lyngsat.com/tvchannels/--/Oscar-TV.html
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2203,Al Joumhouriyah TV,,MPEG-4/HD,2105,2104 Ara,,new,12054 V,tp 18,,,,Al Joumhouriyah TV,https://www.lyngsat.com/tvchannels/ye/Al-Joumhouriyah-TV.html
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2204,Al Masriyah,,MPEG-4/HD,2010,2004 Ara,,,12054 V,tp 18,,,,Al Masriyah,https://www.lyngsat.com/tvchannels/eg/Al-Masriyah.html
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2204,Al Masriyah,,MPEG-4/HD,2010,2004 Ara,,,12054 V,tp 18,,,,Al Masriyah,https://www.lyngsat.com/tvchannels/eg/Al-Masriyah.html
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2205,Nile TV International,,MPEG-2/SD,2116,2117,,,12054 V,tp 18,,,,Nile TV International,https://www.lyngsat.com/tvchannels/eg/Nile-TV-International.html
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2205,Nile TV International,,MPEG-2/SD,2116,2117,,,12054 V,tp 18,,,,Nile TV International,https://www.lyngsat.com/tvchannels/eg/Nile-TV-International.html
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2206,ERTU 2,,MPEG-2/SD,2118,2119 Ara,,,12054 V,tp 18,,,,ERTU 2,https://www.lyngsat.com/tvchannels/eg/ERTU-2.html
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2206,ERTU 2,,MPEG-2/SD,2118,2119 Ara,,,12054 V,tp 18,,,,ERTU 2,https://www.lyngsat.com/tvchannels/eg/ERTU-2.html
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2207,PNC Drama,,MPEG-2/SD,2012,2013 Ara,,,12054 V,tp 18,,,,PNC Drama,https://www.lyngsat.com/tvchannels/eg/PNC-Drama.html
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2208,PNC Drama 2,,MPEG-2/SD,2016,2017 Eng,,,12054 V,tp 18,,,,PNC Drama 2,https://www.lyngsat.com/tvchannels/eg/PNC-Drama-2.html
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2209,PNC Film,,MPEG-2/SD,2018,2019 Ara,,,12054 V,tp 18,,,,PNC Film,https://www.lyngsat.com/tvchannels/eg/PNC-Film.html
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2210,PNC Food,,MPEG-2/SD,2106,2107 Ara,,,12054 V,tp 18,,,,PNC Food,https://www.lyngsat.com/tvchannels/eg/PNC-Food.html
12054 Vtp 18Middle East & North Africa Standard,DVB-S275005/6,2212,Elnas TV,,MPEG-2/SD,2112,2113 Ara,,,12054 V,tp 18,,,,Elnas TV,https://www.lyngsat.com/tvchannels/eg/Elnas-TV.html
