Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
10983 Htp 8Pan America0,DVB-S2QPSK450004/5,,TuVes HD,,,,4.7,Verimatrix (B)StreamGuard,C de Berazategui230530,10983 H,tp 8,0,"Verimatrix (B),StreamGuard",,,
11733 Htp 12Pan America0,DVB-S2QPSK450004/5,,TuVes HD,,,,4.7,Verimatrix (B)StreamGuard,C de Berazategui231014,11733 H,tp 12,0,"Verimatrix (B),StreamGuard",,,
11795 Htp 13Pan America0,DVB-S2QPSK450004/5,,TuVes HD,,,,4.7,Verimatrix (B)StreamGuard,C de Berazategui240225,11795 H,tp 13,0,"Verimatrix (B),StreamGuard",,,
11857 Htp 14Pan America0,DVB-S2QPSK450004/5,,TuVes HD,,?-1,,4.7,Verimatrix (B)IrdetoStreamGuard,O Ponce240104,11857 H,tp 14,0,"Verimatrix (B),Irdeto,StreamGuard",,,
11919 Htp 15Pan America0,DVB-S2QPSK45000,,TuVes HD,,,,,Verimatrix (B)IrdetoStreamGuard,C de Berazategui231014,11919 H,tp 15,0,"Verimatrix (B),Irdeto,StreamGuard",,,
10983 Htp 8Pan America0,DVB-S2QPSK450004/5,9990,[Avalpa test card],,MPEG-4/SD,1501,1502,,,10983 H,tp 8,0,,,,
11026 Htp 9Pan America0,DVB-S125001/2,,Voice of America,,,,2.7,,C de Berazategui220712,11026 H,tp 9,0,,https://www.lyngsat.com/providers/us/Voice-of-America.html,,
11026 Htp 9Pan America0,DVB-S125001/2,340,VoA TV Global,,MPEG-4/HD,100,101 Eng,,,11026 H,tp 9,0,,,VoA TV Global,https://www.lyngsat.com/tvchannels/us/VoA-TV-Global.html
11026 Htp 9Pan America0,DVB-S125001/2,350,TV Martí,,MPEG-4/HD,110,111 Spa,,,11026 H,tp 9,0,,,TV Martí,https://www.lyngsat.com/tvchannels/us/TV-Marti.html
11026 Htp 9Pan America0,DVB-S125001/2,350,TV Martí,,MPEG-4/HD,110,111 Spa,,,11026 H,tp 9,0,,,TV Martí,https://www.lyngsat.com/tvchannels/us/TV-Marti.html
11026 Htp 9Pan America0,DVB-S125001/2,300,Voz de América,,,,121 Spa,,,11026 H,tp 9,0,,,Voz de América,https://www.lyngsat.com/radiochannels/us/Voz-de-America.html
11026 Htp 9Pan America0,DVB-S125001/2,301,VoA 1,,,,122 Eng,,,11026 H,tp 9,0,,,VoA 1,https://www.lyngsat.com/radiochannels/us/VoA-1.html
11026 Htp 9Pan America0,DVB-S125001/2,301,VoA 1,,,,122 Eng,,,11026 H,tp 9,0,,,VoA 1,https://www.lyngsat.com/radiochannels/us/VoA-1.html
11026 Htp 9Pan America0,DVB-S125001/2,302,VoA 1,,,,123 Eng,,,11026 H,tp 9,0,,,VoA 1,https://www.lyngsat.com/radiochannels/us/VoA-1.html
11026 Htp 9Pan America0,DVB-S125001/2,302,VoA 1,,,,123 Eng,,,11026 H,tp 9,0,,,VoA 1,https://www.lyngsat.com/radiochannels/us/VoA-1.html
11026 Htp 9Pan America0,DVB-S125001/2,303,Radio Martí,,,,124 Spa,,,11026 H,tp 9,0,,,Radio Martí,https://www.lyngsat.com/radiochannels/us/Radio-Marti.html
11026 Htp 9Pan America0,DVB-S125001/2,303,Radio Martí,,,,124 Spa,,,11026 H,tp 9,0,,,Radio Martí,https://www.lyngsat.com/radiochannels/us/Radio-Marti.html
11026 Htp 9Pan America0,DVB-S125001/2,304,VoA Global Live,,,,125 Eng,,,11026 H,tp 9,0,,,VoA Global Live,https://www.lyngsat.com/radiochannels/us/VoA-Global-Live.html
11043 VNorth Sea,DVB-S2QPSK441009/10,,Freeview,,,,6.4,BISS,EnoSatLexzie240124,11043 V,,,BISS,https://www.lyngsat.com/providers/uk/Freeview.html,,
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC One North East & Cumbria,,MPEG-2/SD,101,102 Eng,BISS,,11043 V,,,BISS,,BBC One North East & Cumbria,https://www.lyngsat.com/tvchannels/uk/BBC-One-North-East-and-Cumbria.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC One North East & Cumbria,,MPEG-2/SD,101,102 Eng,BISS,,11043 V,,,BISS,,BBC One North East & Cumbria,https://www.lyngsat.com/tvchannels/uk/BBC-One-North-East-and-Cumbria.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC One North East & Cumbria,,MPEG-4/HD,6601,6602 Eng,BISS,,11043 V,,,BISS,,BBC One North East & Cumbria,https://www.lyngsat.com/tvchannels/uk/BBC-One-North-East-and-Cumbria.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC One North East & Cumbria,,MPEG-4/HD,6601,6602 Eng,BISS,,11043 V,,,BISS,,BBC One North East & Cumbria,https://www.lyngsat.com/tvchannels/uk/BBC-One-North-East-and-Cumbria.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Two,,MPEG-2/SD,201,202 Eng,BISS,,11043 V,,,BISS,,BBC Two,https://www.lyngsat.com/tvchannels/uk/BBC-Two.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Two,,MPEG-2/SD,201,202 Eng,BISS,,11043 V,,,BISS,,BBC Two,https://www.lyngsat.com/tvchannels/uk/BBC-Two.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Two,,MPEG-4/HD,6101,6102 Eng,BISS,,11043 V,,,BISS,,BBC Two,https://www.lyngsat.com/tvchannels/uk/BBC-Two.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Two,,MPEG-4/HD,6101,6102 Eng,BISS,,11043 V,,,BISS,,BBC Two,https://www.lyngsat.com/tvchannels/uk/BBC-Two.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,CBBC (07-19),,MPEG-2/SD,301,302 Eng,BISS,,11043 V,,,BISS,,CBBC (07-19),https://www.lyngsat.com/tvchannels/uk/CBBC.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,CBBC (07-19),,MPEG-2/SD,301,302 Eng,BISS,,11043 V,,,BISS,,CBBC (07-19),https://www.lyngsat.com/tvchannels/uk/CBBC.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,CBBC (07-19),,MPEG-4/HD,7001,7002 Eng,BISS,,11043 V,,,BISS,,CBBC (07-19),https://www.lyngsat.com/tvchannels/uk/CBBC.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,CBBC (07-19),,MPEG-4/HD,7001,7002 Eng,BISS,,11043 V,,,BISS,,CBBC (07-19),https://www.lyngsat.com/tvchannels/uk/CBBC.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Three (19-04),,MPEG-2/SD,301,302 Eng,BISS,,11043 V,,,BISS,,BBC Three (19-04),https://www.lyngsat.com/tvchannels/uk/BBC-Three.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Three (19-04),,MPEG-2/SD,301,302 Eng,BISS,,11043 V,,,BISS,,BBC Three (19-04),https://www.lyngsat.com/tvchannels/uk/BBC-Three.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Three (19-04),,MPEG-4/HD,7001,70.2 Eng,BISS,,11043 V,,,BISS,,BBC Three (19-04),https://www.lyngsat.com/tvchannels/uk/BBC-Three.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Three (19-04),,MPEG-4/HD,7001,70.2 Eng,BISS,,11043 V,,,BISS,,BBC Three (19-04),https://www.lyngsat.com/tvchannels/uk/BBC-Three.html
