Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,,,6.6,,Edinho fta230705,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,,,6.6,,Edinho fta230705,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,,,6.6,,Edinho fta230705,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,,,6.6,,Edinho fta230705,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,MPEG-4/1seg,101,102 Por,,,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,MPEG-4/1seg,101,102 Por,,,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,MPEG-4/1seg,101,102 Por,,,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,MPEG-4/1seg,101,102 Por,,,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,MPEG-4/HD,1001,1002 Por,,,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,MPEG-4/HD,1001,1002 Por,,,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,MPEG-4/HD,1001,1002 Por,,,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html
4104 Htp 11ANCSouth America,DVB-S28PSK50002/3,,TV Paranaíba,,MPEG-4/HD,1001,1002 Por,,,4104 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Paranaiba.html,TV Paranaíba,https://www.lyngsat.com/tvchannels/br/TV-Paranaiba.html
4110 Htp 11ANCSouth America,DVB-S28PSK47803/4,,TV Guararapes,,,,7.9,,Edinho fta230705,4110 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Guararapes.html,TV Guararapes,https://www.lyngsat.com/tvchannels/br/TV-Guararapes.html
4110 Htp 11ANCSouth America,DVB-S28PSK47803/4,,TV Guararapes,,,,7.9,,Edinho fta230705,4110 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Guararapes.html,TV Guararapes,https://www.lyngsat.com/tvchannels/br/TV-Guararapes.html
4110 Htp 11ANCSouth America,DVB-S28PSK47803/4,,TV Guararapes,,MPEG-4/HD,273,274 Por,,,4110 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Guararapes.html,TV Guararapes,https://www.lyngsat.com/tvchannels/br/TV-Guararapes.html
4110 Htp 11ANCSouth America,DVB-S28PSK47803/4,,TV Guararapes,,MPEG-4/HD,273,274 Por,,,4110 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Guararapes.html,TV Guararapes,https://www.lyngsat.com/tvchannels/br/TV-Guararapes.html
4110 Htp 11ANCSouth America,DVB-S28PSK47803/4,,TV Guararapes,,MPEG-4/1seg,641,643 Por,,,4110 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Guararapes.html,TV Guararapes,https://www.lyngsat.com/tvchannels/br/TV-Guararapes.html
