Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
12188 Ltp 25Ku0,DVB-S28PSK275003/4,,,,,,7.9,,N Stanislav230107,12188 L,tp 25,0,,,,
12188 Ltp 25Ku0,DVB-S28PSK275003/4,17,Novoe Radio,,,,336 Rus,,,12188 L,tp 25,0,,,Novoe Radio,https://www.lyngsat.com/radiochannels/ru/Novoe-Radio.html
12188 Ltp 25Ku0,DVB-S28PSK275003/4,17,Novoe Radio,,,,336 Rus,,,12188 L,tp 25,0,,,Novoe Radio,https://www.lyngsat.com/radiochannels/ru/Novoe-Radio.html
12188 Ltp 25Ku0,DVB-S28PSK275003/4,18,Nashe Radio (+4h),,,,337 Rus,,,12188 L,tp 25,0,,,Nashe Radio (+4h),https://www.lyngsat.com/radiochannels/ru/Nashe-Radio.html
12188 Ltp 25Ku0,DVB-S28PSK275003/4,18,Nashe Radio (+4h),,,,337 Rus,,,12188 L,tp 25,0,,,Nashe Radio (+4h),https://www.lyngsat.com/radiochannels/ru/Nashe-Radio.html
12188 Ltp 25Ku0,DVB-S28PSK275003/4,21,Love Radio (Russia),,,,340 Rus,,,12188 L,tp 25,0,,,Love Radio (Russia),https://www.lyngsat.com/radiochannels/ru/Love-Radio.html
12188 Ltp 25Ku0,DVB-S28PSK275003/4,21,Love Radio (Russia),,,,340 Rus,,,12188 L,tp 25,0,,,Love Radio (Russia),https://www.lyngsat.com/radiochannels/ru/Love-Radio.html
12188 Ltp 25Ku0,DVB-S28PSK275003/4,21,Love Radio (Russia),,,,340 Rus,,,12188 L,tp 25,0,,,Love Radio (Russia),https://www.lyngsat.com/radiochannels/ru/Love-Radio.html
12188 Ltp 25Ku0,DVB-S28PSK275003/4,21,Love Radio (Russia),,,,340 Rus,,,12188 L,tp 25,0,,,Love Radio (Russia),https://www.lyngsat.com/radiochannels/ru/Love-Radio.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56758,Love Radio (Russia),,,,2181 Rus,,,12380 L,tp 35,0,,,Love Radio (Russia),https://www.lyngsat.com/radiochannels/ru/Love-Radio.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56758,Love Radio (Russia),,,,2181 Rus,,,12380 L,tp 35,0,,,Love Radio (Russia),https://www.lyngsat.com/radiochannels/ru/Love-Radio.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56758,Love Radio (Russia),,,,2181 Rus,,,12380 L,tp 35,0,,,Love Radio (Russia),https://www.lyngsat.com/radiochannels/ru/Love-Radio.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56758,Love Radio (Russia),,,,2181 Rus,,,12380 L,tp 35,0,,,Love Radio (Russia),https://www.lyngsat.com/radiochannels/ru/Love-Radio.html
12245 Rtp 28Ku0,DVB-S28PSK275003/4,,NTV Plus Dalniy Vostok,,,,7.9,CompunicateViaccess,N Stanislav240218,12245 R,tp 28,0,"Compunicate,Viaccess",,,
12303 Ltp 31Ku0,DVB-S28PSK275003/4,,NTV Plus Dalniy Vostok,,,,7.9,CompunicateViaccess,N Stanislav231226,12303 L,tp 31,0,"Compunicate,Viaccess",,,
12322 Rtp 32Ku0,DVB-S28PSK275003/4,,NTV Plus Dalniy Vostok,,,,7.9,CompunicateViaccess,N Stanislav231026,12322 R,tp 32,0,"Compunicate,Viaccess",,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,,NTV Plus Dalniy Vostok,,,,7.9,CompunicateViaccess,N Stanislav240111,12380 L,tp 35,0,"Compunicate,Viaccess",,,
12399 Rtp 36Ku0,DVB-S28PSK275003/4,,NTV Plus Dalniy Vostok,,,,7.9,CompunicateViaccess,N Stanislav221026,12399 R,tp 36,0,"Compunicate,Viaccess",,,
12476 Rtp 40Ku0,DVB-S28PSK275003/4,,NTV Plus Dalniy Vostok,,,,7.9,CompunicateViaccess,N Stanislav220206,12476 R,tp 40,0,"Compunicate,Viaccess",,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56741,Humor FM,,,,2011 Rus,,,12380 L,tp 35,0,,,Humor FM,https://www.lyngsat.com/radiochannels/ru/Humor-FM.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56741,Humor FM,,,,2011 Rus,,,12380 L,tp 35,0,,,Humor FM,https://www.lyngsat.com/radiochannels/ru/Humor-FM.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56743,Radio Romantika,,,,2031 Rus,,,12380 L,tp 35,0,,,Radio Romantika,https://www.lyngsat.com/radiochannels/ru/Radio-Romantika.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56743,Radio Romantika,,,,2031 Rus,,,12380 L,tp 35,0,,,Radio Romantika,https://www.lyngsat.com/radiochannels/ru/Radio-Romantika.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56744,Avtoradio,,,,2041 Rus,,,12380 L,tp 35,0,,,Avtoradio,https://www.lyngsat.com/radiochannels/ru/Avtoradio.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56745,Radio Vanya,,,,2051 Rus,,,12380 L,tp 35,0,,,Radio Vanya,https://www.lyngsat.com/radiochannels/ru/Radio-Vanya.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56745,Radio Vanya,,,,2051 Rus,,,12380 L,tp 35,0,,,Radio Vanya,https://www.lyngsat.com/radiochannels/ru/Radio-Vanya.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56746,NRJ Russia,,,,2061 Rus,,,12380 L,tp 35,0,,,NRJ Russia,https://www.lyngsat.com/radiochannels/fr/NRJ-Russia.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56746,NRJ Russia,,,,2061 Rus,,,12380 L,tp 35,0,,,NRJ Russia,https://www.lyngsat.com/radiochannels/fr/NRJ-Russia.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56747,DFM,,,,2071 Rus,,,12380 L,tp 35,0,,,DFM,https://www.lyngsat.com/radiochannels/ru/DFM.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56747,DFM,,,,2071 Rus,,,12380 L,tp 35,0,,,DFM,https://www.lyngsat.com/radiochannels/ru/DFM.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56748,Russkoe Radio,,,,2081 Rus,,,12380 L,tp 35,0,,,Russkoe Radio,https://www.lyngsat.com/radiochannels/ru/Russkoe-Radio.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56748,Russkoe Radio,,,,2081 Rus,,,12380 L,tp 35,0,,,Russkoe Radio,https://www.lyngsat.com/radiochannels/ru/Russkoe-Radio.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56749,Hit FM (Russia),,,,2091 Rus,,,12380 L,tp 35,0,,,Hit FM (Russia),https://www.lyngsat.com/radiochannels/ru/Hit-FM.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56749,Hit FM (Russia),,,,2091 Rus,,,12380 L,tp 35,0,,,Hit FM (Russia),https://www.lyngsat.com/radiochannels/ru/Hit-FM.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56750,Maximum 103.7 FM,,,,2101 Rus,,,12380 L,tp 35,0,,,Maximum 103.7 FM,https://www.lyngsat.com/radiochannels/ru/Maximum-1037-FM.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56750,Maximum 103.7 FM,,,,2101 Rus,,,12380 L,tp 35,0,,,Maximum 103.7 FM,https://www.lyngsat.com/radiochannels/ru/Maximum-1037-FM.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56751,Business FM,,,,2111 Rus,,,12380 L,tp 35,0,,,Business FM,https://www.lyngsat.com/radiochannels/ru/Business-FM.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56752,Militseyskaya Volna,,,,2121 Rus,,,12380 L,tp 35,0,,,Militseyskaya Volna,https://www.lyngsat.com/radiochannels/ru/Militseyskaya-Volna.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56752,Militseyskaya Volna,,,,2121 Rus,,,12380 L,tp 35,0,,,Militseyskaya Volna,https://www.lyngsat.com/radiochannels/ru/Militseyskaya-Volna.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56753,Comedy Radio,,,,2131 Rus,,,12380 L,tp 35,0,,,Comedy Radio,https://www.lyngsat.com/radiochannels/ru/Comedy-Radio.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56753,Comedy Radio,,,,2131 Rus,,,12380 L,tp 35,0,,,Comedy Radio,https://www.lyngsat.com/radiochannels/ru/Comedy-Radio.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56754,Radio Komsomolskaya Pravda,,,,2141 Rus,,,12380 L,tp 35,0,,,Radio Komsomolskaya Pravda,https://www.lyngsat.com/radiochannels/ru/Radio-Komsomolskaya-Pravda.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56754,Radio Komsomolskaya Pravda,,,,2141 Rus,,,12380 L,tp 35,0,,,Radio Komsomolskaya Pravda,https://www.lyngsat.com/radiochannels/ru/Radio-Komsomolskaya-Pravda.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56755,Relax FM,,,,2151 Rus,,,12380 L,tp 35,0,,,Relax FM,https://www.lyngsat.com/radiochannels/ru/Relax-FM.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56755,Relax FM,,,,2151 Rus,,,12380 L,tp 35,0,,,Relax FM,https://www.lyngsat.com/radiochannels/ru/Relax-FM.html
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56757,Radio Mir (0h),,,,2171 Rus,,,12380 L,tp 35,0,,,Radio Mir (0h),https://www.lyngsat.com/radiochannels/ru/Radio-Mir.html
